"id","result"
"R_0vzAw1uhXrl3HYF",1
"R_9XNpDt2uKwbNcYl",1
"R_8hKoWepYoJSjfBr",1
"R_9XhjfXDjcchvSiF",1
"R_b1m4wPk2ZD49OhT",1
"R_9trUkiQsSxXwcdf",1
"R_3JEilrqcgWYTOkd",1
"R_eFHTxfb09aaIYu1",1
"R_3x7GgQ7uomYyk4Z",1
"charles ",1
"conncoll",1
"lse     ",1
"luc     ",1
"mturk   ",1
"osu     ",1
"pi      ",1
"sdsu    ",1
"swps    ",1
"swpson  ",1
"tamu    ",1
"tamuc   ",1
"tamuon  ",1
"wpi     ",1
"abington",0.999999999999994
"qccuny  ",0.999999999842779
"R_6SdnyUSyMBF0LjL",0.999999963846662
"R_b15VgWRi3OO8GTr",0.999999702059584
"R_6J4mfJ8SsiNiAzH",0.999975340037162
"brasilia",0.999971204671705
"R_38xRJurCRPdYtxP",0.999936764041386
"wku     ",0.999876721039846
"ithaca  ",0.998800030785611
"R_9KSXM3BeGiUQ3pX",0.913080560262
"R_dhUJJWdWK2rfLWR",0.40425961258565
"unipd   ",0.114171749275492
"R_e8KA2KyuDdGa7Rj",0.0217163065709061
"ufl     ",1.26815389023479e-05
"R_5gOxDE29u0gvbpP",6.07499081589271e-07
"R_9oXL1wKLgHV0wy9",9.777246466264e-09
"tilburg ",1.42375384526664e-09
"vcu     ",9.44828123526476e-10
"R_834eeqsBqK5UgPb",3.93822615084616e-11
"mcdaniel",1.01506760315579e-13
"R_5gX9gg6o9wan8hf",7.73984673472305e-14
"help    ",7.01603370835339e-16
"oxy     ",3.34460424582955e-18
"wisc    ",2.28127067050195e-19
"msvu    ",1.32217537059333e-19
"R_4Jf3zUJrydSIasB",4.33851008058059e-21
"R_ePBRkH3qhhmZczP",2.24443750428514e-28
"R_cI3HJGEveMkJvJX",4.44613560928105e-30
"uva     ",1.90207879514785e-30
"R_b7NcYSS2XVZ19sx",6.60793509094517e-32
"qccuny2 ",3.891140194013e-38
"csun    ",7.1580166131779e-41
"wl      ",8.79203563614733e-62
"R_d6CakeFzNMcsjY1",1.12988787154784e-71
"R_8vLYlGUBrQGm2Ed",4.55962110143733e-72
"laurier ",9.23434145964719e-78
"R_bNueNo2zueuVjs9",8.73330635847753e-79
"R_0uluna5FaEUzLX7",1.20588461499992e-80
"ku      ",8.71085761921339e-81
"R_cZwRjPHGzD5F1PL",4.14278506530402e-84
"jmu     ",1.28439721826166e-108
"R_3z6hazgLG9HqNF3",3.26452869320774e-109
"R_cMAtB0JKM1wd5Nb",1.27603167734935e-138
"R_5jRnZk1wSlL1WAd",7.70519856074585e-168
"R_3dDn13bLDTS8Em1",1.49175069966562e-170
"psu     ",2.63357523744748e-279
"R_6opw4qQURhqxT3D",0
"R_1KQeAX2cqp2gCEJ",0
"R_42bbGk7FpQyatgh",0
"R_8ix0y1CxSOLBElT",0
"R_cwHUL1vSza2WkKN",0
"R_3q1OkcSjG1fEFtX",0
