"id","result"
"R_0vzAw1uhXrl3HYF",1
"R_9XNpDt2uKwbNcYl",1
"R_8hKoWepYoJSjfBr",1
"R_6J4mfJ8SsiNiAzH",1
"R_b7NcYSS2XVZ19sx",1
"R_9XhjfXDjcchvSiF",1
"R_6SdnyUSyMBF0LjL",1
"R_b1m4wPk2ZD49OhT",1
"R_9trUkiQsSxXwcdf",1
"R_3JEilrqcgWYTOkd",1
"R_b15VgWRi3OO8GTr",1
"R_eFHTxfb09aaIYu1",1
"R_3x7GgQ7uomYyk4Z",1
"charles ",1
"conncoll",1
"lse     ",1
"luc     ",1
"mturk   ",1
"osu     ",1
"pi      ",1
"sdsu    ",1
"swps    ",1
"swpson  ",1
"tamu    ",1
"tamuc   ",1
"tamuon  ",1
"wpi     ",1
"abington",0.999999999999993
"qccuny  ",0.999999999999037
"R_9KSXM3BeGiUQ3pX",0.999999967469963
"R_e8KA2KyuDdGa7Rj",0.99999974520991
"R_834eeqsBqK5UgPb",0.999999686110182
"wku     ",0.999978725150834
"brasilia",0.999971094199491
"R_38xRJurCRPdYtxP",0.999937350632877
"ithaca  ",0.998784551672453
"R_5gOxDE29u0gvbpP",0.924020269713853
"R_5gX9gg6o9wan8hf",0.734827726740729
"unipd   ",0.481631927188123
"R_dhUJJWdWK2rfLWR",0.405885957869827
"ufl     ",1.27189528081359e-05
"tilburg ",2.57585842585915e-07
"R_9oXL1wKLgHV0wy9",9.79395700468332e-09
"vcu     ",9.55544099458114e-10
"mcdaniel",1.13742977376847e-13
"R_ePBRkH3qhhmZczP",1.64959273814692e-14
"help    ",1.21546891274263e-15
"oxy     ",4.71258762514892e-18
"wisc    ",1.71651767330894e-18
"msvu    ",5.55359574133185e-20
"R_4Jf3zUJrydSIasB",6.18678515346357e-21
"R_bNueNo2zueuVjs9",5.49362535239913e-22
"R_8ix0y1CxSOLBElT",2.32546437278438e-23
"uva     ",6.98609170763255e-30
"R_cI3HJGEveMkJvJX",5.99741851368975e-30
"qccuny2 ",3.83064537003578e-38
"csun    ",3.49977070388512e-42
"R_0uluna5FaEUzLX7",2.5132610859083e-42
"R_d6CakeFzNMcsjY1",4.55461603834883e-58
"wl      ",2.74355460637579e-60
"R_cwHUL1vSza2WkKN",1.44302472164779e-62
"R_8vLYlGUBrQGm2Ed",4.55962110143733e-72
"R_cMAtB0JKM1wd5Nb",4.14018179390532e-72
"laurier ",9.23434145964719e-78
"ku      ",6.38328758616061e-80
"R_cZwRjPHGzD5F1PL",1.28918206029999e-80
"R_3z6hazgLG9HqNF3",6.66714015831058e-105
"jmu     ",3.75108780296721e-106
"R_3dDn13bLDTS8Em1",1.38453569029517e-124
"R_5jRnZk1wSlL1WAd",1.08744766110022e-167
"psu     ",4.39207233867629e-266
"R_6opw4qQURhqxT3D",0
"R_1KQeAX2cqp2gCEJ",0
"R_42bbGk7FpQyatgh",0
"R_3q1OkcSjG1fEFtX",0
