"id","result"
"R_0vzAw1uhXrl3HYF",1
"R_e8KA2KyuDdGa7Rj",1
"R_8hKoWepYoJSjfBr",1
"R_6J4mfJ8SsiNiAzH",1
"R_9XhjfXDjcchvSiF",1
"R_6SdnyUSyMBF0LjL",1
"R_b1m4wPk2ZD49OhT",1
"R_834eeqsBqK5UgPb",1
"R_9trUkiQsSxXwcdf",1
"R_9KSXM3BeGiUQ3pX",1
"R_eFHTxfb09aaIYu1",1
"R_3x7GgQ7uomYyk4Z",1
"abington",1
"brasilia",1
"conncoll",1
"lse     ",1
"luc     ",1
"mturk   ",1
"osu     ",1
"pi      ",1
"sdsu    ",1
"swps    ",1
"swpson  ",1
"tamu    ",1
"tamuc   ",1
"ithaca  ",0.99999999999987
"R_b15VgWRi3OO8GTr",0.999999999999603
"R_9XNpDt2uKwbNcYl",0.99999999999931
"qccuny  ",0.99999999999899
"charles ",0.99999999646628
"wku     ",0.999999939987945
"wpi     ",0.99999969182475
"R_b7NcYSS2XVZ19sx",0.999986886405844
"unipd   ",0.999970494628256
"R_3JEilrqcgWYTOkd",0.999803912481267
"R_dhUJJWdWK2rfLWR",0.998802797207707
"R_38xRJurCRPdYtxP",0.996803726452615
"tamuon  ",0.989139328588301
"ufl     ",0.879755683959716
"tilburg ",0.511436087578906
"vcu     ",0.231230775853234
"R_ePBRkH3qhhmZczP",0.0423793229678294
"mcdaniel",0.00579209072695642
"R_5gOxDE29u0gvbpP",0.000107925790206177
"R_9oXL1wKLgHV0wy9",3.25077237467387e-05
"msvu    ",6.35042234780076e-06
"help    ",1.51097849618041e-06
"oxy     ",6.27254623421348e-08
"wisc    ",5.19651823683911e-08
"R_4Jf3zUJrydSIasB",1.07231390698481e-08
"R_5gX9gg6o9wan8hf",1.28864674583989e-09
"uva     ",5.03477717619334e-10
"qccuny2 ",1.64729287509022e-16
"R_cI3HJGEveMkJvJX",7.38377177918698e-19
"csun    ",7.82436729778821e-21
"R_8vLYlGUBrQGm2Ed",5.74627810933772e-35
"wl      ",1.42874012911877e-37
"R_bNueNo2zueuVjs9",1.15829850201242e-37
"laurier ",1.06704527052223e-43
"R_cMAtB0JKM1wd5Nb",7.68073242219979e-45
"R_cZwRjPHGzD5F1PL",5.59873318491954e-45
"R_8ix0y1CxSOLBElT",4.27319262386244e-48
"R_0uluna5FaEUzLX7",4.24688718819061e-50
"ku      ",8.46681076175945e-51
"R_d6CakeFzNMcsjY1",3.52528592865191e-52
"R_3z6hazgLG9HqNF3",1.99081894635879e-61
"R_cwHUL1vSza2WkKN",4.01442931121691e-62
"jmu     ",9.3919370237967e-75
"R_5jRnZk1wSlL1WAd",5.2912372712e-116
"R_3dDn13bLDTS8Em1",8.95179486220638e-137
"psu     ",1.27108023280924e-252
"R_6opw4qQURhqxT3D",0
"R_1KQeAX2cqp2gCEJ",0
"R_42bbGk7FpQyatgh",0
"R_3q1OkcSjG1fEFtX",0
