"id","result"
"R_9XhjfXDjcchvSiF",1
"R_8vLYlGUBrQGm2Ed",1
"brasilia",1
"laurier ",1
"mturk   ",1
"osu     ",1
"qccuny2 ",1
"swps    ",1
"R_3q1OkcSjG1fEFtX",0.99999
"R_9oXL1wKLgHV0wy9",0.99979
"ufl     ",0.99963
"R_38xRJurCRPdYtxP",0.99935
"charles ",0.99911
"abington",0.99889
"pi      ",0.99874
"swpson  ",0.99866
"vcu     ",0.99845
"R_dhUJJWdWK2rfLWR",0.99815
"conncoll",0.99744
"tamuc   ",0.99737
"sdsu    ",0.9972
"msvu    ",0.99598
"ithaca  ",0.99384
"R_9trUkiQsSxXwcdf",0.98763
"mcdaniel",0.98674
"lse     ",0.98285
"R_eFHTxfb09aaIYu1",0.98047
"R_5jRnZk1wSlL1WAd",0.97797
"R_cI3HJGEveMkJvJX",0.97648
"luc     ",0.97267
"R_4Jf3zUJrydSIasB",0.97034
"oxy     ",0.96602
"R_0vzAw1uhXrl3HYF",0.95765
"csun    ",0.95359
"R_3x7GgQ7uomYyk4Z",0.95024
"R_3JEilrqcgWYTOkd",0.94986
"help    ",0.93894
"R_9XNpDt2uKwbNcYl",0.92357
"uva     ",0.89105
"wku     ",0.87469
"ku      ",0.86944
"wpi     ",0.8582
"qccuny  ",0.85168
"wisc    ",0.83829
"tamuon  ",0.81475
"tamu    ",0.78888
"R_8hKoWepYoJSjfBr",0.75271
"wl      ",0.71611
"jmu     ",0.63814
"unipd   ",0.58846
"R_b1m4wPk2ZD49OhT",0.58766
"R_cZwRjPHGzD5F1PL",0.58492
"tilburg ",0.56446
"R_3z6hazgLG9HqNF3",0.52074
"R_6SdnyUSyMBF0LjL",0.36756
"R_9KSXM3BeGiUQ3pX",0.29585
"R_42bbGk7FpQyatgh",0.27726
"R_b15VgWRi3OO8GTr",0.26964
"R_6J4mfJ8SsiNiAzH",0.21148
"psu     ",0.13168
"R_d6CakeFzNMcsjY1",0.10532
"R_e8KA2KyuDdGa7Rj",0.07181
"R_ePBRkH3qhhmZczP",0.06623
"R_834eeqsBqK5UgPb",0.02015
"R_3dDn13bLDTS8Em1",0.01883
"R_5gOxDE29u0gvbpP",0.01722
"R_cwHUL1vSza2WkKN",0.00622
"R_0uluna5FaEUzLX7",0.00425
"R_5gX9gg6o9wan8hf",0.003
"R_1KQeAX2cqp2gCEJ",0.00193
"R_bNueNo2zueuVjs9",0.00079
"R_cMAtB0JKM1wd5Nb",0.00055
"R_b7NcYSS2XVZ19sx",9e-05
"R_6opw4qQURhqxT3D",0
"R_8ix0y1CxSOLBElT",0
