"id","result"
"R_38xRJurCRPdYtxP",0.00016
"R_bNueNo2zueuVjs9",0.00016
"R_42bbGk7FpQyatgh",0.00016
"R_6J4mfJ8SsiNiAzH",0.00016
"R_dhUJJWdWK2rfLWR",0.00016
"R_9XhjfXDjcchvSiF",0.00016
"R_8vLYlGUBrQGm2Ed",0.00016
"R_834eeqsBqK5UgPb",0.00016
"R_b15VgWRi3OO8GTr",0.00016
"R_3z6hazgLG9HqNF3",0.00016
"R_eFHTxfb09aaIYu1",0.00016
"R_3x7GgQ7uomYyk4Z",0.00016
"R_3q1OkcSjG1fEFtX",0.00016
"mturk   ",0.00016
"pi      ",0.00016
"R_4Jf3zUJrydSIasB",0.00015
"R_b1m4wPk2ZD49OhT",0.00015
"R_9KSXM3BeGiUQ3pX",0.00015
"ku      ",0.00015
"unipd   ",0.00013
"R_cI3HJGEveMkJvJX",0.00012
"lse     ",0.00012
"laurier ",0.00011
"wisc    ",9e-05
"R_3JEilrqcgWYTOkd",8e-05
"ithaca  ",8e-05
"jmu     ",8e-05
"luc     ",8e-05
"mcdaniel",8e-05
"msvu    ",8e-05
"osu     ",8e-05
"psu     ",8e-05
"qccuny  ",8e-05
"sdsu    ",8e-05
"tamu    ",8e-05
"tamuc   ",8e-05
"tamuon  ",8e-05
"ufl     ",8e-05
"uva     ",8e-05
"vcu     ",8e-05
"wku     ",8e-05
"wl      ",8e-05
"abington",7e-05
"help    ",7e-05
"tilburg ",7e-05
"R_cMAtB0JKM1wd5Nb",6e-05
"qccuny2 ",6e-05
"swpson  ",6e-05
"R_e8KA2KyuDdGa7Rj",5e-05
"R_b7NcYSS2XVZ19sx",5e-05
"csun    ",5e-05
"conncoll",4e-05
"oxy     ",4e-05
"R_6opw4qQURhqxT3D",3e-05
"swps    ",3e-05
"wpi     ",3e-05
"charles ",2e-05
"R_5jRnZk1wSlL1WAd",1e-05
"R_0vzAw1uhXrl3HYF",0
"R_d6CakeFzNMcsjY1",0
"R_1KQeAX2cqp2gCEJ",0
"R_9XNpDt2uKwbNcYl",0
"R_8hKoWepYoJSjfBr",0
"R_8ix0y1CxSOLBElT",0
"R_5gOxDE29u0gvbpP",0
"R_6SdnyUSyMBF0LjL",0
"R_cZwRjPHGzD5F1PL",0
"R_9trUkiQsSxXwcdf",0
"R_cwHUL1vSza2WkKN",0
"R_3dDn13bLDTS8Em1",0
"R_ePBRkH3qhhmZczP",0
"R_0uluna5FaEUzLX7",0
"R_9oXL1wKLgHV0wy9",0
"R_5gX9gg6o9wan8hf",0
"brasilia",0
