"referrer","partgender","anchoring","anch_n","anch_m","anch_sd","study","stat_know","spss","rcran","stata","sas","matlab","python","other","nopro","noanch","rng","full","tries","descr","bonus"
"R_cMAtB0JKM1wd5Nb",1,0,25,2134,213,1,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,0,25,2334,250,1,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,1,25,4130,302,1,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,1,25,4128,298,1,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,0,25,1325024,2010,2,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,0,25,1325026,1998,2,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,1,25,3428042,5460,2,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,1,25,3425042,5260,2,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,0,25,12294,3124,3,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,0,25,13109,3234,3,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,1,25,35291,3994,3,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,1,25,34463,3899,3,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,0,25,4952,998,4,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,0,25,5194,1025,4,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",1,1,25,34972,9804,4,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_cMAtB0JKM1wd5Nb",0,1,25,35091,9742,4,"8","1",NA,NA,NA,"1",NA,NA,NA,0,0,0,"4","Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)","1"
"R_0vzAw1uhXrl3HYF",1,0,25,2392.97,389.12,1,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,0,25,2400.44,510.28,1,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,1,25,2511.86,289.92,1,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,1,25,2688.71,311.55,1,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,0,25,2945471.83,218134.2,2,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,0,25,2919991.23,128333.82,2,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,1,25,2975491.26,178321.91,2,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,1,25,3049102.77,209849.09,2,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,0,25,27936.8,232.88,3,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,0,25,28119.21,284.92,3,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,1,25,28182.33,329.33,3,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,1,25,28205.25,202.3,3,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,0,25,7977.19,682.14,4,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,0,25,8030.08,701.93,4,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",1,1,25,8479.2,1221.88,4,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
"R_0vzAw1uhXrl3HYF",0,1,25,8293.75,1005.29,4,"7","1","1",NA,NA,NA,NA,NA,NA,0,0,0,"7","I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.","1"
