V1,V2,V3,V4,V5,consent,intro,Q31,Q27,filler_01,temp_01,conf_01,res_01,filler_02,temp_02,conf_02,res_02,filler_03,temp_03,conf_03,res_03,filler_04,temp_04,conf_04,res_04,Q25,deb_02,deb_03_1,deb_03_2,deb_03_3,deb_03_4,deb_03_5,deb_03_6,deb_03_7,deb_03_8,deb_01,deb_04,deb_05,deb_06,deb_07,Q35,Q38,Q37
ResponseID,ResponseSet,StartDate,EndDate,Finished,Validating statistical methods to detect data fabrication.   This study investigates methods for...,"Task We require you to fabricate summary statistics (means, standard deviations) that look as rea...",Example questions(A1) Is the percentage of African countries in the United Nations more or less t...,Reward   Each participant fabricates summary statistics of four studies. We also have genuine sum...,Fabricating results: Distance from San Francisco to New York,"Distance from San Francisco to New York   Below, a link is provided to a spreadsheet in which you...","Please double check whether the fabricated data support the three hypotheses, as indicated by the...",Copy and paste the contents of the yellow cells into the textbox below.  Direct copy-pasting is s...,Fabricating results: Population of Chicago,"Population of Chicago Below, a link is provided to a spreadsheet in which you have to fill out yo...","Please double check whether the fabricated data support the three hypotheses, as indicated by the...",Copy and paste the contents of the yellow cells into the textbox below.  Direct copy-pasting is s...,Fabricating results: Height of Mount Everest,"Height of Mount Everest Below, a link is provided to a spreadsheet in which you have to fill out...","Please double check whether the fabricated data support the three hypotheses, as indicated by the...",Copy and paste the contents of the yellow cells from the spreadsheet into the textbox below.  Dir...,Fabricating results: Babies born in the United States,"Babies born in the United States Below, a link is provided to a spreadsheet in which you have to...","Please double check whether the fabricated data confirm to the three expectations, as indicated b...",Copy and paste the contents of the yellow cells from the spreadsheet into the textbox below.  Dir...,Debriefing questions (page 1 of 2),What is your current knowledge of statistics? (1 = extremely poor; 10 = excellent),Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-SPSS,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-R,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-Stata,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-SAS,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-Matlab,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-Python,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-Other,Which statistical analysis programs do you frequently use (multiple answers possible; frequent is...-None,Have you ever conducted a study on anchoring yourself?,Debriefing questions (page 2 of 2) Did you use a (pseudo) random number generator to simulate dat...,Did you fabricate a full dataset of 100 participants for which you calculated means and standard...,"Per study, how many different combinations of means and standard deviations did you try on average?",Please describe in words how you fabricated the research results for the four anchoring studies....,"Thank you very much for participating in our study. As a final reminder, we would like to note th...","In order to receive an Amazon gift card worth $30, please enter your email address. This will als...",Please fill in this captcha to validate your email address.
R_cMAtB0JKM1wd5Nb,Default Response Set,2016-04-25 14:36:49,2016-04-25 14:59:06,1,1,1,1,1,1,1,4,"2,134.00 213.00 / 2,334.00 250.00 / 4,130.00 302.00 / 4,128.00 298.00",1,1,2,"1,325,024.00 2,010.00 / 1,325,026.00 1,998.00 / 3,428,042.00 5,460.00 / 3,425,042.00 5,260.00",1,1,2,"12,294.00 3,124.00 / 13,109.00 3,234.00 / 35,291.00 3,994.00 / 34,463.00 3,899.00",1,1,2,"4,952.00 998.00 / 5,194.00 1,025.00 / 34,972.00 9,804.00 / 35,091.00 9,742.00",1,8,1,,,,1,,,,2,2,2,4,"Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)",1,1,1
R_0vzAw1uhXrl3HYF,Default Response Set,2016-04-25 14:27:16,2016-04-25 15:03:07,1,1,1,1,1,1,1,4,"2,392.97 389.12 / 2,400.44 510.28 / 2,511.86 289.92 / 2,688.71 311.55 / ",1,1,2,"2,945,471.83 218,134.20 / 2,919,991.23 128,333.82 / 2,975,491.26 178,321.91 / 3,049,102.77 209,849.09 / ",1,1,2,"27,936.80 232.88 / 28,119.21 284.92 / 28,182.33 329.33 / 28,205.25 202.30 / ",1,1,2,"7,977.19 682.14 / 8,030.08 701.93 / 8,479.20 1,221.88 / 8,293.75 1,005.29 / ",1,7,1,1,,,,,,,2,2,2,7,"I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.",1,1,1
R_38xRJurCRPdYtxP,Default Response Set,2016-04-25 15:37:40,2016-04-25 16:18:38,1,1,1,1,1,1,1,4,"2.892,02 1.263,55 / 2.742,88 1.069,23 / 3.998,25 1.339,61 / 4.430,65 1.266,01 / ",1,1,2,"2.560.523,15 980.563,25 / 1.965.333,30 740.523,88 / 3.719.962,23 1.545.632,55 / 3.905.130,24 1.945.652,74 / ",1,1,2,"15.300,12 6.532,26 / 17.658,33 7.652,64 / 30.269,25 8.211,35 / 32.358,27 7.538,20 / ",1,1,2,"1.326,05 635,01 / 3.256,32 2.489,35 / 32.458,22 10.262,36 / 35.256,73 11.525,77 / ",1,6,1,1,,,,,,,2,2,2,10,"What I should have done is go back to the reported means and standard deviations by Kahneman et al. and simulate some data. Now, I basically guessed some means based on what I would answer as a participant in the Kahneman et al. studies and played around with the SDs to get green check marks.",1,1,1
R_e8KA2KyuDdGa7Rj,Default Response Set,2016-04-25 15:48:33,2016-04-25 16:20:54,1,1,1,1,1,1,1,4,"1,907.14 458.36 / 1,853.58 526.52 / 3,132.37 389.43 / 3,052.66 343.23 / ",1,1,2,"2,388,152.74 920,742.17 / 2,182,829.34 771,300.84 / 3,995,383.23 672,492.63 / 3,929,427.80 655,888.05 / ",1,1,2,"10,692.78 2,244.60 / 10,026.34 2,090.02 / 29,894.54 5,299.88 / 30,770.41 4,795.63 / ",1,1,2,"12,063.89 1,566.69 / 12,241.71 1,793.54 / 31,764.17 6,006.09 / 30,676.79 5,051.83 / ",1,7,1,,,,,,,,2,1,1,1,"In Excel, I entered the following in a cell: =NORMINV(RAND(),""mean"",""std. dev""). I entered my desired mean and standard deviation for each group, and then copied the function 24 times per group. Then, I calculated the mean and standard deviation of the generated numbers and used those for my responses. ",1,1,1
R_d6CakeFzNMcsjY1,Default Response Set,2016-04-25 14:18:19,2016-04-25 16:56:19,1,1,1,1,1,1,1,4,"2,459.20 476.53 / 2,339.60 473.86 / 4,331.12 1,225.00 / 3,959.88 949.89",1,1,2,"3,335,035.56 1,003,221.29 / 3,567,873.84 927,348.97 / 2,332,655.60 882,118.80 / 2,544,017.61 1,077,272.13",1,1,2,"17,424.00 9,740.52 / 17,659.00 9,873.81 / 26,460.00 8,758.23 / 25,823.00 10,619.38",1,1,2,16057.76 8190.339972 / 14342.48 7984.34893 / 36328.16 9520.491758 / 35547.48 8992.465782,1,7,1,1,1,,,,1,,2,1,1,1,"In the first ""study"" I filled in values by hand that I thought would be plausible. This took a long time, so in the remaining studies I used excel to simulate data and picked plausible ranges of values for the monte carlos. ",1,1,1
R_bNueNo2zueuVjs9,Default Response Set,2016-04-25 16:21:04,2016-04-25 16:58:59,1,1,1,1,1,1,1,4,"1,842.31 325.44 / 1,937.29 367.15 / 5,766.99 402.68 / 5,795.52 395.81 / ",1,1,2,"3,221,679.00 69,147.00 / 3,247,954.00 65,583.00 / 4,587,629.00 66,426.00 / 4,565,419.00 67,124.00 / ",1,1,2,"3,469.00 409.00 / 3,796.00 421.00 / 49,127.00 12,762.00 / 48,622.00 11,471.00 / ",1,1,2,"2,533.00 240.33 / 2,647.00 239.49 / 26,513.00 2,415.18 / 27,365.00 2,563.72 / ",1,6,1,,,1,,,,,2,2,2,4,"First, I made the males and females be identical at a low anchor and high anchor (i.e., 2533.00 for the females in the low anchor baby study, 26.513.00 for the males in the low anchor study). I did the same thing with the standard deviations, keeping in mind the value of the mean (i.e., for a mean of 2,000, the SD would be in the 200 range; for a mean of 26,000, the mean would be in the 2,000 range). Then I adjusted the male means and SDs slightly, all the while ensuring that the conditions were met. ",1,1,1
R_6opw4qQURhqxT3D,Default Response Set,2016-04-25 14:29:20,2016-04-25 17:27:10,1,1,1,1,1,1,1,4,"2,500.00 1,000.00 / 2,500.00 1,000.00 / 4,500.00 1,000.00 / 4,500.00 1,000.00 / ",1,1,2,"800,000.00 200,000.00 / 800,000.00 200,000.00 / 3,500,000.00 500,000.00 / 3,500,000.00 500,000.00 / ",1,1,2,"10,000.00 3,000.00 / 10,000.00 3,000.00 / 35,000.00 3,000.00 / 35,000.00 3,000.00 / ",1,1,2,"1,000.00 200.00 / 1,000.00 200.00 / 35,000.00 5,000.00 / 35,000.00 5,000.00",1,6,,,,,,,,1,2,2,2,1,"I used the same procedure per study. I thought we could only try once, so I did that - luckily all of the checkmarks always came out in green anyways. /  / For the lower anchor, I chose a value higher than the anchor but lower than the mean. For the higher, I did the opposite. /  / For the standard deviations, I chose an amount closes to the 10^ whatever power the question was asked in. For example, for the question in thousands, I chose std dev in thousands range. For one in hundreds, I chose it in hundreds range.",1,1,1
R_1KQeAX2cqp2gCEJ,Default Response Set,2016-04-25 16:18:29,2016-04-25 17:30:33,1,1,1,1,1,1,1,4,"3,026.40 293.02 / 3,013.55 298.97 / 3,498.42 333.26 / 3,519.58 321.58",1,1,2,"2,160,644.91 254,098.08 / 2,157,856.89 275,054.60 / 3,501,867.40 287,050.41 / 3,518,903.08 341,952.29",1,1,2,"7,303.04 1,124.95 / 7,312.29 1,122.83 / 32,467.86 1,950.37 / 32,501.62 1,971.07",1,1,2,"3,707.92 859.96 / 3,657.39 819.10 / 38,906.33 1,239.02 / 38,923.13 1,164.20",1,8,,1,,,,,,,2,1,2,4,"I fabricated datasets of 64 men and 64 women per condition. My general strategy was to think about what population distributions the data might come from if the hypothesis were true, and then randomly generate numbers from those distributions. /  / For all studies, I began by speculating what number people's guesses would center around per condition, and I tried to create distributions around those numbers. /  / I haven't run anchoring studies, but I figured that responses would be slightly skewed away from the anchor. For the first three studies, I used beta distributions that were skewed accordingly. For the last one (distance from NY to SF), I used normal distributions because the range of plausible values seemed so small. In retrospect, this might have been based on my knowledge of the two conditions, and not representative of how subjects would actually think without that knowledge. /  / For the first three studies, I started by plotting the densities of random beta distributions. I multiplied the randomly generated values by a number that made the distributions as variable as I thought was reasonable and added a number to center the distributions around the value I thought people would center on. For example, for the height of mount everest I used plot(density(rbeta(10000, 3, 10)*10000+5000)) in the low anchor condition. For the last study, I generated normal distributions that looked plausible when I plotted the densities.  /  / Next, for the first three studies I randomly sampled 64 men and 64 women per condition from the distributions I came up with for the low and high anchor conditions. The parameters for men and women were the same within each study. /  / For the fourth study, I realized that you might try to look at the data across studies to look for signs of something fishy. My values for men and women were too similar, so I made slight changes to the population parameters for men and women (both the means and standard deviations) so that the results would like a little more variable. In retrospect, I might try to make slight variations in the parameters for men and women across studies if I were to do it again. /  / This was a fun study, I look forward to seeing the results. /  / After finding probability densities that looked good, I generated random samples of 64 men and 64 women per distribution, and used those to compute the means and standard deviations. ",1,1,1
R_9XNpDt2uKwbNcYl,Default Response Set,2016-04-25 15:48:52,2016-04-25 17:43:33,1,1,1,1,1,1,1,4,"3,102.00 1,800.00 / 3,205.00 1,280.00 / 5,085.00 1,609.00 / 5,032.00 1,532.00 / ",1,1,2,"1,212,502.00 158,059.00 / 1,279,458.00 188,103.00 / 3,550,268.00 185,166.00 / 3,595,112.00          100,065.00 / ",1,1,2,"5,480.00 1,925.00 / 5,622.00 1,911.00 / 42,210.00 1,210.00 / 41,051.00 1,705.00 / ",1,1,2,"3,025.00 1,910.00 / 2,730.00 1,825.00 / 30,150.00 2,185.00 / 31,110.00 2,095.00 / ",1,7,1,1,,,1,1,,,2,1,2,4,"On half of the studies, I designed to summary statistics to ensure non-overlapping standard errors where necessary.  Moreover, I also scaled the variability in some with the anchor type.  For example, in some of the high anchors I assumed the standard deviations where larger.",1,1,1
