"id","result"
"R_cMAtB0JKM1wd5Nb",1
"R_38xRJurCRPdYtxP",1
"R_e8KA2KyuDdGa7Rj",1
"R_bNueNo2zueuVjs9",1
"R_6opw4qQURhqxT3D",1
"R_8hKoWepYoJSjfBr",1
"R_42bbGk7FpQyatgh",1
"R_6J4mfJ8SsiNiAzH",1
"R_5jRnZk1wSlL1WAd",1
"R_b7NcYSS2XVZ19sx",1
"R_dhUJJWdWK2rfLWR",1
"R_4Jf3zUJrydSIasB",1
"R_9XhjfXDjcchvSiF",1
"R_8vLYlGUBrQGm2Ed",1
"R_b1m4wPk2ZD49OhT",1
"R_834eeqsBqK5UgPb",1
"R_9KSXM3BeGiUQ3pX",1
"R_ePBRkH3qhhmZczP",1
"R_3JEilrqcgWYTOkd",1
"R_b15VgWRi3OO8GTr",1
"R_3z6hazgLG9HqNF3",1
"R_eFHTxfb09aaIYu1",1
"R_3x7GgQ7uomYyk4Z",1
"R_cI3HJGEveMkJvJX",1
"R_3q1OkcSjG1fEFtX",1
"ku      ",1
"laurier ",1
"lse     ",1
"mturk   ",1
"pi      ",1
"unipd   ",1
"ufl     ",0.99999
"R_9trUkiQsSxXwcdf",0.99997
"R_9oXL1wKLgHV0wy9",0.99997
"sdsu    ",0.99993
"R_8ix0y1CxSOLBElT",0.99982
"brasilia",0.99975
"R_6SdnyUSyMBF0LjL",0.99969
"tamu    ",0.99967
"vcu     ",0.9996
"swpson  ",0.99957
"R_0vzAw1uhXrl3HYF",0.99951
"R_cZwRjPHGzD5F1PL",0.9994
"osu     ",0.99925
"conncoll",0.999
"qccuny2 ",0.9988
"wisc    ",0.99852
"wpi     ",0.99772
"R_d6CakeFzNMcsjY1",0.99739
"mcdaniel",0.99727
"abington",0.9961
"oxy     ",0.99543
"tamuc   ",0.9941
"tamuon  ",0.99357
"ithaca  ",0.99264
"uva     ",0.98809
"wku     ",0.98683
"R_cwHUL1vSza2WkKN",0.98672
"help    ",0.98666
"qccuny  ",0.9842
"tilburg ",0.98284
"R_1KQeAX2cqp2gCEJ",0.96014
"R_3dDn13bLDTS8Em1",0.94537
"jmu     ",0.94183
"swps    ",0.94053
"luc     ",0.93155
"msvu    ",0.92449
"psu     ",0.92059
"wl      ",0.91807
"charles ",0.86997
"R_9XNpDt2uKwbNcYl",0.7995
"csun    ",0.75878
"R_0uluna5FaEUzLX7",0.1769
"R_5gOxDE29u0gvbpP",0.1045
"R_5gX9gg6o9wan8hf",0.06635
