"id","type","result","n","rng"
"h5w.txt","Fabricated",0.44090705275062,25,1
"2a9.txt","Fabricated",0.38996283725303,25,1
"cebersole.vcu","Genuine",0.229672010552158,97,NA
"g2f.txt","Fabricated",0.12666552305681,25,1
"82z.txt","Fabricated",0.0939494309462347,25,1
"cebersole.carleton","Genuine",0.0930790558365922,51,NA
"cebersole.psuabington","Genuine",0.0885586216952875,117,NA
"ulr.txt","Fabricated",0.0450864014107777,25,1
"cebersole.nova","Genuine",0.0428410894509655,132,NA
"3pl.txt","Fabricated",0.0390268139453252,25,0
"19e.txt","Fabricated",0.0368928437780329,25,1
"tyo.txt","Fabricated",0.0289169663642213,25,1
"cebersole.mississippi","Genuine",0.0256140602998356,93,NA
"cebersole.toronto","Genuine",0.0195288979399971,82,NA
"cebersole.ashland","Genuine",0.0182354607099887,84,NA
"t5g.txt","Fabricated",0.0181114456963237,25,0
"cebersole.montana","Genuine",0.0145990884546348,129,NA
"cebersole.sdsu","Genuine",0.00932058123779634,145,NA
"jmq.txt","Fabricated",0.00802570963387679,25,1
"nbu.txt","Fabricated",0.00603807600571772,25,0
"cebersole.texasam","Genuine",0.00507882293354461,181,NA
"o2f.txt","Fabricated",0.0024053736942284,25,1
"tjv.txt","Fabricated",0.00155191519918139,25,1
"cebersole.miami","Genuine",0.00150862541216439,101,NA
"cebersole.plu","Genuine",0.00145003687287583,101,NA
"1se.txt","Fabricated",0.00140322780808598,25,1
"yty.txt","Fabricated",0.000630952601254209,25,1
"cebersole.michst","Genuine",0.000348339227476681,127,NA
"cebersole.florida","Genuine",0.000237112818127732,138,NA
"cebersole.bradley","Genuine",0.000145223856527497,119,NA
"cebersole.davis","Genuine",9.38992624671636e-05,120,NA
"8nb.txt","Fabricated",9.26976639023467e-05,25,0
"3wn.txt","Fabricated",7.77634477689056e-05,25,0
"cebersole.osu","Genuine",6.66627888766822e-05,163,NA
"jgg.txt","Fabricated",9.65745460471163e-06,25,0
"ez8.txt","Fabricated",6.27287422482004e-06,25,1
"1zm.txt","Fabricated",3.09122896917929e-06,25,0
"z26.txt","Fabricated",2.73288422200942e-06,25,0
"cebersole.riverside","Genuine",1.97064334390838e-06,252,NA
"cebersole.virginia","Genuine",1.11526113383015e-07,196,NA
"h65.txt","Fabricated",1.40164429531199e-08,25,1
"pkl.txt","Fabricated",1.37450801161368e-08,25,1
"hsu.txt","Fabricated",8.79082373278532e-09,25,1
"cebersole.ithaca","Genuine",2.62646009315312e-09,288,NA
"2f5.txt","Fabricated",4.13707238406844e-12,25,0
"sel.txt","Fabricated",1.74157519552141e-16,25,1
"cebersole.mturk","Genuine",1.9052261320447e-18,621,NA
"0jg.txt","Fabricated",1.03862680166681e-19,25,1
"ojh.txt","Fabricated",4.23293589429266e-27,25,1
