"id","type","result","n","rng"
"hsu.txt","Fabricated",0.000507443568098535,25,1
"jgg.txt","Fabricated",0.00014078651624686,25,0
"1se.txt","Fabricated",7.66358096241841e-07,25,1
"3wn.txt","Fabricated",1.56868430668491e-07,25,0
"nbu.txt","Fabricated",1.86893605114787e-08,25,0
"3pl.txt","Fabricated",1.43544546502561e-08,25,0
"t5g.txt","Fabricated",1.90740189792899e-10,25,0
"82z.txt","Fabricated",5.98079544955664e-11,25,1
"1zm.txt","Fabricated",5.35211670226025e-11,25,0
"jmq.txt","Fabricated",2.34916077455416e-11,25,1
"g2f.txt","Fabricated",4.37551887990641e-12,25,1
"8nb.txt","Fabricated",1.49136543879326e-12,25,0
"ulr.txt","Fabricated",4.04243637670798e-14,25,1
"o2f.txt","Fabricated",1.94572504602794e-14,25,1
"z26.txt","Fabricated",1.8772181372874e-14,25,0
"h65.txt","Fabricated",1.56848889319657e-14,25,1
"h5w.txt","Fabricated",8.21683632964447e-15,25,1
"19e.txt","Fabricated",1.9207652318616e-15,25,1
"2a9.txt","Fabricated",4.69336638299163e-17,25,1
"cebersole.carleton","Genuine",4.45651156678278e-19,51,NA
"tyo.txt","Fabricated",3.48028757159854e-21,25,1
"sel.txt","Fabricated",1.33415009115762e-25,25,1
"yty.txt","Fabricated",4.403893734277e-26,25,1
"tjv.txt","Fabricated",6.21291172818495e-27,25,1
"ez8.txt","Fabricated",6.56594058682464e-29,25,1
"pkl.txt","Fabricated",1.25375227636134e-31,25,1
"0jg.txt","Fabricated",1.61450737059242e-37,25,1
"cebersole.toronto","Genuine",8.88146985778754e-38,82,NA
"ojh.txt","Fabricated",6.47449877241503e-39,25,1
"cebersole.mississippi","Genuine",3.60892703787783e-40,93,NA
"cebersole.ashland","Genuine",1.10045467691886e-47,84,NA
"cebersole.plu","Genuine",1.07349505336755e-47,101,NA
"2f5.txt","Fabricated",5.41144712595069e-57,25,0
"cebersole.miami","Genuine",2.18407123873259e-57,101,NA
"cebersole.nova","Genuine",4.88007937136926e-59,132,NA
"cebersole.vcu","Genuine",1.73774600859962e-59,97,NA
"cebersole.psuabington","Genuine",8.61834364611876e-62,117,NA
"cebersole.davis","Genuine",6.94274035524942e-65,120,NA
"cebersole.bradley","Genuine",1.20141505860677e-65,119,NA
"cebersole.sdsu","Genuine",6.97717701494022e-74,145,NA
"cebersole.osu","Genuine",1.83943793271832e-84,163,NA
"cebersole.michst","Genuine",1.99143885726198e-85,127,NA
"cebersole.florida","Genuine",3.94222964660389e-98,138,NA
"cebersole.montana","Genuine",3.51820922362128e-99,129,NA
"cebersole.texasam","Genuine",2.27628798888087e-103,181,NA
"cebersole.virginia","Genuine",1.12019683975088e-132,196,NA
"cebersole.riverside","Genuine",9.31194624620423e-137,252,NA
"cebersole.ithaca","Genuine",3.78378959936271e-189,288,NA
"cebersole.mturk","Genuine",6.29987759540573e-247,621,NA
