"type","analysis","measure","digit","prop"
"Expected","benford","Mean congruent","1",0.301029995663981
"Expected","benford","Mean congruent","2",0.176091259055681
"Expected","benford","Mean congruent","3",0.1249387366083
"Expected","benford","Mean congruent","4",0.0969100130080564
"Expected","benford","Mean congruent","5",0.0791812460476248
"Expected","benford","Mean congruent","6",0.0669467896306132
"Expected","benford","Mean congruent","7",0.0579919469776867
"Expected","benford","Mean congruent","8",0.0511525224473813
"Expected","benford","Mean congruent","9",0.0457574905606751
"Expected","benford","Mean incongruent","1",0.301029995663981
"Expected","benford","Mean incongruent","2",0.176091259055681
"Expected","benford","Mean incongruent","3",0.1249387366083
"Expected","benford","Mean incongruent","4",0.0969100130080564
"Expected","benford","Mean incongruent","5",0.0791812460476248
"Expected","benford","Mean incongruent","6",0.0669467896306132
"Expected","benford","Mean incongruent","7",0.0579919469776867
"Expected","benford","Mean incongruent","8",0.0511525224473813
"Expected","benford","Mean incongruent","9",0.0457574905606751
"Expected","benford","SD congruent","1",0.301029995663981
"Expected","benford","SD congruent","2",0.176091259055681
"Expected","benford","SD congruent","3",0.1249387366083
"Expected","benford","SD congruent","4",0.0969100130080564
"Expected","benford","SD congruent","5",0.0791812460476248
"Expected","benford","SD congruent","6",0.0669467896306132
"Expected","benford","SD congruent","7",0.0579919469776867
"Expected","benford","SD congruent","8",0.0511525224473813
"Expected","benford","SD congruent","9",0.0457574905606751
"Expected","benford","SD incongruent","1",0.301029995663981
"Expected","benford","SD incongruent","2",0.176091259055681
"Expected","benford","SD incongruent","3",0.1249387366083
"Expected","benford","SD incongruent","4",0.0969100130080564
"Expected","benford","SD incongruent","5",0.0791812460476248
"Expected","benford","SD incongruent","6",0.0669467896306132
"Expected","benford","SD incongruent","7",0.0579919469776867
"Expected","benford","SD incongruent","8",0.0511525224473813
"Expected","benford","SD incongruent","9",0.0457574905606751
"Expected","terminal","Mean congruent","0",0.1
"Expected","terminal","Mean congruent","1",0.1
"Expected","terminal","Mean congruent","2",0.1
"Expected","terminal","Mean congruent","3",0.1
"Expected","terminal","Mean congruent","4",0.1
"Expected","terminal","Mean congruent","5",0.1
"Expected","terminal","Mean congruent","6",0.1
"Expected","terminal","Mean congruent","7",0.1
"Expected","terminal","Mean congruent","8",0.1
"Expected","terminal","Mean congruent","9",0.1
"Expected","terminal","Mean incongruent","0",0.1
"Expected","terminal","Mean incongruent","1",0.1
"Expected","terminal","Mean incongruent","2",0.1
"Expected","terminal","Mean incongruent","3",0.1
"Expected","terminal","Mean incongruent","4",0.1
"Expected","terminal","Mean incongruent","5",0.1
"Expected","terminal","Mean incongruent","6",0.1
"Expected","terminal","Mean incongruent","7",0.1
"Expected","terminal","Mean incongruent","8",0.1
"Expected","terminal","Mean incongruent","9",0.1
"Expected","terminal","SD congruent","0",0.1
"Expected","terminal","SD congruent","1",0.1
"Expected","terminal","SD congruent","2",0.1
"Expected","terminal","SD congruent","3",0.1
"Expected","terminal","SD congruent","4",0.1
"Expected","terminal","SD congruent","5",0.1
"Expected","terminal","SD congruent","6",0.1
"Expected","terminal","SD congruent","7",0.1
"Expected","terminal","SD congruent","8",0.1
"Expected","terminal","SD congruent","9",0.1
"Expected","terminal","SD incongruent","0",0.1
"Expected","terminal","SD incongruent","1",0.1
"Expected","terminal","SD incongruent","2",0.1
"Expected","terminal","SD incongruent","3",0.1
"Expected","terminal","SD incongruent","4",0.1
"Expected","terminal","SD incongruent","5",0.1
"Expected","terminal","SD incongruent","6",0.1
"Expected","terminal","SD incongruent","7",0.1
"Expected","terminal","SD incongruent","8",0.1
"Expected","terminal","SD incongruent","9",0.1
