id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	484	67	30	627	75	30
2	515	72	30	634	81	30
3	422	73	30	573	51	30
4	489	56	30	621	83	30
5	492	63	30	598	74	30
6	450	76	30	576	65	30
7	472	60	30	599	68	30
8	490	63	30	622	52	30
9	551	78	30	686	62	30
10	535	64	30	697	57	30
11	433	65	30	578	78	30
12	530	57	30	640	72	30
13	500	64	30	630	82	30
14	469	47	30	579	77	30
15	483	77	30	619	67	30
16	479	58	30	639	85	30
17	474	68	30	620	90	30
18	532	54	30	622	84	30
19	520	64	30	646	66	30
20	510	78	30	637	82	30
21	515	56	30	659	73	30
22	483	61	30	561	56	30
23	510	60	30	626	72	30
24	511	73	30	641	57	30
25	460	68	30	630	72	30
