id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	561	201	30	711	219	30
2	879	331	30	829	195	30
3	754	215	30	859	316	30
4	785	134	30	766	119	30
5	513	199	30	597	141	30
6	746	130	30	790	199	30
7	593	136	30	639	161	30
8	690	122	30	758	253	30
9	540	157	30	682	211	30
10	434	27	30	587	128	30
11	711	214	30	872	314	30
12	672	220	30	700	112	30
13	618	91	30	733	149	30
14	937	185	30	1036	273	30
15	459	26	30	630	133	30
16	840	176	30	752	195	30
17	828	164	30	878	207	30
18	452	62	30	546	133	30
19	671	143	30	772	232	30
20	568	125	30	584	171	30
21	834	269	30	854	232	30
22	731	99	30	829	131	30
23	679	274	30	831	274	30
24	709	119	30	738	117	30
25	553	118	30	603	139	30
