id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	837	223	100	1205	349	100
2	829	368	100	1569	463	100
3	578	191	100	1152	296	100
4	654	253	100	1458	378	100
5	711	239	100	1547	514	100
6	591	150	100	1112	278	100
7	672	178	100	1017	263	100
8	563	141	100	1232	314	100
9	701	220	100	976	250	100
10	660	165	100	824	229	100
11	691	217	100	1071	307	100
12	725	186	100	1208	427	100
13	586	161	100	1230	314	100
14	750	275	100	1158	290	100
15	955	241	100	1138	339	100
16	618	189	100	1100	286	100
17	728	203	100	1090	306	100
18	854	215	100	1295	362	100
19	543	139	100	1226	307	100
20	673	175	100	1129	286	100
21	689	186	100	1167	300	100
22	630	198	100	1092	277	100
23	734	206	100	1226	372	100
24	664	199	100	848	361	100
25	967	244	100	1289	333	100
