id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	625	108	30	705	103	30
2	831	115	30	793	143	30
3	464	96	30	520	111	30
4	715	112	30	702	140	30
5	656	146	30	724	102	30
6	587	121	30	598	92	30
7	690	102	30	680	103	30
8	502	83	30	541	133	30
9	901	154	30	972	104	30
10	856	106	30	881	132	30
11	689	109	30	711	116	30
12	512	96	30	480	117	30
13	484	98	30	475	87	30
14	718	143	30	730	108	30
15	689	111	30	711	101	30
16	633	140	30	654	97	30
17	534	102	30	463	110	30
18	491	88	30	572	121	30
19	645	103	30	650	131	30
20	812	145	30	855	102	30
21	768	102	30	792	84	30
22	815	132	30	902	127	30
23	588	120	30	518	104	30
24	693	115	30	713	116	30
25	470	97	30	541	96	30
