id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	683.7675	181.7793	30	846.4263	584.2588	30
2	528.1747	223.7513	30	517.3419	123.0871	30
3	614.4803	420.5984	30	617.5509	205.9169	30
4	699.1246	283.5273	30	892.4699	579.5323	30
5	611.4821	343.5754	30	566.5964	181.5765	30
6	571.793	164.6842	30	638.9409	258.8397	30
7	518.1654	84.1156	30	556.5153	157.2789	30
8	645.8848	175.728	30	674.9164	151.8412	30
9	540.7004	70.9358	30	569.6627	212.0222	30
10	717.7031	135.8191	30	799.5447	186.2755	30
11	638.2779	236.4842	30	681.3997	156.5105	30
12	696.2845	277.3129	30	747.3438	178.9383	30
13	632.7343	352.5866	30	609.255	173.7768	30
14	513.4627	135.9986	30	597.6953	188.8919	30
15	704.1255	234.0956	30	721.8758	159.9788	30
16	537.3273	109.6494	30	572.6117	206.4913	30
17	471.8782	82.5888	30	559.2275	205.5762	30
18	935.767	308.654	30	886.961	295.6738	30
19	512.4467	153.6004	30	614.9439	1039.4472	30
20	622.8509	289.6319	30	647.9393	223.967	30
21	516.8808	96.0359	30	691.7544	312.842	30
22	494.3251	89.9621	30	576.4566	162.698	30
23	480.0595	104.4943	30	600.2327	305.9859	30
24	601.2393	196.3902	30	646.7721	160.6313	30
25	601.0411	85.8152	30	687.8921	258.7075	30
