id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	674	78	30	738	97	30
2	631	51	30	742	77	30
3	654	69	30	747	73	30
4	631	63	30	726	59	30
5	641	62	30	728	66	30
6	649	61	30	743	60	30
7	642	50	30	722	57	30
8	646	53	30	727	62	30
9	619	55	30	734	70	30
10	620	50	30	720	56	30
11	617	54	30	739	66	30
12	617	55	30	711	68	30
13	631	51	30	708	45	30
14	655	52	30	763	54	30
15	626	51	30	770	51	30
16	666	80	30	659	55	30
17	638	53	30	773	73	30
18	627	57	30	710	41	30
19	617	45	30	695	57	30
20	616	48	30	717	71	30
21	612	41	30	701	77	30
22	670	38	30	820	74	30
23	652	46	30	666	56	30
24	619	46	30	774	64	30
25	601	37	30	775	95	30
