id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	601	354	30	524	216	30
2	512	155	30	667	392	30
3	582	252	30	671	279	30
4	559	269	30	527	74	30
5	850	374	30	866	288	30
6	535	136	30	577	152	30
7	607	132	30	688	415	30
8	521	181	30	745	325	30
9	658	141	30	702	239	30
10	711	153	30	886	378	30
11	1152	349	30	1259	457	30
12	503	130	30	580	320	30
13	473	103	30	662	500	30
14	627	130	30	661	298	30
15	512	126	30	739	268	30
16	641	173	30	598	126	30
17	597	595	30	508	123	30
18	1406	1846	30	952	1214	30
19	692	148	30	869	480	30
20	752	147	30	947	399	30
21	807	354	30	995	624	30
22	981	534	30	949	429	30
23	716	305	30	745	249	30
24	479	101	30	548	144	30
25	745	444	30	812	537	30
