id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	903	315.4259492	30	1350.030303	436.9910958	30
2	1097.785714	357.0968795	30	1339.365854	337.0629582	30
3	855.2380952	252.8880987	30	1169.333333	259.6419513	30
4	882.2222222	327.1187148	30	1235.175	313.1856079	30
5	898.4666667	414.534139	30	1121.466667	278.332094	30
6	850.375	280.9163286	30	1234.34375	350.3857422	30
7	771.8125	283.7144618	30	1141.418605	265.416495	30
8	755.5	271.4455456	30	1074.842105	231.8575432	30
9	784.1428571	262.7130219	30	1147.853659	403.0656622	30
10	765.5625	240.6219632	30	1033.097561	286.2628866	30
11	620.2142857	152.5270108	30	1089.465116	310.0938682	30
12	808.6666667	292.3179938	30	1169.634146	350.4487663	30
13	666.5333333	149.020069	30	1094.395349	253.5565251	30
14	741.4117647	273.27117	30	1095.714286	237.3841474	30
15	859.3157895	241.003931	30	1166.384615	329.1465531	30
16	777.6875	239.7842694	30	1113.195122	328.5634809	30
17	698.7	202.4747158	30	1034.384615	277.3172813	30
18	713.3333333	239.3321516	30	1043.934783	286.2585779	30
19	631.375	106.7913074	30	1104.372093	324.8217843	30
20	713.2307692	308.2488588	30	1031.090909	267.0749236	30
21	643.0555556	200.6995039	30	869.6097561	308.4037839	30
22	704.75	214.0595181	30	991.0652174	241.1644347	30
23	800	422.939712	30	1121.466667	323.3009856	30
24	804.3846154	370.4129539	30	1065.613636	322.0497012	30
25	805.1428571	418.3013005	30	1124.162791	372.207375	30
