id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	619.2949072	62.41280086	30	546.794214	66.43461116	30
2	580.2340677	278.5500868	30	576.2221009	323.2337555	30
3	878.167864	242.7059379	30	932.1095156	146.8107556	30
4	807.8261365	226.9070754	30	793.3601713	170.0810691	30
5	652.5672329	499.0438167	30	796.7109324	621.3368538	30
6	682.7180386	385.8273781	30	813.8681127	644.3596657	30
7	795.6834351	189.657418	30	928.5299581	394.451884	30
8	580.8127453	276.5900583	30	599.0007356	199.8061368	30
9	887.8756881	362.080956	30	907.3405638	184.3264362	30
10	717.0255339	276.4350803	30	835.5558576	346.0625517	30
11	629.5463403	170.5438774	30	592.9872796	57.08300532	30
12	648.6809752	125.3979132	30	784.1486311	472.9544806	30
13	778.539732	132.6172656	30	802.8764781	139.9912411	30
14	780.0119782	191.1674284	30	884.3049501	446.4666673	30
15	1032.581952	641.0498795	30	1059.347167	759.8751378	30
16	685.9502961	214.9407821	30	742.1650349	287.8484756	30
17	661.9975842	124.5487904	30	709.0116609	152.141436	30
18	613.1998554	138.8554315	30	745.4860309	189.5166142	30
19	772.5891955	226.0350797	30	893.6216927	284.9369098	30
20	621.2961109	283.6848291	30	607.8504971	126.5591267	30
21	716.7143892	233.4178508	30	735.3247775	294.5583143	30
22	525.8253516	135.0403417	30	665.4786254	324.9146284	30
23	715.610121	141.8618632	30	900.6377482	520.6716195	30
24	643.9201141	161.6963099	30	698.9613575	220.5337956	30
25	696.1752026	186.5815723	30	882.9860167	389.351529	30
