id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	641	307	30	708	367	30
2	469	251	30	1024	138	30
3	555	305	30	956	321	30
4	641	213	30	775	163	30
5	641	335	30	662	307	30
6	436	378	30	685	207	30
7	549	406	30	911	286	30
8	754	238	30	738	202	30
9	582	180	30	760	243	30
10	370	232	30	828	274	30
11	489	345	30	625	328	30
12	687	338	30	602	335	30
13	635	338	30	730	311	30
14	562	191	30	662	300	30
15	668	318	30	723	281	30
16	806	238	30	662	174	30
17	654	327	30	557	203	30
18	793	189	30	625	251	30
19	423	311	30	826	272	30
20	497	137	30	708	420	30
21	496	393	30	647	290	30
22	595	250	30	843	212	30
23	674	268	30	753	336	30
24	773	238	30	550	304	30
25	469	160	30	595	205	30
