id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	658.47	98.44	30	789.17	143.70	30
2	698.28	56.34	30	796.63	57.87	30
3	692.36	48.90	30	812.29	55.23	30
4	533.91	33.18	30	662.09	49.92	30
5	594.00	60.13	30	628.36	73.55	30
6	790.37	147.37	30	897.38	147.75	30
7	712.60	89.13	30	821.87	109.82	30
8	734.91	78.88	30	872.72	96.28	30
9	729.56	136.58	30	818.17	140.76	30
10	674.62	112.43	30	736.15	121.19	30
11	698.49	89.58	30	789.45	105.26	30
12	654.05	34.62	30	783.44	58.43	30
13	554.00	60.13	30	577.36	73.55	30
14	673.43	90.80	30	743.81	134.75	30
15	653.75	71.91	30	767.49	83.64	30
16	673.21	66.94	30	730.78	100.89	30
17	952.58	147.37	30	965.89	167.75	30
18	593.89	89.65	30	700.93	99.07	30
19	666.94	81.14	30	741.24	156.86	30
20	696.57	85.20	30	723.67	113.19	30
21	697.24	60.21	30	845.01	76.31	30
22	739.82	71.28	30	822.70	79.22	30
23	652.17	90.13	30	747.69	124.81	30
24	701.23	93.08	30	763.30	104.89	30
25	690.37	78.37	30	707.38	90.56	30
