id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	516	191	30	605	301	30
2	560	227	30	711	170	30
3	554	259	30	582	166	30
4	555	178	30	855	246	30
5	574	151	30	691	381	30
6	716	199	30	817	288	30
7	661	188	30	987	117	30
8	709	194	30	574	246	30
9	833	232	30	694	361	30
10	536	315	30	668	146	30
11	551	474	30	629	282	30
12	912	308	30	595	260	30
13	628	155	30	663	391	30
14	529	126	30	587	172	30
15	572	414	30	1069	163	30
16	496	168	30	924	137	30
17	608	164	30	662	227	30
18	650	422	30	786	224	30
19	569	294	30	499	147	30
20	755	937	30	1318	152	30
21	507	144	30	688	268	30
22	493	141	30	620	168	30
23	635	137	30	679	149	30
24	646	260	30	573	136	30
25	686	179	30	652	228	30
