id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	676	406	30	748	302	30
2	530	93	30	559	259	30
3	493	183	30	499	116	30
4	545	111	30	667	194	30
5	497	159	30	578	196	30
6	547	98	30	558	138	30
7	514	127	30	533	99	30
8	563	73	30	541	100	30
9	572	224	30	595	235	30
10	567	226	30	591	178	30
11	656	246	30	833	358	30
12	659	211	30	736	327	30
13	498	55	30	559	126	30
14	540	221	30	604	254	30
15	656	153	30	734	339	30
16	657	303	30	796	335	30
17	616	367	30	634	218	30
18	589	232	30	572	147	30
19	582	162	30	630	208	30
20	572	161	30	532	99	30
21	549	156	30	538	127	30
22	514	44	30	601	200	30
23	668	225	30	784	194	30
24	640	125	30	661	268	30
25	657	231	30	681	245	30
