id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	564.17	131.73	30	671.68	116.13	30
2	619.36	112.09	30	711.7	112.15	30
3	691.21	153.16	30	800.91	118.83	30
4	878.03	136.36	30	798.86	133.44	30
5	748.19	127.73	30	818.94	167.57	30
6	537.7	122.41	30	635.93	136.89	30
7	586.2	137.77	30	776.54	166.86	30
8	697.91	139.85	30	760.75	131.12	30
9	668.41	142.03	30	630.72	123.71	30
10	566.82	155.56	30	548.45	148.5	30
11	662.36	95.12	30	716.03	124.69	30
12	631.11	138.78	30	775.5	159.71	30
13	795.28	150.4	30	876.61	122.91	30
14	785.58	120.28	30	829.96	148.1	30
15	633.72	139.84	30	634.78	175.21	30
16	696.08	127.86	30	782.58	132.63	30
17	722.68	140.49	30	982.4	111.78	30
18	718.37	133.65	30	642.2	121.12	30
19	702.39	138.14	30	799.96	180.61	30
20	567.02	117.14	30	742.18	117.4	30
21	667.11	114.23	30	695.08	91.61	30
22	616.09	144.43	30	697.85	186.66	30
23	638.22	102.3	30	584.65	78.51	30
24	578.14	128.38	30	664.66	94.25	30
25	885.77	115.09	30	911.67	167.36	30
