id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	795.7536357	111.4016448	30	1684.008415	444.5332362	30
2	524.826721	145.7404341	30	1348.004307	222.313575	30
3	973.1361093	118.9159572	30	672.6856441	628.3379772	30
4	672.4266667	81.97293446	30	635.461958	167.1430523	30
5	682.4268816	99.3552943	30	1604.287691	776.8624639	30
6	874.7560164	100.3799014	30	2287.974259	692.4081098	30
7	915.3778416	80.25728583	30	1235.271435	362.3938362	30
8	866.4845945	98.18451543	30	1930.513531	1213.427546	30
9	831.3941582	87.62486608	30	1209.258891	272.2513884	30
10	503.180053	78.07423249	30	1322.308811	666.6955548	30
11	656.7403355	110.2382734	30	1975.106414	755.8054098	30
12	676.7690692	84.43595925	30	978.4752538	390.6690352	30
13	807.1525169	95.2960094	30	1254.186368	1024.747673	30
14	512.5684717	133.6505563	30	1747.585983	546.2759167	30
15	901.4872996	131.7534418	30	1846.036962	800.9028689	30
16	560.6513681	93.75503487	30	1645.347258	426.2340712	30
17	845.6233896	122.3719877	30	794.4810313	290.789034	30
18	836.5852871	70.70869746	30	1728.636623	1041.452759	30
19	974.4805759	110.1864913	30	1808.56991	959.6086108	30
20	914.1982636	91.36264373	30	1821.803038	577.2672098	30
21	429.0817854	117.5114444	30	1702.270109	617.9865121	30
22	868.5531694	82.68017474	30	1805.200881	476.5805182	30
23	786.2737392	95.7508452	30	2049.277347	983.734913	30
24	875.0963209	115.9227569	30	1856.038496	922.3985639	30
25	896.0853522	84.38622661	30	1676.448784	344.6449828	30
