id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	664	43	30	804	91	30
2	454	32	30	754	88	30
3	865	46	30	1072	93	30
4	467	35	30	724	96	30
5	620	43	30	759	98	30
6	446	34	30	899	88	30
7	681	36	30	984	84	30
8	465	38	30	816	99	30
9	483	29	30	740	96	30
10	576	39	30	992	95	30
11	785	46	30	1433	90	30
12	697	48	30	1324	98	30
13	259	19	30	496	73	30
14	556	27	30	968	84	30
15	675	35	30	1054	86	30
16	494	35	30	520	76	30
17	436	46	30	647	79	30
18	443	34	30	1443	90	30
19	534	39	30	865	93	30
20	597	50	30	1094	94	30
21	938	28	30	754	88	30
22	554	26	30	1333	96	30
23	258	25	30	524	89	30
24	643	35	30	878	112	30
25	243	21	30	640	91	30
