id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	654	322	30	876	374	30
2	619	151	30	629	111	30
3	560	187	30	528	154	30
4	523	159	30	641	185	30
5	594	119	30	666	118	30
6	585	124	30	608	157	30
7	534	135	30	580	202	30
8	550	185	30	604	166	30
9	627	138	30	806	193	30
10	831	279	30	1184	748	30
11	530	228	30	572	149	30
12	1082	1091	30	871	507	30
13	637	222	30	689	297	30
14	552	48	30	734	359	30
15	602	232	30	642	81	30
16	551	90	30	683	247	30
17	556	126	30	621	99	30
18	522	138	30	462	119	30
19	505	132	30	533	104	30
20	576	152	30	786	617	30
21	573	123	30	656	351	30
22	462	159	30	476	137	30
23	511	157	30	517	177	30
24	535	184	30	443	92	30
25	562	221	30	511	147	30
