id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	1138	257	30	1336	182	30
2	1087	185	30	1543	191	30
3	1125	242	30	1380	255	30
4	1098	234	30	1220	190	30
5	1086	246	30	1307	160	30
6	1072	155	30	1177	203	30
7	1104	150	30	1176	207	30
8	1013	174	30	1289	172	30
9	1067	266	30	1261	168	30
10	1055	198	30	1770	193	30
11	1322	219	30	1122	246	30
12	1138	173	30	1091	249	30
13	1340	312	30	1125	192	30
14	1169	188	30	1399	163	30
15	1378	190	30	1203	171	30
16	1035	183	30	1065	269	30
17	1043	192	30	2096	181	30
18	1003	251	30	1870	368	30
19	1539	225	30	1439	299	30
20	1044	277	30	1325	241	30
21	1192	153	30	1879	264	30
22	1508	191	30	1807	164	30
23	1771	182	30	1545	186	30
24	1468	386	30	1078	267	30
25	1032	245	30	1090	266	30
