id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	681	183	30	811	147	30
2	480	114	30	625	133	30
3	639	207	30	814	238	30
4	736	225	30	903	276	30
5	729	189	30	831	215	30
6	592	164	30	702	198	30
7	642	160	30	815	410	30
8	1033	310	30	1414	372	30
9	706	166	30	810	178	30
10	741	232	30	874	214	30
11	800	221	30	973	203	30
12	580	199	30	681	213	30
13	663	151	30	790	214	30
14	813	168	30	979	199	30
15	609	172	30	791	213	30
16	746	185	30	886	205	30
17	801	210	30	1054	233	30
18	712	238	30	959	247	30
19	677	196	30	813	218	30
20	438	146	30	667	177	30
21	554	129	30	707	101	30
22	753	269	30	855	292	30
23	670	186	30	945	209	30
24	576	155	30	694	181	30
25	822	279	30	1105	252	30
