id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	659	69	30	718	72	30
2	654	72	30	687	84	30
3	650	72	30	654	96	30
4	695	71	30	761	70	30
5	681	72	30	761	66	30
6	664	62	30	731	58	30
7	673	70	30	704	79	30
8	689	80	30	764	75	30
9	697	70	30	716	54	30
10	675	77	30	753	71	30
11	632	68	30	696	90	30
12	635	79	30	691	82	30
13	651	65	30	720	73	30
14	670	78	30	730	87	30
15	629	72	30	692	76	30
16	669	70	30	724	80	30
17	696	68	30	744	74	30
18	657	73	30	739	75	30
19	687	67	30	724	82	30
20	653	75	30	715	59	30
21	665	64	30	699	67	30
22	726	68	30	763	83	30
23	678	65	30	693	63	30
24	666	51	30	680	79	30
25	634	82	30	686	62	30
