id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	740	283	30	759	283	30
2	700	284	30	791	316	30
3	616	213	30	817	433	30
4	769	382	30	890	554	30
5	698	254	30	821	331	30
6	805	341	30	931	439	30
7	628	212	30	800	370	30
8	764	292	30	851	436	30
9	682	302	30	793	368	30
10	653	211	30	942	609	30
11	833	243	30	766	359	30
12	682	349	30	964	501	30
13	640	272	30	804	391	30
14	658	296	30	894	520	30
15	764	326	30	818	385	30
16	701	301	30	848	462	30
17	668	233	30	783	500	30
18	677	266	30	768	432	30
19	805	414	30	766	312	30
20	657	330	30	826	377	30
21	652	221	30	870	484	30
22	672	269	30	856	398	30
23	833	376	30	936	498	30
24	743	297	30	835	429	30
25	793	366	30	755	325	30
