id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	406	59	30	569	143	30
2	455	57	30	708	195	30
3	532	44	30	749	149	30
4	392	45	30	622	148	30
5	446	67	30	624	134	30
6	453	43	30	709	197	30
7	500	56	30	633	94	30
8	453	73	30	639	140	30
9	555	57	30	718	114	30
10	445	53	30	596	91	30
11	469	50	30	702	192	30
12	501	45	30	682	143	30
13	424	41	30	608	128	30
14	390	52	30	598	139	30
15	540	55	30	729	156	30
16	332	52	30	635	261	30
17	492	45	30	672	154	30
18	445	47	30	612	136	30
19	499	55	30	680	92	30
20	468	50	30	636	104	30
21	556	49	30	737	108	30
22	407	66	30	626	194	30
23	529	48	30	740	158	30
24	545	40	30	728	112	30
25	450	50	30	625	122	30
