id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	669	105	30	753	187	30
2	758	216	30	796	208	30
3	691	165	30	910	229	30
4	577	92	30	875	290	30
5	640	169	30	972	178	30
6	852	172	30	1081	225	30
7	564	87	30	655	173	30
8	960	233	30	1142	408	30
9	593	94	30	614	121	30
10	1005	301	30	1028	328	30
11	714	206	30	892	239	30
12	651	196	30	764	270	30
13	829	292	30	996	307	30
14	811	284	30	904	260	30
15	792	186	30	907	293	30
16	826	256	30	795	197	30
17	628	115	30	949	264	30
18	982	281	30	1013	317	30
19	610	102	30	836	249	30
20	738	203	30	732	241	30
21	659	135	30	668	154	30
22	613	178	30	623	191	30
23	651	93	30	648	101	30
24	672	147	30	621	166	30
25	862	203	30	718	156	30
