id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	673	103	30	761	136	30
2	622	116	30	737	97	30
3	666	73	30	679	152	30
4	530	91	30	755	118	30
5	629	120	30	692	156	30
6	671	100	30	711	137	30
7	534	78	30	803	102	30
8	677	115	30	739	114	30
9	691	81	30	702	118	30
10	640	60	30	900	115	30
11	665	65	30	667	105	30
12	532	80	30	785	96	30
13	532	72	30	905	162	30
14	654	141	30	869	98	30
15	602	123	30	841	140	30
16	689	99	30	794	130	30
17	543	138	30	794	103	30
18	528	119	30	866	105	30
19	653	113	30	761	107	30
20	514	103	30	771	126	30
21	591	112	30	677	163	30
22	700	102	30	764	102	30
23	687	81	30	789	161	30
24	615	74	30	773	95	30
25	563	104	30	834	134	30
