id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	619.1333333	223.3126359	30	558.4	222.7427153	30
2	575.1333333	197.9877623	30	572.3333333	186.0603042	30
3	587.9333333	175.9178753	30	524.8333333	259.213011	30
4	442.3333333	236.702976	30	641.6666667	248.3865638	30
5	563.1333333	221.9235242	30	597.7666667	274.6888752	30
6	594	329.0126295	30	643.4	274.4984894	30
7	541.4666667	170.7067931	30	543.7666667	137.9324381	30
8	486.0666667	194.061834	30	533.8333333	188.2077142	30
9	532.5	181.3652725	30	552.4	219.0307174	30
10	526.0666667	131.9610531	30	541.2666667	151.8258833	30
11	761.3	249.9347708	30	700.2666667	325.9630753	30
12	638.2666667	384.1618672	30	703.7666667	315.5339955	30
13	489.6666667	260.5756669	30	620.2333333	217.3793258	30
14	670.4	185.948009	30	708.1333333	146.6287203	30
15	494.6333333	139.4932907	30	564.5	163.8634314	30
16	507.6	172.744699	30	509	158.3459765	30
17	452	208.8677192	30	576.0333333	188.5539314	30
18	538.9	178.392506	30	496.8333333	176.1696055	30
19	631.3333333	398.8479386	30	758.2	345.6310969	30
20	486.5666667	119.875419	30	546.3666667	167.9781356	30
21	650.0666667	346.4290676	30	599.9333333	361.9092983	30
22	800.6	258.9936226	30	674.7333333	307.4311735	30
23	498.8333333	161.9455173	30	576.7666667	217.5397995	30
24	538.2666667	230.5504557	30	580.0333333	233.9745762	30
25	498.2333333	140.7503741	30	523.4	149.2377414	30
