id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	544	156	30	630	259	30
2	653	320	30	631	327	30
3	536	157	30	479	239	30
4	512	164	30	619	185	30
5	638	258	30	738	323	30
6	664	151	30	747	226	30
7	537	360	30	752	493	30
8	365	69	30	442	152	30
9	632	161	30	713	207	30
10	750	251	30	698	151	30
11	608	195	30	704	194	30
12	766	248	30	848	342	30
13	595	82	30	774	141	30
14	397	102	30	521	118	30
15	705	137	30	706	131	30
16	719	182	30	704	177	30
17	496	138	30	713	185	30
18	403	130	30	491	180	30
19	489	166	30	591	214	30
20	560	119	30	674	224	30
21	715	175	30	802	241	30
22	730	193	30	798	239	30
23	401	52	30	505	289	30
24	632	215	30	583	158	30
25	503	135	30	673	202	30
