id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	818	76	30	884	240	30
2	677	149	30	809	216	30
3	835	85	30	938	181	30
4	618	118	30	750	159	30
5	715	161	30	808	186	30
6	723	167	30	933	313	30
7	698	80	30	817	164	30
8	715	185	30	839	281	30
9	564	104	30	654	167	30
10	610	148	30	699	190	30
11	738	24	30	856	173	30
12	661	183	30	787	217	30
13	667	122	30	722	235	30
14	703	104	30	806	206	30
15	694	147	30	797	159	30
16	714	119	30	815	186	30
17	784	80	30	842	230	30
18	721	62	30	840	48	30
19	793	239	30	953	323	30
20	651	125	30	748	273	30
21	729	155	30	823	161	30
22	824	181	30	977	216	30
23	779	158	30	916	239	30
24	769	170	30	947	214	30
25	770	108	30	865	201	30
