id	Mean	SD	Number of trials	Mean	SD	Number of trials
1	13112	580	30	28965	5214	30
2	11652	621	30	32647	7453	30
3	11028	422	30	26873	6222	30
4	12908	683	30	32012	6128	30
5	14056	666	30	25690	9211	30
6	11121	525	30	35962	6727	30
7	11468	724	30	30954	4299	30
8	16787	511	30	32888	8939	30
9	15626	333	30	31694	6010	30
10	12328	681	30	32165	7902	30
11	13659	316	30	32317	8874	30
12	12222	678	30	36110	7107	30
13	11890	531	30	27901	8881	30
14	13427	745	30	38702	7343	30
15	13592	487	30	31271	3887	30
16	14336	336	30	25555	8282	30
17	10321	249	30	39878	4267	30
18	13619	692	30	32311	6789	30
19	17889	879	30	25490	8090	30
20	11276	682	30	31328	3546	30
21	12366	701	30	22098	8334	30
22	13444	479	30	27861	7271	30
23	12471	892	30	31553	6871	30
24	13760	408	30	33012	8982	30
25	12014	617	30	32809	5213	30
