"group","type","sd"
"Genuine","sdc",247
"Genuine","sdc",277
"Genuine","sdc",275
"Genuine","sdc",76
"Genuine","sdc",96
"Genuine","sdc",73
"Genuine","sdc",157
"Genuine","sdc",175
"Genuine","sdc",190
"Genuine","sdc",171
"Genuine","sdc",219
"Genuine","sdc",346
"Genuine","sdc",147
"Genuine","sdc",97
"Genuine","sdc",266
"Genuine","sdc",118
"Genuine","sdc",87
"Genuine","sdc",340
"Genuine","sdc",266
"Genuine","sdc",91
"Genuine","sdc",248
"Genuine","sdc",151
"Genuine","sdc",260
"Genuine","sdc",279
"Genuine","sdc",120
"Genuine","sdc",163
"Genuine","sdc",211
"Genuine","sdc",152
"Genuine","sdc",116
"Genuine","sdc",98
"Genuine","sdc",310
"Genuine","sdc",89
"Genuine","sdc",179
"Genuine","sdc",62
"Genuine","sdc",243
"Genuine","sdc",270
"Genuine","sdc",189
"Genuine","sdc",91
"Genuine","sdc",205
"Genuine","sdc",306
"Genuine","sdc",92
"Genuine","sdc",147
"Genuine","sdc",290
"Genuine","sdc",90
"Genuine","sdc",107
"Genuine","sdc",70
"Genuine","sdc",419
"Genuine","sdc",192
"Genuine","sdc",145
"Genuine","sdc",73
"Genuine","sdc",152
"Genuine","sdc",300
"Genuine","sdc",107
"Genuine","sdc",436
"Genuine","sdc",261
"Genuine","sdc",270
"Genuine","sdc",316
"Genuine","sdc",157
"Genuine","sdc",120
"Genuine","sdc",195
"Genuine","sdc",85
"Genuine","sdc",102
"Genuine","sdc",72
"Genuine","sdc",347
"Genuine","sdc",245
"Genuine","sdc",163
"Genuine","sdc",55
"Genuine","sdc",127
"Genuine","sdc",45
"Genuine","sdc",154
"Genuine","sdc",263
"Genuine","sdc",256
"Genuine","sdc",214
"Genuine","sdc",120
"Genuine","sdc",246
"Genuine","sdc",229
"Genuine","sdc",79
"Genuine","sdc",144
"Genuine","sdc",218
"Genuine","sdc",161
"Genuine","sdc",405
"Genuine","sdc",45
"Genuine","sdc",161
"Genuine","sdc",281
"Genuine","sdc",169
"Genuine","sdc",396
"Genuine","sdc",186
"Genuine","sdc",189
"Genuine","sdc",125
"Genuine","sdc",284
"Genuine","sdc",135
"Genuine","sdc",83
"Genuine","sdc",235
"Genuine","sdc",328
"Genuine","sdc",76
"Genuine","sdc",207
"Genuine","sdc",364
"Genuine","sdc",190
"Genuine","sdc",73
"Genuine","sdc",187
"Genuine","sdc",156
"Genuine","sdc",129
"Genuine","sdc",149
"Genuine","sdc",200
"Genuine","sdc",147
"Genuine","sdc",166
"Genuine","sdc",67
"Genuine","sdc",154
"Genuine","sdc",344
"Genuine","sdc",69
"Genuine","sdc",256
"Genuine","sdc",258
"Genuine","sdc",118
"Genuine","sdc",271
"Genuine","sdc",156
"Genuine","sdc",72
"Genuine","sdc",160
"Genuine","sdc",157
"Genuine","sdc",171
"Genuine","sdc",83
"Genuine","sdc",155
"Genuine","sdc",192
"Genuine","sdc",114
"Genuine","sdc",290
"Genuine","sdc",451
"Genuine","sdc",193
"Genuine","sdc",161
"Genuine","sdc",89
"Genuine","sdc",231
"Genuine","sdc",88
"Genuine","sdc",193
"Genuine","sdc",571
"Genuine","sdc",160
"Genuine","sdc",368
"Genuine","sdc",453
"Genuine","sdc",142
"Genuine","sdc",167
"Genuine","sdc",167
"Genuine","sdc",71
"Genuine","sdc",168
"Genuine","sdc",331
"Genuine","sdc",133
"Genuine","sdc",171
"Genuine","sdc",77
"Genuine","sdc",110
"Genuine","sdc",101
"Genuine","sdc",641
"Genuine","sdc",708
"Genuine","sdc",89
"Genuine","sdc",293
"Genuine","sdc",102
"Genuine","sdc",264
"Genuine","sdc",174
"Genuine","sdc",76
"Genuine","sdc",313
"Genuine","sdc",102
"Genuine","sdc",257
"Genuine","sdc",264
"Genuine","sdc",188
"Genuine","sdc",409
"Genuine","sdc",251
"Genuine","sdc",479
"Genuine","sdc",151
"Genuine","sdc",194
"Genuine","sdc",156
"Genuine","sdc",228
"Genuine","sdc",253
"Genuine","sdc",154
"Genuine","sdc",197
"Genuine","sdc",158
"Genuine","sdc",358
"Genuine","sdc",130
"Genuine","sdc",70
"Genuine","sdc",295
"Genuine","sdc",800
"Genuine","sdc",402
"Genuine","sdc",292
"Genuine","sdc",167
"Genuine","sdc",226
"Genuine","sdc",140
"Genuine","sdc",74
"Genuine","sdc",62
"Genuine","sdc",76
"Genuine","sdc",357
"Genuine","sdc",64
"Genuine","sdc",376
"Genuine","sdc",88
"Genuine","sdc",100
"Genuine","sdc",134
"Genuine","sdc",111
"Genuine","sdc",158
"Genuine","sdc",642
"Genuine","sdc",162
"Genuine","sdc",234
"Genuine","sdc",281
"Genuine","sdc",213
"Genuine","sdc",76
"Genuine","sdc",803
"Genuine","sdc",278
"Genuine","sdc",126
"Genuine","sdc",58
"Genuine","sdc",228
"Genuine","sdc",158
"Genuine","sdc",330
"Genuine","sdc",190
"Genuine","sdc",246
"Genuine","sdc",122
"Genuine","sdc",604
"Genuine","sdc",195
"Genuine","sdc",455
"Genuine","sdc",79
"Genuine","sdc",88
"Genuine","sdc",81
"Genuine","sdc",99
"Genuine","sdc",175
"Genuine","sdc",117
"Genuine","sdc",339
"Genuine","sdc",104
"Genuine","sdc",71
"Genuine","sdc",257
"Genuine","sdc",111
"Genuine","sdc",261
"Genuine","sdc",370
"Genuine","sdc",174
"Genuine","sdc",275
"Genuine","sdc",453
"Genuine","sdc",175
"Genuine","sdc",137
"Genuine","sdc",158
"Genuine","sdc",116
"Genuine","sdc",234
"Genuine","sdc",230
"Genuine","sdc",181
"Genuine","sdc",270
"Genuine","sdc",187
"Genuine","sdc",325
"Genuine","sdc",251
"Genuine","sdc",152
"Genuine","sdc",151
"Genuine","sdc",218
"Genuine","sdc",159
"Genuine","sdc",261
"Genuine","sdc",388
"Genuine","sdc",90
"Genuine","sdc",149
"Genuine","sdc",302
"Genuine","sdc",314
"Genuine","sdc",210
"Genuine","sdc",172
"Genuine","sdc",98
"Genuine","sdc",246
"Genuine","sdc",67
"Genuine","sdc",161
"Genuine","sdc",147
"Genuine","sdc",106
"Genuine","sdc",367
"Genuine","sdc",67
"Genuine","sdc",316
"Genuine","sdc",95
"Genuine","sdc",520
"Genuine","sdc",93
"Genuine","sdc",391
"Genuine","sdc",117
"Genuine","sdc",102
"Genuine","sdc",174
"Genuine","sdc",275
"Genuine","sdc",199
"Genuine","sdc",149
"Genuine","sdc",279
"Genuine","sdc",190
"Genuine","sdc",243
"Genuine","sdc",137
"Genuine","sdc",254
"Genuine","sdc",248
"Genuine","sdc",261
"Genuine","sdc",129
"Genuine","sdc",187
"Genuine","sdc",95
"Genuine","sdc",421
"Genuine","sdc",128
"Genuine","sdc",203
"Genuine","sdc",219
"Genuine","sdc",540
"Genuine","sdc",255
"Genuine","sdc",63
"Genuine","sdc",107
"Genuine","sdc",116
