Site,Participant_ID,RowNumber,session_id,age,anagrams1,anagrams2,anagrams3,anagrams4,attention,attentioncorrect,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,bestgrade1,bestgrade2,bestgrade3,bestgrade4,bestgrade5,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,div3filler,elm_01,elm_02,elm_03,elm_04,elm_05,ethnicity,feedback,gender,highpower,instructbig5,instructintrinsic,instructmli,instructnfc,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lowpower,lposition,lratio,major,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mcmost1,mcmost2,mcmost3,mcmost4,mcmost5,mcsome1,mcsome2,mcsome3,mcsome4,mcsome5,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest1,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,worstgrade1,worstgrade2,worstgrade3,worstgrade4,worstgrade5,year,Station,Date.x,Experimenter,Temperatureinlab,OrderofTasks,ClipboardWeight,IIResponse,SRCondition,SRMeetingResponse,SRConfidenceResponse,SRTFCorrect,Notes,StartDate.x,EndDate,NumberofDays,Pool1,Pool2a,Pool2b,Pool2c,Pool2d,Pool2e,Pool3,Pool4,Pool5a,Pool5b,Pool6,Pool7a,Pool7b,Pool7c,Pool7d,Pool7e,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool16c,Pool17,Pool18,Pool19a,Pool19b,Pool20,ClipBoardMaterial,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bestgrade_order,bigfive_order,compcode_order,consent_order,debrief_order,demographics_order,elmques_order,elmstrong_order,elmweak_order,filler1_order,filler2_order,galinskyvignette_order,highpower_order,inlab_order,intrinsic_order,lowpower_order,mcfiller_order,mcmost_order,mcsome_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempagenf_order,tempagenm_order,tempcomf_order,tempcomm_order,tempestimate_order,tempfollowup_order,welcome_order,worstgrade_order,session_date,DateComputer,TimeComputer,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,Date.y,MonthLab,DayLab,YearLab,DaysSinceMonthLab,DaysSinceAugLab,StartDate.y,MonthStart,DayStart,YearStart,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,AttentionCheck,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,PowerCond,MostEndorse,SomeEndorse,CredCond,Genderfactor,SubDistCond,K1st,L1st,N1st,R1st,V1st,AvailFirst,AvailSign,TempCond4,TempCond,TargetGender,ArgumentQuality,NFCcenter,ELMCond,CBReject
AshlandUniversity,10,2741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8/29/14,ANK,72,II-SR,20,7,B,Friday,5,Yes,NA,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/29/14,8,29,14,0,29,8/25/14,8,25,14,0,25,NA,0.043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AshlandUniversity,11,2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8/29/14,ANK,72,SR-II,10,7,C,Monday,5,N/A,Didnt do both pages so asked for clip board back right away,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/29/14,8,29,14,0,29,8/25/14,8,25,14,0,25,NA,0.043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AshlandUniversity,12,170,7385046,19,party,flata,coine,caleo,NA,I read the instructions,357,330,354,351,348,345,342,339,336,333,Spring 2014,A - 97%,3,4,1,5,3,6,5,5,3,5,1,5,5,3 9 6 9 6 3 3 9,7,7,7,6,6,7,This Stroop task has no feedback,1,I was in power on my high school track team my senior year. I had the power to push my fellow teammates and make sure that they were working hard and doing what they were supposed to be. I liked the feeling of that but sometimes I felt a little mean and didn't like having to yell at a teammate for not doing what they were supposed to be doing.,1,1,1,1,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,2,14,NA,2,18,Exercise Science,0,3,1,0,2,NA,NA,NA,NA,NA,1,1,1,1,1,3,3,3,4,4,3,2,3,1,6,4,4,1,1,1,2,15,4,4,3,2,3,4,room temperature,6,2,7,7,6,1,3,NA,NA,NA,NA,NA,2,1,8/29/14,ANK,74,SR-II,20,6,C,Monday,5,N/A,leaned on wall,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,113.0000025,17,28,7,12,11,8,9,10,2,33,NA,NA,36,35,26,25,NA,22,23,24,21,16,30,NA,14,NA,13,15,32,29,37,34,31,0,27,6,3,5,4,NA,NA,NA,18,20,19,1,NA,8/29/14 14:25,8/29/14,14:25,8,29,14,0,29,8/29/14,8,29,14,0,29,8/25/14,8,25,14,0,25,0.043478261,0.043478261,Pass,4,6.5,5,5,4,2.666666667,5,2.5,4,4,4,3.5,HighPower,NA,0,NoCredentials,Female,BestGrade,0,0,1,0,1,2,-,CommunalMale,Communal,MaleTarget,6.6,-0.682539683,1,0
AshlandUniversity,13,173,7385155,18,party,NA,NA,NA,NA,I read the instructions!,357,330,354,351,348,345,342,339,336,333,NA,NA,NA,NA,NA,3,5,7,7,2,7,2,1,1,7,3 9 6 9 6 3 3 9,9,9,9,9,9,6,This Stroop task has no feedback,1,"I was in the position of power when my dog wanted a treat, but did not want to do a trick for it. I had the power to not give my dog what she wanted until she did what I wanted (high-five, roll over, shake, etc.). My dog knows where the treats are located and just kept pawing at the door. I wasn't frustrated that my dog didn't do what I wanted her to, I thought it was funny. It was funny because I was in control and she was practically begging for a treat, instead of just doing a trick. Doing a trick would have been quick and easy, but instead she wanted to waste all this energy whining and pawing at the door. It feels good to have a sense of power, but I wouldn't want to be in control all the time. I wouldn't want people (or my dog in this case) to be dependent on me. My dog was dependent on me for a treat, since she can't open the door and get it herself. Eventually, I felt bad because I felt like I was teasing my dog and torturing her by not giving her her favorite snack, so I gave in and gave her a couple milk bones. She's too dang cute, with those puppy dog eyes!!",1,1,1,1,1,1,1,4,3,4,4,4,4,4,3,2,4,1,4,2,4,NA,2,8654,exercise science,0,2,1,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,1,2,5,1,3,2,1,1,5,5,1,1,2,1,8,3,1,4,2,2,5,75,6,4,7,7,1,1,8,Spring 2014,C,7,7,10,1,1,8/29/14,ANK,74,II-SR,10,7,A,Monday,5,Yes,"yelled over to me ""I finished the first part"" instead of coming to me, asked P to come over here to grab the next part, it wont take long to fill it out.",8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,153.9999989,2,30,13,16,18,17,14,15,NA,32,NA,NA,36,35,5,4,NA,20,21,22,19,23,28,NA,25,24,NA,26,33,27,37,31,29,0,34,9,6,8,7,NA,NA,NA,10,12,11,1,3,8/29/14 15:07,8/29/14,15:07,8,29,14,0,29,8/29/14,8,29,14,0,29,8/25/14,8,25,14,0,25,0.043478261,0.043478261,Pass,1.5,7,2,2.5,7,2.533333333,7,2.333333333,5,5,1,4.25,HighPower,5,NA,Credentials,Female,WorstGrade,0,0,1,1,1,3,+,CommunalMale,Communal,MaleTarget,9,-0.849206349,1,0
AshlandUniversity,14,179,7391990,18,NA,NA,NA,NA,NA,I read the instructions,357,130,354,351,248,245,242,139,136,133,NA,NA,NA,NA,NA,7,6,7,5,7,3,7,1,7,2,"1,3,6,9",9,9,9,9,7,6,This Stroop task has no feedback,1,I recall a time around my junior year that I got two people together. My friend Zack wanted a girl named Taylor as his girlfriend. He wanted to be with her but he did not want to risk losing the friendship. So I decided to talk to Taylor on how she felt about the situation and she did not want to lose him as a friend either. I ended up getting them to go on a double date with me to see if anything was easier. It got a little easier as the week went on. Then I told my friend Zack he needed to ask her out already and just see how being boyfriend and girlfriend would feel. I said if you never try you will never know how you guys truly feel. In the end they dated for about 2 years and were the perfect couple. All because my friend listened to my advice on what to do.,1,1,1,1,2,2,1,4,3,2,2,4,4,4,4,3,4,2,4,2,30,NA,2,30,Nursing,3,3,2,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,2,1,5,5,1,5,5,5,2,30,4,5,1,1,1,2,30,1,7,1,5,5,3,72 degrees F,7,3,7,7,6,2,30,14-May,C-,7,3,10,1,1,9/2/14,ERS,72,II-SR,20,7,A,Friday,5,Yes,"Ps phone vibrated several times, P did not check phone or seem distracted",8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,239.9999932,26,29,20,24,25,22,23,21,NA,27,NA,NA,36,35,19,18,NA,7,8,9,6,16,28,NA,14,13,NA,15,33,30,37,32,34,0,31,5,2,4,3,10,NA,NA,NA,12,11,1,17,9/2/14 13:32,9/2/14,13:32,9,2,14,31,33,9/2/14,9,2,14,31,33,8/25/14,8,25,14,0,25,0.086956522,0.086956522,Pass,6.5,7,6,4.5,3,3.133333333,6.5,3.666666667,4,5,7,1.5,HighPower,3,NA,Credentials,Female,WorstGrade,0,0,0,0,0,0,-,AgenticFemale,Agentic,FemaleTarget,8.6,0.484126984,1,0
AshlandUniversity,15,180,7392153,18,party,NA,NA,NA,1,NA,357,330,354,351,348,345,342,339,336,333,NA,NA,NA,NA,NA,7,4,5,5,5,1,7,3,5,2,3 9 6 9 3 3 9,5,6,5,5,5,6,This Stroop task has no feedback,1,"when I was working in a nursing home and we were short staffed, other staff members came to me looking for help. I felt over whelmed at first but later on felt respected enough that they came to me for help.",1,1,NA,1,2,1,1,2,1,2,3,3,2,3,2,2,3,3,3,2,3,NA,2,7,nursing,0,3,1,0,1,NA,NA,NA,NA,NA,1,2,2,1,2,3,2,4,4,4,1,1,1,2,4,4,3,1,1,2,1,3,3,2,5,2,2,4,70,4,2,6,6,5,2,5,spring 2014,B,10,1,4,1,1,9/2/14,ERS,73,SR-II,10,7,B,Friday,4,No (4 Missed),NA,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,79.00000401,6,28,14,19,17,16,15,18,NA,34,NA,NA,36,35,25,24,NA,21,22,23,20,10,33,NA,8,NA,7,9,30,27,37,29,32,0,31,5,2,4,3,NA,NA,NA,11,13,12,1,26,9/2/14 14:01,9/2/14,14:01,9,2,14,31,33,9/2/14,9,2,14,31,33,8/25/14,8,25,14,0,25,0.086956522,0.086956522,Fail,5.5,5,7,5.5,4,2.2,5.5,2.5,4,3,2,4.25,HighPower,NA,3,NoCredentials,Female,WorstGrade,0,0,0,1,0,1,-,CommunalMale,Communal,MaleTarget,5.2,-0.682539683,1,0
AshlandUniversity,16,185,7392233,18,NA,NA,NA,NA,NA,I read the instructions,357,330,354,351,348,345,342,339,336,333,spring 2013,A,2,5,1,5,5,7,3,6,5,7,2,5,3,"3,9,6",5,3,6,3,4,6,This Stroop task has no feedback,1,NA,1,1,1,1,3,3,2,3,4,2,2,4,2,3,2,1,2,2,3,1,3,"One time that someone had power over me was when I ran winter track. It was during basketball season and one of the girls on the basketball team kicked us out of the locker room. We were told there was nothing that could be done since it was technically basketball season and winter track was not a school sanctioned sport. I was really angry because we still had practice to get to so we had to find somewhere else to get ready for practice. I was also annoyed because the locker room was a girl's sports locker room, not a basketball locker room. The basketball coach stood up for his players while our coach did nothing about it. Therefore, we were kicked out and had to change in the bathrooms until basketball season was over. During outdoor track season I was frustrated when the basketball team used the locker room when they were just lifting and it wasn't their season. I was frustrated because the girl that kicked us out didn't see how hypocritical she was being.",2,35,Psychology,0,2,2,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,3,4,2,2,20,5,5,1,1,2,2,40,6,5,3,4,4,2,70,6,2,7,7,7,2,30,NA,NA,NA,NA,NA,1,1,9/2/14,ERS,73,SR-II,20,7,B,Monday,4,Yes,"2 Ps showed up, this P did not seem to be bothered by the confusion",8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,240.0000014,6,30,21,23,25,24,26,22,7,34,NA,NA,36,35,19,18,NA,9,10,11,NA,20,29,8,16,NA,15,17,33,31,37,27,32,0,28,5,2,4,3,NA,NA,NA,12,14,13,1,NA,9/2/14 15:07,9/2/14,15:07,9,2,14,31,33,9/2/14,9,2,14,31,33,8/25/14,8,25,14,0,25,0.086956522,0.086956522,Pass,5.5,6.5,4,5,3,2.666666667,6,3.5,5,5,5,2.25,LowPower,NA,0,NoCredentials,Female,BestGrade,1,0,0,0,0,1,-,CommunalMale,Communal,MaleTarget,4.2,0.317460317,1,0
AshlandUniversity,17,195,7392698,24,trap,flat,onec,ace lo,5,NA,357,330,354,351,348,345,342,339,336,333,Winter 2008,94,8,7,7,6,5,3,2,6,5,2,3,6,5,NA,7,8,5,4,4,Arab,This Stroop task has no feedback,2,I feel good when I help any one to get what he/she want.,1,1,1,1,2,3,2,4,2,4,3,4,3,3,2,2,4,2,4,2,10,NA,1,10,Chemistry,-2,1,2,4,4,1,1,1,1,2,NA,NA,NA,NA,NA,3,3,4,3,4,2,3,2,1,10,2,4,1,1,3,1,10,2,5,4,3,4,3,25 degrees,6,4,6,5,4,2,10,NA,NA,NA,NA,NA,2,1,9/2/14,ANK,73,II-SR,10,2,C,Friday,4,N/A,"Seemed confused about finding experimentor, told me he did not understand English wording very well",8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,151.9999947,18,30,11,15,14,13,16,12,17,28,NA,NA,36,35,3,2,NA,20,21,22,19,4,27,NA,9,8,NA,10,32,33,37,29,31,0,34,26,23,25,24,5,NA,NA,NA,7,6,1,NA,9/2/14 17:11,9/2/14,17:11,9,2,14,31,33,9/2/14,9,2,14,31,33,8/25/14,8,25,14,0,25,0.086956522,0.086956522,Fail,4.5,4,4.5,2.5,2,2.666666667,5,3,2,4,5,3,HighPower,1,NA,Credentials,Male,BestGrade,0,1,1,1,0,3,+,AgenticFemale,Agentic,FemaleTarget,5.6,-0.182539683,1,0
AshlandUniversity,18,2927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9/2/14,ANK,73,II-SR,20,7,C,Monday,5,N/A,"Participant computer froze mid-session.....and she couldnt click anything and then the program shut down and so I let her go home because there was nothing I could do...Saved her work sheets (they are turned to the side in the pile) because she did the writing portion, but am aware we will be getting rid of this data.",8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/14,9,2,14,31,33,8/25/14,8,25,14,0,25,NA,0.086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AshlandUniversity,19,197,7392875,18,NA,NA,NA,NA,NA,I read the instructions,357,330,354,351,348,345,342,339,336,333,Fall 2013,A,10,1,1,3,4,5,6,3,5,2,1,4,5,3 9 6,6,7,5,6,7,6,This Stroop task has no feedback,1,NA,1,1,1,1,3,3,3,4,4,3,3,4,4,2,1,1,4,4,2,1,7,"When I am at volleyball my coaches constantly have power over what we do. They set rules and guidelines, they are also constantly evaluating us. I hate feeling like I have no control over myself or what I am allowed or not allowed to do.",1,13,Pre-med,1,2,2,0,2,NA,NA,NA,NA,NA,2,1,1,2,1,6,6,4,1,2,5,4,2,2,14,4,4,1,1,2,2,20,3,2,5,3,2,4,76,5,3,6,7,5,2,20,NA,NA,NA,NA,NA,1,1,9/2/14,ANK,73,SR-II,10,6,A,Friday,5,Yes,NA,8/25/14,11/25/14,92,1,1,0,0,0,0,3,0.25,0,NA,0,1,0,0,0,0,1,1,1,3,15,160,500,30,1,0,0,1,0,1,0.125,"We draw from 8 courses, and this is a fairly small and tightknit campus and student community.  I imagine we have more than the typical amount of participant _cross-talk_, meaning the undesirable discussion of studies, although I doubt that is critical for this project.",Plastic,240.000002,9,27,14,18,19,15,17,16,4,28,NA,NA,36,35,3,NA,2,24,25,26,NA,10,32,23,12,NA,11,13,30,33,37,34,31,0,29,8,5,7,6,NA,20,NA,NA,22,21,1,NA,9/2/14 18:13,9/2/14,18:13,9,2,14,31,33,9/2/14,9,2,14,31,33,8/25/14,8,25,14,0,25,0.086956522,0.086956522,Pass,3,6,3,3,5,2.866666667,2,4.333333333,4,4,2,4,LowPower,NA,2,NoCredentials,Female,BestGrade,1,1,0,0,0,2,-,AgenticMale,Agentic,MaleTarget,6.2,1.150793651,-1,0
