session_id,AnagramsOrder10,AvailOrder10,ELMOrder10,PowerOrder10,SESDOrder10,WeightOrder10,CredentialOrder10,MetaphorOrder10,StroopOrder10,WarmthOrder10
667559,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
667587,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
667736,4,3,7,6,8,NA,2,NA,5,1
668556,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
668557,NA,NA,NA,NA,1,NA,NA,NA,NA,2
668564,1,NA,NA,NA,2,NA,NA,NA,NA,3
668587,2,8,4,6,3,NA,5,NA,1,7
673632,NA,3,NA,1,2,NA,NA,NA,NA,4
673633,NA,NA,NA,2,NA,NA,NA,NA,NA,1
673719,3,6,8,4,5,NA,1,NA,7,2
674887,5,8,3,4,2,NA,6,NA,1,7
674964,3,2,4,1,5,NA,6,NA,8,7
675118,4,1,10,8,3,6,5,7,9,2
675119,6,8,1,5,7,2,9,3,4,10
675120,7,9,10,5,6,1,3,2,4,8
675163,5,6,4,8,1,3,10,2,9,7
675165,3,2,5,NA,6,NA,NA,NA,4,1
675171,1,5,9,6,8,2,7,3,10,4
675174,1,8,6,2,4,10,7,9,3,5
675175,3,2,1,9,10,7,6,8,5,4
675181,1,3,5,8,2,9,4,10,7,6
675187,7,9,5,8,1,2,10,3,4,6
675189,9,6,10,4,5,3,1,2,8,7
675194,7,9,4,8,3,6,1,5,2,10
675197,8,9,7,6,3,5,2,4,10,1
675204,1,9,10,5,2,6,3,7,8,4
675205,4,9,10,1,7,3,6,2,8,5
675206,8,2,6,1,9,5,3,4,7,10
675210,7,6,2,1,8,4,9,5,10,3
675215,2,3,10,4,6,7,1,8,5,9
675216,8,1,4,2,7,6,10,5,9,3
675217,9,6,7,1,8,3,4,2,5,10
675218,8,4,9,10,7,6,2,5,1,3
675220,6,5,10,4,7,8,1,9,2,3
675223,5,3,10,2,9,7,1,6,8,4
675224,7,3,8,4,2,NA,5,NA,6,1
675225,7,8,5,2,9,3,10,4,1,6
675234,4,2,6,7,10,8,5,9,1,3
675236,8,4,1,5,2,7,9,6,3,10
675237,2,7,8,10,1,3,6,4,5,9
675241,4,6,2,7,1,NA,5,NA,8,3
675243,8,9,4,7,2,5,3,6,10,1
675247,8,1,10,3,4,6,9,7,5,2
675248,5,10,4,1,6,8,3,7,9,2
675249,2,3,1,5,4,6,10,7,8,9
675258,2,7,4,6,NA,NA,1,NA,3,5
675260,7,10,9,4,6,2,3,1,8,5
675261,10,5,4,3,7,1,8,2,9,6
675262,10,1,4,5,7,2,9,3,6,8
675266,3,2,1,7,5,9,6,8,10,4
675388,1,4,5,8,3,NA,2,NA,6,7
675392,4,10,5,1,3,8,7,9,6,2
675414,6,7,9,8,2,4,5,3,1,10
675425,1,9,8,3,2,5,7,6,4,10
675451,7,2,5,9,8,4,1,3,6,10
675456,7,10,3,4,5,1,9,2,8,6
675464,10,2,6,1,4,8,3,9,5,7
675469,8,1,6,3,10,5,9,4,7,2
675482,3,2,6,4,5,8,10,9,1,7
675515,4,9,10,8,3,6,1,5,2,7
675528,5,7,10,9,3,2,8,1,6,4
675554,8,4,7,5,1,10,2,9,3,6
675556,3,8,4,2,5,6,10,7,1,9
675568,NA,1,NA,NA,NA,NA,NA,NA,NA,2
675569,2,8,9,10,4,5,3,6,1,7
675570,2,10,9,5,3,7,1,6,8,4
675585,4,2,1,9,5,7,3,8,10,6
675602,1,2,8,6,10,5,3,4,7,9
675603,10,4,2,3,1,6,5,7,9,8
675610,2,6,4,8,5,10,3,9,1,7
675614,2,4,5,6,3,8,9,7,10,1
675616,9,1,3,8,2,6,5,7,10,4
675618,6,3,5,9,10,8,2,7,1,4
675673,3,4,7,5,6,2,9,1,10,8
675678,7,4,3,10,8,2,9,1,5,6
675689,8,2,3,4,10,7,5,6,1,9
675713,6,1,4,10,5,3,8,2,7,9
675724,10,6,1,3,8,4,7,5,2,9
675762,1,8,10,4,3,6,5,7,2,9
675771,3,2,8,1,7,5,10,6,9,4
675778,10,1,9,2,3,4,8,5,7,6
675783,6,3,8,9,7,1,4,2,5,10
675784,5,3,7,8,4,NA,6,NA,1,2
675785,9,3,5,1,10,7,4,8,6,2
675887,3,10,5,8,4,2,6,1,9,7
675897,5,10,2,8,1,6,3,7,4,9
675904,8,1,9,10,5,3,6,2,7,4
675911,8,2,6,7,5,NA,3,NA,4,1
675914,1,8,6,5,2,NA,3,NA,4,7
675921,4,5,6,9,10,2,8,3,1,7
675922,10,3,4,2,1,7,8,6,9,5
675933,8,2,5,6,1,10,3,9,4,7
675954,7,9,3,10,1,6,2,5,4,8
675955,10,6,8,4,9,2,5,3,1,7
675968,7,8,6,1,10,5,9,4,3,2
675970,10,9,7,1,5,2,6,3,8,4
675971,4,10,1,3,2,8,5,9,7,6
675982,3,5,1,6,7,10,8,9,2,4
675985,7,10,4,6,8,3,9,2,5,1
675986,6,9,10,5,2,3,8,4,1,7
675988,10,3,5,2,9,7,4,8,1,6
675994,8,5,7,1,9,2,4,3,10,6
679635,8,9,10,6,1,4,7,3,5,2
679647,5,4,9,2,8,6,3,7,1,10
679652,10,8,5,1,9,3,4,2,7,6
679667,3,2,8,7,5,9,6,10,4,1
679671,7,4,10,5,6,3,8,2,1,9
679681,4,6,7,10,9,1,5,2,3,8
679687,7,4,5,3,6,10,8,9,2,1
679702,8,6,5,7,4,10,1,9,2,3
679712,9,4,8,10,5,6,3,7,1,2
679729,6,8,1,5,4,9,3,10,7,2
679819,4,5,2,7,1,9,3,8,10,6
679828,1,4,6,10,3,9,2,8,5,7
679833,2,8,9,5,10,4,7,3,1,6
679835,4,8,1,7,5,3,10,2,9,6
679844,5,4,8,9,7,1,10,2,6,3
679852,4,9,6,5,8,3,10,2,7,1
679860,4,5,10,6,7,1,8,2,9,3
679867,8,7,9,5,6,3,4,2,1,10
679888,8,5,10,1,9,7,2,6,3,4
679889,4,1,7,2,8,10,6,9,3,5
679960,4,1,3,2,10,9,6,8,5,7
679979,2,7,3,5,6,8,1,9,10,4
679993,8,7,4,3,5,9,2,10,1,6
680013,10,2,1,3,9,5,8,4,7,6
680016,10,1,2,4,6,8,5,9,7,3
680020,7,10,5,1,4,3,8,2,6,9
680023,9,3,7,10,8,5,1,6,2,4
680026,4,3,1,2,7,NA,8,NA,5,6
680027,5,4,3,7,2,NA,1,NA,6,8
680029,1,4,6,7,3,NA,2,NA,5,8
680069,7,4,1,3,6,10,5,9,2,8
680074,10,4,1,6,2,8,5,9,3,7
680077,NA,1,4,5,6,NA,2,NA,3,7
680114,6,8,5,7,9,1,4,2,3,10
680116,5,4,10,2,1,9,3,8,7,6
680118,3,6,2,1,8,NA,4,NA,7,5
680119,3,5,6,10,1,8,4,7,2,9
680121,3,1,7,8,6,NA,5,NA,4,2
680164,10,9,7,8,2,5,1,4,3,6
680170,10,9,8,3,4,2,5,1,7,6
680190,1,10,2,8,7,4,6,5,9,3
680202,4,7,9,10,1,3,5,2,6,8
680206,7,4,8,9,2,5,3,6,1,10
680209,10,7,2,8,9,5,1,4,6,3
680214,7,6,5,4,3,8,2,9,10,1
680362,9,6,10,4,3,2,7,1,8,5
680366,10,4,6,8,5,3,7,2,1,9
680367,5,2,7,8,1,3,10,4,9,6
