ML3: In-Session Data Spreadsheet: Ashland University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab (F),Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,AshlandUniversity,1,8/28/14,ERS,75,"SR, II",10,7,A,Monday,5,"two right, two wrong",Leaned against wall for clipboard portion
8,AshlandUniversity,1,8/28/14,ERS,74,"SR, II",20,7,A,Friday,5,All correct,"Asked what a ""recruiting decision"" was, told P to put whatever thought was best"
9,AshlandUniversity,1,8/28/14,ERS,74,"II, SR",10,5,B,Friday,5,All correct,Set clipboard down on file box
10,AshlandUniversity,1,8/29/14,ANK,72,"II, SR",20,7,B,Friday,5,Answered all four incorrectly ,
11,AshlandUniversity,1,8/29/14,ANK,72,"SR, II",10,7,C,Monday,5,n/a,Didnt do both pages so asked for clip board back right away 
12,AshlandUniversity,1,8/29/14,ANK,74,"SR, II",20,6,C,Monday,5,n/a,leaned on wall 
13,AshlandUniversity,1,8/29/14,ANK,74,"II, SR",10,7,A,Monday,5,All correct,"yelled over to me ""I finished the first part"" instead of coming to me, asked P to come over here to grab the next part, it wont take long to fill it out."
14,AshlandUniversity,1,9/2/14,ERS,72,"II, SR",20,7,A,Friday,5,All correct,"Ps phone vibrated several times, P did not check phone or seem distracted"
15,AshlandUniversity,1,9/2/14,ERS,73,"SR, II",10,7,B,Friday,4,All incorrect,
16,AshlandUniversity,1,9/2/14,ERS,73,"SR, II",20,7,B,Monday,4,All correct,"2 Ps showed up, this P did not seem to be bothered by the confusion"
17,AshlandUniversity,1,9/2/14,ANK,73,"II, SR",10,2,C,Friday,4,n/a,"Seemed confused about finding experimentor, told me he did not understand English wording very well"
18,AshlandUniversity,1,9/2/14,ANK,73,"II, SR",20,7,C,Monday,5,n/a,"Participant computer froze mid-session.....and she couldnt click anything and then the program shut down and so I let her go home because there was nothing I could do...Saved her work sheets (they are turned to the side in the pile) because she did the writing portion, but am aware we will be getting rid of this data."
19,AshlandUniversity,1,9/2/14,ANK,73,"SR, II",10,6,A,Friday,5,All correct,
20,AshlandUniversity,1,9/4/14,ERS,74,"SR, II",20,6,A,Friday,5,All correct,Leaned against wall
21,AshlandUniversity,1,9/4/14,ERS,75,"II, SR",10,6,B,Monday,5,All correct,"Set clipboard down on filer, took 45 mins"
22,AshlandUniversity,1,9/4/14,ERS,75,"II, SR",20,7,B,Friday,4,All correct,"Asked about ""last term in school"", told P to put whatever thought was best"
23,AshlandUniversity,1,9/5/14,ANK,75,"SR, II",10,6,C,Friday,3,N/A,
24,AshlandUniversity,1,9/5/14,ANK,75,"SR, II",20,7,C,Friday,5,N/A,Seemed very confused..Didnt follow directions well. 
25,AshlandUniversity,1,9/8/14,ANK,71,"II, SR",10,4,A,Friday,4,All correct,Asked if they were supposed to read the directions on the written part first
26,AshlandUniversity,1,9/8/14,ANK,71,"II, SR",20,6,A,Friday,4,All correct,Entered her own P number into the website instead of following instructions
27,AshlandUniversity,1,9/9/14,ERS,71,"SR, II",10,7,B,Monday,4,All incorrect,"Ps phone vibrated several times, P did not check phone or seem distracted"
28,AshlandUniversity,1,9/9/14,ERS,72,"SR, II",20,7,B,Monday,3,All incorrect,
