ML3: In-Session Data Spreadsheet: Bradley University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,BradleyUniversity,61,9/8/14,CS,,II-SR,10,7,A,friday,5,yes,
2,BradleyUniversity,57A,9/8/14,CS,,II-SR,20,6,A,friday,4,yes,
3,BradleyUniversity,57B,9/8/14,CS,,SR-II,10,6,B,monday,4,yes,
4,BradleyUniversity,57A,9/8/14,CS,,SR-II,20,6,B,friday,5,yes,
5,BradleyUniversity,57B,9/8/14,CS,,II-SR,10,7,C,monday,4,N/A,
6,BradleyUniversity,61,9/8/14,CS,,II-SR,20,5,C,friday,5,N/A,
7,BradleyUniversity,57A,9/8/14,CS,,SR-II,10,6,A,monday,5,yes,
8,BradleyUniversity,61,9/8/14,CS,,SR-II,20,7,A,monday,5,yes,
9,BradleyUniversity,57B,9/8/14,CS,,II-SR,10,7,B,friday,5,yes,
10,BradleyUniversity,57A,9/8/14,CS,,II-SR,20,6,B,monday,4,yes,put clipboard on the table
11,BradleyUniversity,61,9/8/14,CS,,SR-II,10,6,C,friday,5,N/A,
12,BradleyUniversity,57A,9/8/14,CS,,SR-II,20,6,C,friday,5,N/A,came in and leaned over the table and did not hold the clipboard
13,BradleyUniversity,61,9/8/14,CS,,II-SR,10,6,A,monday,5,yes,"came in almost immediately after participant 12, saw them using the table, and proceeded to also use the table to put their clipboard down"
14,BradleyUniversity,57A,9/8/14,CS,,II-SR,20,6,A,friday,4,yes,
15,BradleyUniversity,57B,9/9/14,jk,,SR-II,10,6,B,friday,4,no (2),
16,BradleyUniversity,61,9/9/14,jk,,SR-II,20,6,B,monday,4,no (1),
17,BradleyUniversity,57A,9/9/14,jk,,II-SR,10,6,C,monday,5,N/A,Leaned against doorway
18,BradleyUniversity,57B,9/9/14,jk,,II-SR,20,6,C,friday,4,N/A,
19,BradleyUniversity,61,9/9/14,jk,,SR-II,10,7,A,friday,4,yes,
20,BradleyUniversity,,,,,SR-II,20,,,,,,
21,BradleyUniversity,center cubicle,9/9/14,jk,,II-SR,10,5,B,friday,5,no (2),
22,BradleyUniversity,57B,9/9/14,jk,,II-SR,20,6,B,monday ,5,yes,
23,BradleyUniversity,61,9/9/14,jk,,SR-II,10,6,C,friday ,5,N/A,
24,BradleyUniversity,57B,9/9/14,jk,,SR-II,20,7,C,friday,5,N/A,"filled out survey #27 as well, rested clipboard on box"
25,BradleyUniversity,57A,9/9/14,jk,,II-SR,10,7,A,friday,5,yes,
