ML3: In-Session Data Spreadsheet: Ithaca College,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,IthacaCollege,a,9/17/14,HP,76.5,"SR, II",A,6,a,Friday,5,4,Participant sat down at the table when holding the clipboard
8,IthacaCollege,b,9/17/14,HP,76.5,"SR, II",A,6,a,Friday,4,3,
9,IthacaCollege,,9/18/14,CH,76.5,"II, SR",B,,,,,,no show
10,IthacaCollege,b,9/18/14,CH,76.5,"II, SR",B,7,b,Friday,5,1,
11,IthacaCollege,,9/18/14,AKG,76.5,"SR, II",C,,,,,,no show
12,IthacaCollege,a,9/18/14,AKG,76.5,"SR, II",C,5,c,Friday,5,,"after introductory script but before beginning questionnaire, computer timed out so had participant switch rooms"
13,IthacaCollege,b,9/22/14,ECH,76.5,"II, SR",A,6,a,Friday,4,4,computer froze when the participant hit the first continue button. Experimenter hit refresh button and questionnaire could continue. participant leaned on the door when holding the clipboard
14,IthacaCollege,a,9/22/14,ECH,76.5,"II, SR",A,7,a,Friday,5,4,computer froze when the participant hit the first continue button. Experimenter hit refresh button and questionnaire could continue.
15,IthacaCollege,,9/23/14,PH,76.5,"SR, II",B,,,,,,no show
16,IthacaCollege,a,9/23/14,PH,76.5,"SR, II",B,6,b,Friday,3,2,
17,IthacaCollege,b,9/23/14,KK,76.5,"II, SR",C,7,c,Friday,5,,Participant sat down at the computer with the clipboard
18,IthacaCollege,a,9/23/14,KK,76.5,"II, SR",C,6,c,Friday,5,,
19,IthacaCollege,,9/24/14,HP,76.5,"SR, II",A,,,,,,no show
