ML3: In-Session Data Spreadsheet: Miami University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,MiamiUniversity,A,9/9/14,BTH,73,,,7,A,Friday,5,Yes,
8,MiamiUniversity,C,9/9/14,BTH,73,,,6,A,Friday,3,Yes,
9,MiamiUniversity,D,9/9/14,BTH,73,,,7,B,Friday,3,No (1),"set clipboard on window ledge; screen to enter ID on computer did not show up - went straight to final code page w/ ""no study session"" at the top"
10,MiamiUniversity,B,9/9/14,BTH,73,,,6,B,Friday,5,Yes,"sat/leaned on window ledge; screen to enter ID on computer did not show up - went straight to final code page w/ ""no study session"" at the top"
11,MiamiUniversity,A,9/12/14,CG,72,,,6,C,Friday ,5,N/A,
12,MiamiUniversity,D,9/12/14,CG,72,,,6,C,Monday,5,N/A,
13,MiamiUniversity,B,9/12/14,CG,72,,,6,A,Monday,4,Yes,
14,MiamiUniversity,C,9/15/14,KD,72,,,7,A,Monday,5,Yes,
15,MiamiUniversity,B,9/15/14,KD,72,,,7,B,Monday,5,Yes,
16,MiamiUniversity,A,9/15/14,KD,72,,,7,B,Monday,5,No (1),
17,MiamiUniversity,D,9/15/14,KD,72,,,5,C,Monday,4,NA,
18,MiamiUniversity,B,9/16/14,BTH,72,,,6,C,Monday,5,N/A,"P pressed last ""continue"" button. I used the back button on browser, but I'm not sure if ID recorded properly"
19,MiamiUniversity,D,9/16/14,BTH,72,,,6,A,Monday,4,Yes,
20,MiamiUniversity,C,9/16/14,BTH,72,,,7,A,Monday,3,Yes,
21,MiamiUniversity,A,9/16/14,BTH,72,,,7,B,Friday,5,No (3),
22,MiamiUniversity,B,9/19/14,CG,73,,,5,B,Monday,4,No (1),"sat clipboard on stack of books. got halfway through the computer portion, then the webpage was unavailable. so she could not finish and I could not put her participant ID in"
23,MiamiUniversity,C,9/22/14,KD,71,,,7,C,Monday,5,N/A,
24,MiamiUniversity,D,9/22/14,KD,71,,,7,C,Friday,5,N/A,
25,MiamiUniversity,A,9/22/14,KD,71,,,6,A,Friday,5,Yes,
26,MiamiUniversity,B,9/22/14,KD,71,,,6,A,Monday,5,Yes,"Circled, then crossed out Friday. Chose Monday instead"
