,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,MichiganStateUniversity,1,9/11/14,C.K.,70 F,"II, SR",10,7,A,Friday,4,Yes,Participant attempted to sit when taking the survey and I told him to stand
2,MichiganStateUniversity,3,9/11/14,C.K.,71 F,"II, SR",20,5,A,Friday,5,Yes,Participant came out of the her room when I was debriefing a previous participant and may have overheard some of the information. Participant also leaned against the wall when taking the survey.
3,MichiganStateUniversity,2,9/11/14,C.K.,70 F,"SR, II",10,7,B,Friday,5,No (2),N/A
4,MichiganStateUniversity,2,9/11/14,V.C./C.K.,70 F,"SR, II",20,7,B,Monday,5,Yes,Participant leaned up against the wall part of the way through filling out the paper forms
5,MichiganStateUniversity,1,9/11/14,V.C./C.K.,70 F,"II, SR",10,7,C,Friday,5,N/A,Participant leaned up against the door frame while filling out the paper forms
6,MichiganStateUniversity,3,9/11/14,V.C./C.K.,70 F,"II, SR",20,6,C,Monday,3,N/A,Computer error participant left early
7,MichiganStateUniversity,2,9/11/14,V.C./C.K.,70 F,"SR, II",10,N/A,A,N/A,N/A,N/A,Computer error participant left early
8,MichiganStateUniversity,1,9/11/14,V.C./C.K.,70 F,"SR, II",20,5,A,Friday,5,No (1),N/A
9,MichiganStateUniversity,2,9/11/14,V.C./C.K.,71 F,"II, SR",10,7,B,Friday,4,Yes,Participant took about 35 minutes to complete the study
10,MichiganStateUniversity,1,9/11/14,V.C./C.K.,71 F,"II, SR",20,7,B,Friday,4,No (1),N/A
11,MichiganStateUniversity,3,9/11/14,V.C./C.K.,71 F,"SR, II",10,6,C,Monday,4,N/A,N/A
12,MichiganStateUniversity,2,9/11/14,G.W.,70 F,"SR, II",20,7,C,Friday,5,N/A,Participant sat down while taking the survey.
13,MichiganStateUniversity,1,9/11/14,G.W.,70 F,"II, SR",10,7,A,Monday,4,Yes,N/A
14,MichiganStateUniversity,1,9/11/14,G.W.,70 F,"II, SR",20,5,A,Monday,5,Yes,N/A
15,MichiganStateUniversity,2,9/11/14,G.W.,70 F,"SR, II",10,7,B,Friday,5,No (1),Participant arrived 5 minutes late; also sat the clipboard on a table while filling it out.
16,MichiganStateUniversity,3,9/11/14,G.W.,71 F,"SR, II",20,6,B,Friday,4,No (1),Both participants filled out the survey at the same time.
17,MichiganStateUniversity,1,9/11/14,G.W.,71 F,"II, SR",10,3,C,Monday,5,N/A,Both participants filled out the survey at the same time; participant asked experimenter for help son some of the questions. Experimenter reassured the participant to use their best judegment.
18,MichiganStateUniversity,2,9/11/04,G.W.,70 F,"II, SR",20,3,C,Monday,5,N/A,Participant took about 45 minutes to complete the study.
19,MichiganStateUniversity,1,9/11/14,G.W.,71 F,"SR, II",10,4,A,Monday,5,Yes,Both participants filled out the survey at the same time.
20,MichiganStateUniversity,3,9/11/14,G.W.,71 F,"SR, II",20,6,A,Monday,5,Yes,Both participants filled out the survey at the same time.
21,MichiganStateUniversity,1,9/11/14,G.W.,70 F,"II, SR",10,7,B,Monday,5,Yes,N/A
22,MichiganStateUniversity,2,9/11/14,G.W.,70 F,"II, SR",20,7,B,Friday,5,Yes,N/A
23,MichiganStateUniversity,1,9/11/14,J.L.,70 F,"SR, II",10,5,C,Friday,5,N/A,"Participant was signed up for 3:30 session, but came in at 3:00, so took the survey early. She tried to sit down, but the experimenter asked her to stand."
24,MichiganStateUniversity,3,9/11/14,J.L.,70 F,"SR, II",20,6,C,Friday,5,N/A,Went to sit; I reiterated standing
25,MichiganStateUniversity,2,9/11/14,J.L.,70 F,"II, SR",10,5,A,Monday,4,Yes,Participant accidentaly closed survey before I could enter ID #
26,MichiganStateUniversity,1,9/11/14,J.L.,70 F,"II, SR",20,6,A,Friday,5,Yes,Participant sat down while taking the survey; also took longer than 30 minutes
27,MichiganStateUniversity,2,9/11/14,J.L.,70 F,"SR, II",10,4,B,Monday,3,Yes,Participant took more than 30 minutes overall
28,MichiganStateUniversity,3,9/11/14,J.L.,70 F,"SR, II",20,5,B,Monday,5,No (4),Participant took more than 30 minutes overall
29,MichiganStateUniversity,1,9/11/14,J.L.,70 F,"II, SR",10,7,C,Friday,5,N/A,Participant took more than 30 minutes overall
30,MichiganStateUniversity,2,9/11/14,D.V.,70 F,"II, SR",20,6,C,Friday,4,N/A,Participant took more than 30 minutes overall
31,MichiganStateUniversity,3,9/11/14,D.V.,70 F,"SR, II",10,5,A,Monday,4,No (1),"Participant took more than 30 minutes overall; had to repeat last sentence after she asked ""right here?"""
32,MichiganStateUniversity,1,9/11/14,D.V.,70 F,"SR, II",20,6,A,Monday,4,Yes,N/A
33,MichiganStateUniversity,2,9/11/14,D.V.,70 F,"II, SR",10,5,B,Friday,5,Yes,"Quickly went over to sit in a chair; I repeated last sentence, she said ""ok"" but still sat. Completed survey sitting down."
34,MichiganStateUniversity,1,9/11/14,D.V.,70 F,"II, SR",20,7,B,Monday,5,Yes,"WRONG PACKET USED. Used 10, II-SR, B Went over to sit, I repeated last sentence. She ended up standing but seemed awkward about it."
35,MichiganStateUniversity,2,9/11/14,D.V.,70 F,"SR, II",10,6,C,Wednesday,5,N/A,Participant did not come out to find me after the message was supposed to come up midway through. So he ended up completing the survey after completing the entire computerized portion of the study. Also took him more than 30 minutes overall.
