ML3: In-Session Data Spreadsheet: Montana State University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,MontanaStateUniversity,1,9/11/14,Katie L.,65,"SR, II",10,6,A,Friday,3,Yes,"Participant tried walking back to the the desk during the Face to Face, I had to repeat myself and she came back and stood taking the survey."
8,MontanaStateUniversity,4,9/11/14,Mari S. ,67,"SR, II",20,6,A,Friday ,5,Yes,none
9,MontanaStateUniversity,2,9/12/14,Lizzie S.,71,"II, SR",10,7,B,Friday,4,Yes,Particiapnt's phone rang-he did not answer it. 
10,MontanaStateUniversity,4,9/15/14,Lizzie S.,69,"II, SR",20,6,B,Monday,5,Yes,Participant only knew temperature in celsius-guessed in F. Participant also leaned against table. 
11,MontanaStateUniversity,1,9/17/14,Jessica S.,72,"SR, II",10,7,C,Friday,5,n/a,none
12,MontanaStateUniversity,1,9/17/14,Jessica S.,74,"SR, II",20,3,C,Monday,5,n/a,none
13,MontanaStateUniversity,4,9/17/14,Cassandra P.,78,"II, SR",10,6,A,Friday,2,No,"Participant didn't know what numbers to hit during the hit the numbers portion, I pointed to top line numbers for him to use and not 9-dig key pad or mouse which he had been trying. also called for me when he got to the ""go get the experimenter"" portion, so I had him walk with me to walk way and fill out his survey. I told him to quickly fill it out where he stood since it was quick. "
14,MontanaStateUniversity,1,9/18/14,Katie L.,72,"II, SR",20,7,A,Friday,5,Yes,none
15,MontanaStateUniversity,1,9/18/14,mari S. ,72,"SR, II",10,6,B,Friday ,5,No,none
16,MontanaStateUniversity,2,9/19/14,Lizzie S.,74,"SR, II",20,7,B,Monday,3,Yes,Participant asked if she should sit down--I told her she was fine where she was. 
17,MontanaStateUniversity,4,9/22/14,Lizzie S.,74,"II, SR",10,7,C,Monday,5,n/a,
18,MontanaStateUniversity,1,9/24/14,Jessica S.,78,"II, SR",20,7,C,Friday,4,n/a,do NOT have permission to use participants data
19,MontanaStateUniversity,3,9/24/14,Jessica S.,78,"SR, II",10,7,A,Friday,5,Yes," participant started out standing when filling out surverys, but then started leaning on table toward the end"
20,MontanaStateUniversity,4,9/24/14,Cassandra P.,75,"SR, II",20,6,A,Friday,5,Yes,"participant came up and got me and tried to straight back to computer, I advised him he need to stay with me at the door. Also- at end I tried to put in their participant number but the computer errored out - I may have waited too long for this, I am not sure. Part 20 finished second on the study on 09/24/14 that started at 6. Ended around 6:25 or so."
21,MontanaStateUniversity,1,9/24/14,Cassandra P.,75,"II, SR",10,6,B,Monday,4,Yes,"Computer errored out when I tried to put in participant number, this study was on 09/24/14 started at 6 and ended around 6:20, this part was the first to finish."
22,MontanaStateUniversity,2,9/25/14,Lizzie S.,78,"II, SR",20,5,B,Monday,4,No,none
23,MontanaStateUniversity,3,9/25/14,Lizzie S.,78,"SR, II",10,6,C,Friday,5,n/a,Computer showed error after I put in participant ID
24,MontanaStateUniversity,1,9/25/14,Mari S. ,78,"SR, II",20,7,C,Friday,5,n/a,Participant stood up but put survey on desk 
25,MontanaStateUniversity,4,9/25/14,Mari S. ,78,"II, SR",10,7,A,Friday ,5,yes ,Participant leaned against the wall 
26,MontanaStateUniversity,1,9/26/14,Lizzie S.,81,"II, SR",20,7,A,Monday,3,yes,"Participant started standing, then placed clipboard on desk. Computer error after I entered ID"
27,MontanaStateUniversity,2,9/26/14,Lizzie S.,81,"SR, II",10,6,B,Monday,5,no,Participant placed clipboard on desk. 
28,MontanaStateUniversity,4,9/26/14,Lizzie S.,82,"SR, II",20,7,B,Monday,5,no,Computer error after I entered ID
29,MontanaStateUniversity,3,9/26/14,Lizzie S.,82,"II, SR",10,7,C,Friday,5,n/a,Computer error after I entered ID
