ML3: In-Session Data Spreadsheet: Nova Southeastern University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,NovaSoutheasternUniversity,a,9/11/14,Alexis Murphy,78,SR-II,10,6,a,Friday ,5,yes,placed clipboard on table occasionally
8,NovaSoutheasternUniversity,a,9/11/14,Abraham,78,SR-II,20,6,a,Friday ,5,yes ,participant removed book from chair and sat down
9,NovaSoutheasternUniversity,a,9/12/14,Bo,78,II-SR,10,7,b,Monday,5,yes,leaned against the wall
10,NovaSoutheasternUniversity,a,9/12/14,Elizabeth,78,II-SR,20,6,b,Friday ,5,yes,
11,NovaSoutheasternUniversity,a,9/12/14,Elizabeth,78,SR-II,10,4,c,Friday ,3,no respone ,
12,NovaSoutheasternUniversity,a,9/12/14,Elizabeth,78,SR-II,20,6,c,Friday ,4,no response ,
13,NovaSoutheasternUniversity,a,9/12/14,Elizabeth,78,II-SR,10,6,a,Friday ,4,yes ,leaned against the wall
14,NovaSoutheasternUniversity,a,9/15/14,Bo,78,II-SR,20,6,a,Friday ,5,yes,
15,NovaSoutheasternUniversity,a,9/15/14,Stephanie P.,78,SR-II,10,7,b,Friday ,4,no (1),leaned against the table
16,NovaSoutheasternUniversity,a,9/15/14,Stephanie P.,78,SR-II,20,6,b,Friday ,5,yes,
17,NovaSoutheasternUniversity,a,9/15/14,Candace S.,78,II-SR,10,7,c,Friday ,5,no response ,leaned against the table
18,NovaSoutheasternUniversity,a,9/15/14,Candace S.,76,II-SR,20,6,c,Friday ,5,no response ,sat on table 
19,NovaSoutheasternUniversity,a,9/16/14,Alexis Murphy,79,SR-II,10,6,a,Friday ,5,yes,
20,NovaSoutheasternUniversity,a,9/16/14,Idania C.,78,SR-II,20,7,a,Monday,3,yes ,particpant went through to end on the computer 
21,NovaSoutheasternUniversity,a,9/16/14,Idania C.,79,II-SR,10,7,b,Monday,5,yes,participant sat in the rolly chair
22,NovaSoutheasternUniversity,a,9/17/14,Bo,78,II-SR,20,6,b,Monday ,5,yes,As soon as I left his computer he sat down and finished the writing 
23,NovaSoutheasternUniversity,a,9/17/14,Guy M.,78,SR-II,10,6,c,Monday,5,no response ,
24,NovaSoutheasternUniversity,a,9/17/14,Guy M.,78,SR-II,20,7,c,Friday ,5,no response,sat at table
25,NovaSoutheasternUniversity,a,9/17/14,Valeria,78,II-SR,10,7,a,Friday ,5,yes ,Participant went and sat on the chair and used the table
26,NovaSoutheasternUniversity,a,9/17/14,Valeria,78,II-SR,20,4,a,Friday ,5,yes ,Participant leaned on the table to answer questions
27,NovaSoutheasternUniversity,a,9/17/14,Abraham,78,SR-II,10,6,b,Friday ,4,no (3),
28,NovaSoutheasternUniversity,a,9/17/14,Abraham,78,SR-II,20,6,b,Friday ,3,no (4) ,participant slightly leaned on the wall
29,NovaSoutheasternUniversity,a,9/18/14,Alexis Murphy,78,II-SR,10,7,c,Friday ,5,no response ,setting clipboard on top of box
30,NovaSoutheasternUniversity,a,9/18/14,Valeria,78,II-SR,20,5,c,Friday ,5,no response ,participant watied for me to move from computer to have a seat
31,NovaSoutheasternUniversity,a,9/19/14,Karissa D.,79,SR-II,10,7,a ,Friday ,5,yes ,
32,NovaSoutheasternUniversity,a,9/19/14,Bo,79,SR-II,20,7,a,Monday ,5,yes ,
33,NovaSoutheasternUniversity,a,9/19/14,Elizabeth,79,II-SR,10,7,b,Friday ,5,yes ,leaned against the wall
34,NovaSoutheasternUniversity,a,9/19/14,Elizabeth,79,II-SR,20,7,b,Monday ,5,yes ,
35,NovaSoutheasternUniversity,a,9/22/14,Stephanie P.,78,SR-II,10,6,c,Friday ,5,no response ,asked to sit in a chair/sat on the floor
36,NovaSoutheasternUniversity,a,9/22/14,Candace S.,78,SR-II,20,7,c,Friday ,5,no response ,sat in chair 
37,NovaSoutheasternUniversity,a,9/22/14,Candace S.,76,II-SR,10,7,a,Friday ,5,yes ,leaned against wall
