ML3: In-Session Data Spreadsheet: OSU at Newark,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,OSUNewark,4,11/12/14 11:30,Ashley,72,"II, SR",10,5,A,friday,5,Yes,Cloudy. I forgot and accidently walked away. So they participant laid his clipboard on table.
2,OSUNewark,2,11/12/14 11:30,Ashley,72,"II, SR",20,6,A,friday,5,No (1),Cloudy.
3,OSUNewark,3,11/12/14 11:30,Ashley,72,"SR, II",10,6,B,friday,4,No (2),Cloudy. The participant set the clipboard at the end of the table. 
4,OSUNewark,2,11/12/14 12:00,Ashley,71,"SR, II",20,4,B,monday,4,No (2),Cloudy.
5,OSUNewark,4,11/12/14 12:00,Ashley,71,"II, SR",10,5,C,friday,5,n/a,Cloudy.
6,OSUNewark,3,11/12/14 12:30,Ashley,70,"II, SR",20,7,C,friday,3,n/a,"Cloudy. The second welcome page didn't load correctly (there were all codes on the screen), so I restarted her computer portion of the study. "
7,OSUNewark,2,11/12/14 12:30,Ashley,70,"SR, II",10,7,A,friday,5,Yes,Cloudy. The participant went straight to lean against table before I could give her the survey to fill out. So she stay in that postition why filling out the surveys. 
8,OSUNewark,2,11/12/14 1:00,Ashley,72,"SR, II",20,7,A,monday,5,Yes,Cloudy.
9,OSUNewark,3,11/12/14 1:00,Ashley,72,"II, SR",10,7,B,friday,5,Yes,Cloudy.
10,OSUNewark,4,11/12/14 1:00,Ashley,72,"II, SR",20,2,B,monday,5,Yes,"Cloudy. The second welcome page didn't load correctly, so I restarted her computer portion of the study. "
11,OSUNewark,2,11/12/14 2:00,Ashley,71,"SR, II",10,6,C,friday,4,n/a,Cloudy.
12,OSUNewark,3,11/12/14 2:00,Ashley,71,"SR, II",20,6,C,monday,5,n/a,Cloudy. She didn't listen and clicked continue before listening to the whole instruction. 
13,OSUNewark,3,11/12/14 2:30,Ashley,70,"II, SR",10,6,A,friday,4,No (1),"Cloudy. She asked me a question about which trash can is white and if the stick person is her. I apologized and told her that I was unable to answer those questions. But try to the best of her abilities. Participant started at 2:30, when 3:15 came around, she was still working on the computer portion of the study. I ask if she was alright with me bringing in the next set of participant for the 3:00 session. She said yes. Later I debriefed her outside the room/lab. "
14,OSUNewark,4,11/12/14 3:00,Ashley,70,"II, SR",20,3,A,friday,3,Yes,Cloudy. 
15,OSUNewark,2,11/12/14 3:00,Ashley,70,"SR, II",10,5,B,friday,4,No (2),Cloudy. 
16,OSUNewark,2,11/13/14 11:30,CP,72,"SR, II",20,6,B,friday,5,No (3),Cloudy.
17,OSUNewark,4,11/13/14 11:30,CP,72,"II, SR",10,6,C,monday,4,n/a,Cloudy.
18,OSUNewark,3,11/13/14 11:30,CP,72,"II, SR",20,6,C,monday,5,n/a,Cloudy.
19,OSUNewark,2,11/13/14 12:00,CP,72,"SR, II",10,6,A,monday,3,Yes,Cloudy.
20,OSUNewark,1,11/13/14 12:00,CP,72,"SR, II",20,5,A,monday,5,Yes,"Cloudy. Dr. Wirth did the second half of the study, administer the clipboard manipulation."
21,OSUNewark,3,11/13/14 2:30,CP,72,"II, SR",10,5,B,friday,5,Yes,Cloudy.
22,OSUNewark,1,11/13/14 2:30,CP,72,"II, SR",20,4,B,friday,4,Yes,Cloudy.
23,OSUNewark,2,11/13/14 2:30,CP,72,"SR, II",10,5,C,monday,5,n/a,Cloudy. The participant set the clipboard at the end of the bookcase. 
24,OSUNewark,3,11/13/14 3:00,CP,72,"SR, II",20,6,C,saturday,4,n/a,Cloudy.
25,OSUNewark,1,11/13/14 3:00,CP,72,"II, SR",10,5,A,friday,5,Yes,Cloudy.
26,OSUNewark,2,11/13/14 3:00,CP,72,"II, SR",20,6,A,monday,5,Yes,Cloudy.
27,OSUNewark,2,11/13/14 3:30,CP,72,"SR, II",10,6,B,monday,3,No (2),Cloudy.
28,OSUNewark,3,11/13/14 3:30,CP,72,"SR, II",20,6,B,friday,5,No (2),Cloudy.
29,OSUNewark,1,11/13/14 3:30,CP,72,"II, SR",10,4,C,friday,4,n/a,Cloudy.
30,OSUNewark,2,11/13/14 4:00,CP,72,"II, SR",20,7,C,monday,4,n/a,Cloudy.
31,OSUNewark,1,11/13/14 4:00,CP,72,"SR, II",10,6,A,friday,4,Yes,Cloudy. The participant sat in his chair to complete the clipboard surveys.
32,OSUNewark,3,11/18/14 11:30,CP,73,"SR, II",20,6,A,friday,5,Yes,"Sunny, snowy."
33,OSUNewark,2,11/18/14 11:30,CP,73,"II, SR",10,7,B,monday,5,Yes,"Sunny, snowy."
34,OSUNewark,1,11/18/14 11:30,CP,73,"II, SR",20,7,B,friday,3,Yes,"Sunny, snowy."
35,OSUNewark,4,11/18/14 11:30,CP,73,"SR, II",10,6,C,friday,5,n/a,"Sunny, snowy."
36,OSUNewark,1,11/18/14 2:30,CP,71,"SR, II",20,7,C,friday,5,n/a,"Sunny, snowy. The participant filled out face to face surveys with the clipboard resting on the end of the bookcase. "
37,OSUNewark,2,11/18/14 2:30,CP,71,"II, SR",10,7,A,friday,4,Yes,"Sunny, snowy."
38,OSUNewark,3,11/18/14 2:30,CP,71,"II, SR",20,6,A,monday,5,Yes,"Sunny, snowy."
39,OSUNewark,2,11/18/14 3:15,CP,72,"SR, II",10,7,B,friday,4,Yes,"Sunny, snowy. The participant sat in chair to complete the clipboard surveys."
40,OSUNewark,3,11/18/14 3:15,CP,72,"SR, II",20,7,B,friday,5,No (1),"Sunny, snowy. The participant sat in chair to complete the clipboard surveys."
41,OSUNewark,1,11/18/14 3:15,CP,72,"II, SR",10,7,C,monday,5,n/a,"Sunny, snowy."
42,OSUNewark,1,11/18/14 4:00,CP,72,"II, SR",20,7,C,friday,5,n/a,"Cloudy, snowy."
43,OSUNewark,3,11/18/14 4:00,CP,72,"SR, II",10,6,A,friday,5,Yes,"Cloudy, snowy. The participant clicked on the Continue button at the start of the study before being told to do so."
44,OSUNewark,2,11/18/14 4:00,CP,72,"SR, II",20,4,A,friday,5,No (2),"Cloudy, snowy."
45,OSUNewark,3,11/19/14 11:00,Ashley,72,"II, SR",10,7,B,friday,4,Yes,"Sunny, snowy. "
