ML3: In-Session Data Spreadsheet: Pacific Lutheran University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,PacificLutheranUniversity,,9/30/14,Megan/Hannah,65,,,7,A,Monday,5,yes,
8,PacificLutheranUniversity,,9/30/14,Megan/Hannah,68,,,6,A,Friday,4,yes,
9,PacificLutheranUniversity,,9/30/14,Megan/Hannah,68,,,6,B,Friday,3,yes,leaned against the wall
10,PacificLutheranUniversity,,9/30/14,Megan/Hannah,70,,,6,B,Monday,3,yes,"Entered Participant ID as 11, should be 10! (also leaned against the wall"
11,PacificLutheranUniversity,,10/1/14,Hannah,72,,,7,C,Friday,5,NA,Paricipant leaned against the wall
12,PacificLutheranUniversity,,10/1/14,Hannah,75,,,7,C,Monday,4,NA,Sat down
13,PacificLutheranUniversity,,10/1/14,Hannah,75,,,7,A,Friday,3,yes,
14,PacificLutheranUniversity,,10/1/14,Megan,74,,,6,A,Friday,5,yes,
15,PacificLutheranUniversity,,10/1/14,Megan,74,,,6,B,Monday,5,yes,
16,PacificLutheranUniversity,,10/2/14,Hannah/Megan,72,,,6,B,Friday,5,yes,
17,PacificLutheranUniversity,,10/3/14,Megan/Hannah,75,,,6,C,Friday,3,NA,Had to be told to standup
18,PacificLutheranUniversity,,10/2/14,Hannah/Megan,75,,,6,C,Monday,3,NA,
19,PacificLutheranUniversity,,10/2/14,Megan/Hannah,75,,,6,A,Friday,4,yes,Skipped a section on the computer
20,PacificLutheranUniversity,,10/2/14,Hannah/Megan,76,,,7,A,Friday,5,yes,
21,PacificLutheranUniversity,,10/2/14,Megan/Hannah,76,,,2,B,Monday,4,yes,
22,PacificLutheranUniversity,,10/2/14,Hannah/Megan,76,,,7,B,Monday,5,yes,
23,PacificLutheranUniversity,,10/2/14,Megan/Hannah,74,,,7,C,Friday,5,NA,
24,PacificLutheranUniversity,,10/2/14,Hannah/Megan,75,,,6,C,Friday,5,NA,
25,PacificLutheranUniversity,,10/2/14,Megan/Hannah,76,,,6,A,Friday,4,yes,
26,PacificLutheranUniversity,,10/2/14,Hannah/Megan,75,,,7,A,Friday,5,yes,
