ML3: In-Session Data Spreadsheet: Penn State Abington,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,PennStateAbington,E1,9/2/14,MJB,70,II-SR,10,5,A,Friday,5,Yes,
2,PennStateAbington,E1,9/2/14,MJB,70,II-SR,20,7,A,Saturday,4,Yes,
3,PennStateAbington,E1,9/2/14,MJB,70,SR-II,10,7,B,Monday,5,Yes,
4,PennStateAbington,B1,9/2/14,MJB,70,SR-II,20,7,B,Monday,5,Yes,
5,PennStateAbington,E1,9/2/14,MJB,68,II-SR,10,6,C,Friday,5,NA,
6,PennStateAbington,E1,9/2/14,JMM,70,II-SR,20,7,C,Friday,4,NA,
7,PennStateAbington,B1,9/2/14,JMM,70,SR-II,10,7,A,Friday,4,No (Missed 1),
8,PennStateAbington,E1,9/2/14,JMM,70,SR-II,20,6,A,Friday,5,Yes,
9,PennStateAbington,E1,9/2/14,JMM,70,II-SR,10,7,B,Friday,4,No (Missed 1),
10,PennStateAbington,E1,9/2/14,JMM,72,II-SR,20,6,B,Monday,5,Yes,
11,PennStateAbington,E1,9/8/14,MA,70,SR-II,10,6,C,Friday,5,NA,
12,PennStateAbington,B1,9/8/14,MA,72,SR-II,20,7,C,Friday,4,NA,
13,PennStateAbington,E1,9/8/14,MA,70,II-SR,10,7,A,Monday,4.5,Yes,Wrote in answer for SR Confidence
14,PennStateAbington,B1,9/8/14,MA,72,II-SR,20,6,A,Friday,5,Yes,
15,PennStateAbington,E1,9/9/14,MJB,64,SR-II,10,,B,Friday,5,Yes,
16,PennStateAbington,B1,9/9/14,MJB,63,SR-II,20,7,B,Friday,5,Yes,
17,PennStateAbington,E1,9/9/14,MJB,63,II-SR,10,7,C,Friday,5,NA,
18,PennStateAbington,B2,9/9/14,MJB,62,II-SR,20,7,C,Friday,5,NA,
19,PennStateAbington,E2,9/9/14,MJB,64,SR-II,10,5,A,Monday,4,Yes,
20,PennStateAbington,B1,9/9/14,MJB,66,SR-II,20,7,A,Friday,3,Yes,
21,PennStateAbington,E1,9/9/14,MJB,65,II-SR,10,7,B,Monday,3,Yes,
22,PennStateAbington,E2,9/9/14,MJB,65,II-SR,20,6,B,Friday,5,Yes,
23,PennStateAbington,B1,9/9/14,MJB,66,SR-II,10,6,C,Friday,5,NA,
24,PennStateAbington,E1,9/9/14,MJB,65,SR-II,20,7,C,Friday,5,NA,
25,PennStateAbington,E1,9/9/14,JMM,68,II-SR,10,6,A,Friday,5,Yes,
26,PennStateAbington,E1,9/9/14,JMM,68,II-SR,20,7,A,Friday,4,Yes,
