ML3: In-Session Data Spreadsheet: San Diego State University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,SanDiegoStateUniversity,4,9/17/14,Nathan,74.4,"II, SR",10,7,A,Friday,4,Yes,Leaned against wall during part of clipboard portion.
2,SanDiegoStateUniversity,3,9/17/14,Nathan,74.4,"II, SR",20,1,A,Friday,5,Yes,
3,SanDiegoStateUniversity,1,9/17/14,Nathan,74.4,"SR, II",10,7,B,Friday,5,Yes,
4,SanDiegoStateUniversity,1,9/17/14,Nathan,74.7,"SR, II",20,7,B,Monday,4,"No, missed #1 and #2","While doing clipboard portion was disrupted by student who needed to leave due to an ""emergency"""
5,SanDiegoStateUniversity,4,9/17/14,Nathan,74.7,"II, SR",10,6,C,Friday,5,N/A,
6,SanDiegoStateUniversity,3,9/18/14,Ashley,73.4,"II, SR",20,7,C,Friday,4,N/A,Various chatter in hallway throughout session.
7,SanDiegoStateUniversity,4,9/18/14,Ashley,73.4,"SR, II",10,6,A,Friday,5,Yes,Placed clipboard on desk and leaned forward to complete the written portion. He also got up and asked me about the stroop test during the study because he thoughtthe computer was broken. I explained to him that you need to use the keys to answer. Various chatter in hallway throughout session.
8,SanDiegoStateUniversity,1,9/18/14,Ashley,73.4,"SR, II",20,5,A,Friday,5,Yes,Various chatter in hallway throughout session.
9,SanDiegoStateUniversity,1,9/18/14,Ashley,73.4,"II, SR",10,6,B,Monday,5,Yes,
10,SanDiegoStateUniversity,4,9/24/14,Nathan,73.9,"II, SR",20,7,B,Friday,4,Yes,
11,SanDiegoStateUniversity,3,9/24/14,Nathan,73.9,"SR, II",10,7,C,Friday,5,N/A,
