ML3: In-Session Data Spreadsheet: Texas A&M,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,TexasAandM,6,10/20/14,ds,73,SR-II,10,6,A,Friday,4,Yes,
8,TexasAandM,6,10/20/14,ds,73,SR-II,20,6,A,Friday,4,Yes,
9,TexasAandM,1,10/20/14,ds,73,II-SR,10,6,B,Friday,5,Yes,
10,TexasAandM,1,10/20/14,ds,73,II-SR,20,7,B,Friday,5,Yes,
11,TexasAandM,6,10/20/14,ds,73,SR-II,10,6,C,Friday,5,N/A,
12,TexasAandM,6,10/20/14,ds,73,SR-II,20,6,C,Monday,5,N/A,"Participant sat down while filling out survey, participant 12 and 13 arrived at same time too. When participant 12 sat down, participant 13 did the same"
13,TexasAandM,1,10/20/14,ds,73,II-SR,10,7,A,Monday,4,Yes,"Participant sat down while filling out survey, participant 12 and 13 arrived at same time too. When participant 12 sat down, participant 13 did the same"
14,TexasAandM,1,10/20/14,ds,73,II-SR,20,5,A,Friday,4,Yes,Participant leaned on the door frame while filling ou the survey
15,TexasAandM,6,10/20/14,ds,73,SR-II,10,5,B,Friday,4,Yes,
16,TexasAandM,6,10/20/14,ds,73,SR-II,20,6,B,Friday,4,Yes,
17,TexasAandM,1,10/20/14,ds,73,II-SR,10,6,C,Friday,4,N/A,
18,TexasAandM,1,10/202014,es,73,II-SR,20,7,C,Friday,4,N/A,
19,TexasAandM,1,10/20/14,es,73,SR-II,10,6,A,Monday,5,Yes,
20,TexasAandM,4,10/20/14,es,73,SR-II,20,7,A,Friday,4,Yes,Participant rested clipboard on the table to write
21,TexasAandM,6,10/20/14,es,73,II-SR,10,7,B,Friday,5,Yes,Participant rested clipboard on the table to write
22,TexasAandM,4,10/20/14,es,73,II-SR,20,7,B,Friday,4,Yes,Participant leaned against the wall while completing the survey
23,TexasAandM,6,10/20/14,es,73,SR-II,10,7,C,Monday,5,N/A,
24,TexasAandM,1,10/20/14,es,73,SR-II,20,5,C,Monday,5,N/A,
25,TexasAandM,1,10/21/14,bm,74,II-SR,10,6,A,Friday,5,Yes,
26,TexasAandM,6,10/21/14,bm,74,II-SR,20,5,A,Friday,5,Yes,
27,TexasAandM,1,10/21/14,bm,74,SR-II,10,5,B,Friday,4,Yes,
28,TexasAandM,6,10/21/14,bm,74,SR-II,20,7,B,Monday,4,Yes,
29,TexasAandM,1,10/21/14,bm,74,II-SR,10,6,C,Friday,5,N/A,
30,TexasAandM,4,10/21/14,bm,74,II-SR,20,5,C,Friday,5,N/A,The participant's computer was not working shortly after the study started and so I started the participant on another computer
31,TexasAandM,6,10/21/14,es,73,SR-II,10,5,A,Monday,3,Yes,
32,TexasAandM,4,10/21/14,es,73,SR-II,20,5,A,Friday,5,Yes,
33,TexasAandM,1,10/21/14,es,73,II-SR,10,7,B,Monday,3,Yes,
34,TexasAandM,4,10/21/14,es,73,II-SR,20,7,B,Monday,4,Yes,
35,TexasAandM,6,10/21/14,es,73,SR-II,10,7,C,Monday,4,N/A,
36,TexasAandM,1,10/21/14,es,73,SR-II,20,6,C,Monday,3,N/A,
37,TexasAandM,4,10/21/14,es,73,II-SR,10,7,A,Monday,5,Yes,
38,TexasAandM,1,10/21/14,es,73,II-SR,20,6,A,Friday,3,Yes,"The participant squated down, but still held the clipboard and didn't rest it on anything (like knees) - awkward"
39,TexasAandM,6,10/22/14,es,74,SR-II,10,6,B,Friday,4,Yes,
40,TexasAandM,1,10/22/14,es,74,SR-II,20,7,B,Friday,5,Yes,
41,TexasAandM,4,10/22/14,es,74,II-SR,10,7,C,Friday,5,N/A,
42,TexasAandM,6,10/22/14,al,74,II-SR,20,7,C,Monday,5,N/A,The participant leaned against the wall.
43,TexasAandM,1,10/22/14,al,74,SR-II,10,6,A,Monday,5,Yes,
44,TexasAandM,1,10/22/14,al,74,SR-II,20,7,A,Monday,4,"No, 3/4",
45,TexasAandM,6,10/22/14,al,74,II-SR,10,6,B,Friday,5,Yes,Filled out the survey over the desk.
46,TexasAandM,6,10/22/14,al,73,II-SR,20,7,B,Monday,5,Yes,Leaned against the wall
47,TexasAandM,1,10/22/14,al,73,SR-II,10,6,C,Monday,4,N/A,
48,TexasAandM,1,10/22/14,dd,74,SR-II,20,6,C,Monday,4,N/A,Leaned against the wall - participant went through the whole experiment before coming to do the surveys
49,TexasAandM,6,10/22/14,dd,74,II-SR,10,7,A,Friday,5,Yes,"Kneeled down with the clipboard, held it on her knees"
50,TexasAandM,1,10/22/14,dd,75,II-SR,20,7,A,Friday,5,Yes,Leaned against the wall
51,TexasAandM,6,10/22/14,dd,75,SR-II,10,7,B,Friday,4,"No, 0/4",
52,TexasAandM,1,10/22/14,dd,75,SR-II,20,5,B,Monday,5,Yes,
53,TexasAandM,6,10/22/14,dd,75,II-SR,10,5,C,Friday,4,N/A,
54,TexasAandM,6,10/22/14,aa,73,II-SR,20,6,C,Friday,5,N/A,
55,TexasAandM,4,10/22/14,aa,73,SR-II,10,5,A,Friday,5,Yes,partially leaned against the wall
56,TexasAandM,4,10/22/14,aa,73,SR-II,20,7,A,Monday,5,Yes,
57,TexasAandM,3,10/22/14,aa,73,II-SR,10,7,B,Friday,5,Yes,sat down
58,TexasAandM,6,10/22/14,aa,73,II-SR,20,6,B,Friday,4,Yes,
59,TexasAandM,4,10/22/14,aa,73,SR-II,10,6,C,Monday,2,N/A,sat down
60,TexasAandM,3,10/22/14,aa,73,SR-II,20,7,C,Friday,5,N/A,sat down
61,TexasAandM,6,10/22/14,aa,73,II-SR,10,6,A,Monday,4,Yes,squatted down with clipboard on lap AFTER importance question was asked (but before day of the week and true/false)
62,TexasAandM,4,10/22/14,aa,73,II-SR,20,7,A,Friday,4,Yes,
63,TexasAandM,3,10/22/14,aa,73,SR-II,10,7,B,Monday,4,Yes,
64,TexasAandM,1,10/23/14,cf,74,SR-II,20,7,B,Monday,5,Yes,"leaned against wall, participant did not finish study"
65,TexasAandM,6,10/23/14,cf,74,II-SR,10,7,C,Monday,5,N/A,
66,TexasAandM,1,10/23/14,cf,74,II-SR,20,6,C,Monday,5,N/A,"leaned against wall, participants came together"
67,TexasAandM,6,10/23/14,cf,74,SR-II,10,7,A,Friday,4,Yes,"leaned against wall, participants came together"
68,TexasAandM,1,10/23/14,cf,74,SR-II,20,6,A,Monday,4,Yes,sat down
69,TexasAandM,6,10/23/14,cf,74,II-SR,10,7,B,Friday,5,Yes,
70,TexasAandM,1,10/23/14,es,74,II-SR,20,6,B,Monday,5,Yes,
71,TexasAandM,4,10/23/14,es,74,SR-II,10,5,C,Friday,5,N/A,
72,TexasAandM,6,10/23/14,es,74,SR-II,20,6,C,Friday,4,N/A,
73,TexasAandM,4,10/23/14,es,74,II-SR,10,7,A,Friday,5,Yes,
74,TexasAandM,1,10/23/14,es,74,II-SR,20,7,A,Friday,5,Yes,
75,TexasAandM,1,10/23/14,es,74,SR-II,10,7,B,Monday,4,Yes,
76,TexasAandM,4,10/23/14,es,74,SR-II,20,7,B,Friday,4,Yes,
77,TexasAandM,1,10/23/14,sd,74,II-SR,10,7,C,Monday,4,N/A,
78,TexasAandM,4,10/23/14,sd,74,II-SR,20,7,C,Sunday,5,N/A,
79,TexasAandM,6,10/23/14,sd,74,SR-II,10,5,A,Friday,5,Yes,leaned against wall
80,TexasAandM,4,10/23/14,sd,74,SR-II,20,7,A,Monday,3,Yes,
81,TexasAandM,6,10/23/14,sd,74,II-SR,10,6,B,Monday,5,Yes,
82,TexasAandM,1,10/23/14,sd,74,II-SR,20,7,B,Friday,4,Yes,leaned against wall
83,TexasAandM,4,10/23/14,sd,74,SR-II,10,7,C,Monday,5,N/A,
84,TexasAandM,6,10/23/14,sd,74,SR-II,20,6,C,Monday,4,N/A,
85,TexasAandM,1,10/23/14,sd,74,II-SR,10,6,A,Friday,3,Yes,
86,TexasAandM,1,10/24/14,al,74,II-SR,20,7,A,Friday,2,Yes,
87,TexasAandM,1,10/24/14,al,74,SR-II,10,6,B,Monday,5,Yes,
88,TexasAandM,4,10/24/14,al,74,SR-II,20,7,B,Friday,5,Yes,Took 45 minutes to complete the study. Unusual error in entering participant number (Cannot display website information)
89,TexasAandM,1,10/24/14,al,74,II-SR,10,7,C,Friday,5,N/A,
90,TexasAandM,4,10/24/14,al,74,II-SR,20,6,C,Monday,5,N/A,
91,TexasAandM,1,10/24/14,al,74,SR-II,10,7,A,Monday,4,Yes,Placed clipboard on table
92,TexasAandM,4,10/24/14,al,74,SR-II,20,6,A,Monday,5,Yes,Cannot display website information at the end
93,TexasAandM,1,10/24/14,ks,74,II-SR,10,5,B,Friday,5,Yes,Cannot display website information at the end
94,TexasAandM,4,10/24/14,ks,74,II-SR,20,6,B,Monday,4,No,
95,TexasAandM,1,10/24/14,ks,73,SR-II,10,7,C,Friday,4,N/A,
96,TexasAandM,4,10/24/14,ks,73,SR-II,20,6,C,Monday,4,N/A,Cannot display website information at the end
97,TexasAandM,1,10/24/14,ks,73,II-SR,10,7,A,Friday,5,Yes,Put clipboard on table
98,TexasAandM,4,10/24/14,ks,74,II-SR,20,7,A,Friday,4,Yes,Cannot display website information at the end
99,TexasAandM,4,12/1/14,ds,73,SR-II,10,5,B,Friday,3,Yes,Participant sat down while filling out survey
