ML3: In-Session Data Spreadsheet: UC Davis,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,UCDavis,1,10/6/14,KG,77,"II, SR",10,N/A,N/A,N/A,N/A,N/A,Computer froze midway through the study and data was lost
2,UCDavis,1,10/6/14,KG,77,"II, SR",20,7,A,Monday,5,Yes,"Person circled both Monday and Friday, but squiggled around Friday"
3,UCDavis,1,10/6/14,KG,77,"SR, II",10,6,B,Friday,5,Yes,Person set clipboard on table to turn each page
4,UCDavis,1,10/6/14,KG,77,"SR, II",20,7,B,Friday,4,No (3/4 incorrect),Person set clipboard down on top of items on the table while filling out surveys
5,UCDavis,1,10/7/14,KG,77,"II, SR",10,6,C,Friday,4,N/A,
6,UCDavis,1,10/7/14,KG,77,"II, SR",20,7,C,Friday,4,N/A,Person set clipboard down on the table on top of the light clipboard
7,UCDavis,1,10/7/14,KG,77,"SR, II",10,7,A,Friday,5,Yes,
8,UCDavis,1,10/7/14,KG,77,"SR, II",20,5,A,Monday,4,Yes,Person put clipboard on top of magazines
9,UCDavis,1,10/8/14,KG,77,"II, SR",10,6,B,Friday,5,No (1/4 incorrect),
10,UCDavis,1,10/8/14,KG,77,"II, SR",20,6,B,Friday,4,No (2/4 incorect),Person wanted to sit down
11,UCDavis,1,10/8/14,KG,77,"SR, II",10,3,C,Friday,5,N/A,
12,UCDavis,1,10/9/14,NB,75,"SR, II",20,3,C,Friday,5,N/A,Person want to sit down and put the clipboard on top of the other clipboard
13,UCDavis,1,10/9/14,NB,75,"II, SR",10,7,A,Friday,5,Yes,Person put the clipboard on top of table
14,UCDavis,1,10/9/14,NB,75,"II, SR",20,6,A,Friday,5,Yes,Person moved away my bag on the seat and sit on the chair while doing the clipboard part
15,UCDavis,1,10/9/14,NB,75,"SR, II",10,6,B,Friday,4,Yes,
16,UCDavis,1,10/9/14,NB,75,"SR, II",20,7,B,Monday,5,Yes,
17,UCDavis,1,10/9/14,NB,75,"II, SR",10,7,C,Friday,5,N/A,"Person put the clipboard on the table, walk back and grab the chair, sat down on the chair and put the clipboard on top of her laps whild doing the questionares"
18,UCDavis,1,10/9/14,NB,75,"II, SR",20,5,C,Friday,5,N/A,"person put away obstacles on the table (paper,clips) and put the clipboard on the table and the person take 1 hour to finish the study. The internet crash and the data was not saved"
19,UCDavis,1,10/13/14,NB,72,"SR, II",10,6,A,Monday,4,Yes,
20,UCDavis,1,10/13/14,NB,72,"SR, II",20,7,A,Friday,3,No (1/4 incorrect),
21,UCDavis,1,10/13/14,KG,73,"II, SR",10,6,B,Monday,4.5,Yes,
22,UCDavis,1,10/13/14,KG,73,"II, SR",20,6,B,Friday,5,Yes,
23,UCDavis,1,10/14/14,NB,72,"SR, II",10,6,C,Monday,5,N/A,
24,UCDavis,1,10/14/14,NB,72,"SR, II",20,7,C,Friday,4,N/A,the person move away the magazine and do this part on the table
25,UCDavis,1,10/14/14,NB,72,"II, SR",10,7,A,Friday,4,Yes,
26,UCDavis,1,10/14/14,NB,73,"II, SR",20,5,A,Monday,5,Yes,
27,UCDavis,1,10/14/14,NB,73,"SR, II",10,7,B,Friday,4,No (2/4 incorect),Computer froze midway through the study and data was lost
28,UCDavis,1,10/14/14,NB,73,"SR, II",20,6,B,Monday,3,Yes,
29,UCDavis,1,10/14/14,KG,73,"II, SR",10,7,C,Friday,5,N/A,
30,UCDavis,1,10/14/14,KG,73,"II, SR",20,6,C,Friday,4,N/A,
31,UCDavis,1,10/14/14,KG,73,"SR, II",10,3,A,Monday,5,Yes,
32,UCDavis,1,10/14/14,KG,73,"SR, II",20,6,A,Friday,4,Yes,Person set clipboard on top of magazines on the table
33,UCDavis,1,10/15/14,KG,72,"II, SR",10,6,B,Friday,3,Yes,
34,UCDavis,1,10/15/14,KG,72,"II, SR",20,5,B,Monday,5,Yes,Person leaned against table
35,UCDavis,1,10/15/14,KG,72,"SR, II",10,7,C,Monday,5,N/A,
36,UCDavis,1,10/15/14,KG,72,"SR, II",20,6,C,Friday,5,N/A,
37,UCDavis,1,10/16/14,NB,72,"II, SR",10,6,A,Friday,4,Yes,Person set clipboard on top of magazines on the table
38,UCDavis,1,10/16/14,NB,72,"II, SR",20,6,A,Friday,4,Yes,
39,UCDavis,1,10/16/14,NB,72,"SR, II",10,5,B,Friday,5,Yes,
40,UCDavis,1,10/16/14,NB,72,"SR, II",20,3,B,Saturday,4,No (2/4 incorect),
41,UCDavis,1,10/16/14,NB,72,"II, SR",10,4,C,Friday,4,N/A,person bring the chair here and do the second part while sitting down
42,UCDavis,1,10/16/14,NB,73,"II, SR",20,7,C,Friday,4,N/A,person ask wether she can take it back to the station to finish her task
43,UCDavis,1,10/16/14,NB,73,"SR, II",10,6,A,Monday,4,Yes,
44,UCDavis,1,10/20/14,KG,70,"SR, II",20,5,A,Friday,4,Yes,
45,UCDavis,1,10/20/14,KG,71,"II, SR",10,6,B,Monday,3,Yes,
