ML3: In-Session Data Spreadsheet: UC Riverside,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,UCRiverside,3,10/13/14,SP/LN,73.9,"SR, II",10,6,A,Monday,3,Yes,
8,UCRiverside,4,10/13/14,SP/LN,73.9,"SR, II",20,7,A,Monday,3,"No, 1 missed",
9,UCRiverside,3,10/13/14,SP/LN,74.6,"II, SR",10,7,B,Monday,5,Yes,"Participant leaned against all during clipboard portion.  Also, this participant took much longer than other participants to complete the study."
10,UCRiverside,4,10/13/14,SP/LN,74.6,"II, SR",20,7,B,Friday,5,Yes,
11,UCRiverside,4,10/13/14,VM,74.8,"SR, II",10,6,C,Friday,3,N/A,
12,UCRiverside,3,10/13/14,VM,74.8,"SR, II",20,6,C,Friday,3,N/A,
13,UCRiverside,3,10/13/14,FO,75.7,"II, SR",10,6,A,Friday,4,Yes,
14,UCRiverside,3,10/13/14,UG/SAS,75.5,"II, SR",20,7,A,Monday,4,Yes,
15,UCRiverside,3,10/13/14,UG/SAS,75.5,"SR, II",10,5,B,Friday,4,,
16,UCRiverside,3,10/13/14,FO,76.1,"SR, II",20,6,B,Friday,4,"No,4 missed",I told the particpant to step out of the room to complete the survey during the clipbroad portion 
17,UCRiverside,4,10/13/14,FO,76.6,"II, SR",10,6,C,Monday,5,N/A,
18,UCRiverside,3,10/14/14,MM,75.3,"II, SR",20,7,C,Friday,5,N/A,I had to tell the participant to step outside for the survey portion. Participant was wearing backpack while completing survey portion.
19,UCRiverside,3,10/14/14,DE,75.7,"SR, II",10,7,A,Friday,3,"No, 2 missed",Survey seemed to freeze at end of survey and unable to enter SID. The survey was likely completed around 11:45am (PST)Â on October 14th.
20,UCRiverside,4,10/14/14,BP,75.2,"SR, II",20,N/A,A,Friday,5,Yes,"Participant skipped II Response form, and left it blank."
21,UCRiverside,3,10/14/14,JS,75.2,"II, SR",10,7,B,Monday,5,"No, 4 missed",Participant leaned against all during clipboard portion
22,UCRiverside,4,10/14/14,JS,75.7,"II, SR",20,7,B,Friday,5,Yes,Participant leaned against all during clipboard portion
