ML3: In-Session Data Spreadsheet: University of Florida,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,UniversityOfFlorida,1,8/28/14,DM,73,II-SR,10,6,A,Monday,4,Yes,
2,UniversityOfFlorida,2,8/28/14,DM,73,II-SR,20,6,A,Friday,5,Yes,
3,UniversityOfFlorida,2,8/28/14,DM,73,SR-II,10,6,B,Monday,5,Yes,Participant leaned against wall
4,UniversityOfFlorida,1,8/28/14,DM,73,SR-II,20,6,B,Monday,3,No (1),
5,UniversityOfFlorida,1,8/28/14,DM,73,II-SR,10,5,C,Friday,4,N/A,
6,UniversityOfFlorida,1,9/2/14,DM,72,II-SR,20,6,C,Monday,3,N/A,Participant leaned against wall
7,UniversityOfFlorida,2,9/2/14,DM,72,SR-II,10,6,A,Friday,5,Yes,Participant leaned against wall
8,UniversityOfFlorida,1,9/2/14,DM,72,SR-II,20,5,A,Friday,5,Yes,Computer went to sleep and I was unable to enter participant number on computer
9,UniversityOfFlorida,2,9/2/14,DM,72,II-SR,10,6,B,Monday,5,No(2),Computer went to sleep and I was unable to enter participant number on computer
10,UniversityOfFlorida,3,9/2/14,DM,72,II-SR,20,7,B,Monday,5,Yes,
11,UniversityOfFlorida,4,9/2/14,DM,72,SR-II,10,7,C,Monday,5,N/A,Finished very quickly. I think something went wrong with the study because the only time she came for the face to face was at the end.
12,UniversityOfFlorida,1,9/2/14,DM,72,SR-II,20,6,C,Friday,5,N/A,
13,UniversityOfFlorida,1,9/4/14,DM,72,II-SR,10,6,A,Monday,4,Yes,Computer went to sleep and I was unable to enter participant number on computer
14,UniversityOfFlorida,2,9/4/14,DM,72,II-SR,20,5,A,Friday,4,Yes,
15,UniversityOfFlorida,3,9/4/14,DM,72,SR-II,10,7,B,Friday,4,Yes,
16,UniversityOfFlorida,4,9/4/14,DM,72,SR-II,20,6,B,Friday,4,No(1),
17,UniversityOfFlorida,2,9/4/14,DM,72,II-SR,10,6,C,Monday,4,N/A,
18,UniversityOfFlorida,1,9/4/14,DM,72,II-SR,20,6,C,Friday,5,N/A,
19,UniversityOfFlorida,1,9/4/14,DM,72,SR-II,10,5,A,Friday,4,Yes,
20,UniversityOfFlorida,2,9/4/14,DM,72,SR-II,20,7,A,Monday,5,Yes,Participant leaned against wall
21,UniversityOfFlorida,4,9/4/14,DM,72,II-SR,10,7,B,Friday,5,Yes,
22,UniversityOfFlorida,3,9/4/14,DM,72,II-SR,20,6,B,Monday,5,Yes,Partipant placed clipboard down on table to complete the survey.
23,UniversityOfFlorida,2,9/9/14,DM,72,SR-II,10,6,C,Friday,5,N/A,
24,UniversityOfFlorida,1,9/9/14,DM,72,SR-II,20,7,C,Friday,5,N/A,
25,UniversityOfFlorida,1,9/9/14,DM,72,II-SR,10,5,A,Friday,5,Yes,
26,UniversityOfFlorida,4,9/9/14,DM,72,II-SR,20,6,A,Friday,4,Yes,
27,UniversityOfFlorida,3,9/9/14,DM,72,SR-II,10,7,B,Monday,5,No(4),Participant placed clipboard down on table to complete the survey.
28,UniversityOfFlorida,1,9/9/14,DM,72,SR-II,20,6,B,Friday,5,Yes,
29,UniversityOfFlorida,2,9/9/14,DM,72,II-SR,10,7,C,Friday,5,N/A,Study never directed her to see me. I made her fill out the survey afterwards. She also set the clipboard down.
30,UniversityOfFlorida,2,9/9/14,DM,72,II-SR,20,6,C,Monday,3,N/A,
31,UniversityOfFlorida,1,9/9/14,DM,72,SR-II,10,7,A,Monday,5,Yes,
32,UniversityOfFlorida,4,9/9/14,DM,72,SR-II,20,7,A,Friday,5,Yes,Study also never directed participant to see me. I had her fill out the survey afterwards.
33,UniversityOfFlorida,1,9/11/14,DM,73,II-SR,10,5,B,Friday,4,Yes,Participant leaned against wall
34,UniversityOfFlorida,2,9/11/14,DM,73,II-SR,20,6,B,Monday,3,Yes,
35,UniversityOfFlorida,3,9/11/14,DM,73,SR-II,10,6,C,Monday,5,N/A,Participant placed clipboard down on table to complete the survey.
36,UniversityOfFlorida,4,9/11/14,DM,73,SR-II,20,6,C,Friday,4,N/A,
37,UniversityOfFlorida,2,9/11/14,DM,73,II-SR,10,7,A,Monday,5,Yes,
38,UniversityOfFlorida,1,9/11/14,DM,73,II-SR,20,7,A,Monday,5,Yes,Participant remarked that the clipboard was heavy
39,UniversityOfFlorida,2,9/11/14,DM,73,SR-II,10,7,B,Friday,3,No(2),
40,UniversityOfFlorida,2,9/18/14,DM,73,SR-II,20,6,B,Monday,4,Yes,Particpant sat down on the ground
41,UniversityOfFlorida,1,9/18/14,DM,73,II-SR,10,7,C,Friday,5,N/A,Particpant sat down on the ground
42,UniversityOfFlorida,4,9/18/14,DM,73,II-SR,20,6,C,Friday,4,N/A,
43,UniversityOfFlorida,2,9/18/14,DM,73,SR-II,10,7,A,Friday,4,Yes,"Particpant only came to me after the study was completed, and filled out the survey then."
44,UniversityOfFlorida,1,9/18/14,DM,73,SR-II,20,6,A,Friday,5,No(2),"Particpant only came to me after the study was completed, and filled out the survey then."
45,UniversityOfFlorida,1,9/18/14,DM,73,II-SR,10,7,B,Monday,5,Yes,
46,UniversityOfFlorida,2,9/18/14,DM,73,II-SR,20,7,B,Friday,4,Yes,Participant placed the clipboard down on the counter to fill out the survey.
47,UniversityOfFlorida,1,9/18/14,DM,73,SR-II,10,6,C,Friday,5,N/A,
48,UniversityOfFlorida,4,9/18/14,DM,73,SR-II,20,7,C,Friday,4,N/A,
49,UniversityOfFlorida,3,9/18/14,DM,73,II-SR,10,5,A,Friday,5,Yes,
50,UniversityOfFlorida,2,9/23/14,DM,72,II-SR,20,5,A,Friday,3,Yes,
51,UniversityOfFlorida,1,9/23/14,DM,72,SR-II,10,7,B,Friday,5,Yes,
52,UniversityOfFlorida,3,9/23/14,DM,72,SR-II,20,6,B,Friday,5,Yes,Participant leaned against wall
53,UniversityOfFlorida,4,9/23/14,DM,72,II-SR,10,7,C,Friday,5,N/A,
54,UniversityOfFlorida,1,9/23/14,DM,72,II-SR,20,7,C,Monday,4,N/A,
55,UniversityOfFlorida,1,9/23/14,DM,72,SR-II,10,6,A,Friday,5,Yes,
56,UniversityOfFlorida,1,9/25/14,DM,73,SR-II,20,6,A,Monday,5,Yes,
57,UniversityOfFlorida,4,9/25/14,DM,73,II-SR,10,5,B,Monday,5,Yes,
58,UniversityOfFlorida,3,9/25/14,DM,73,II-SR,20,5,B,Friday,4,No(4),Participant leaned against wall
59,UniversityOfFlorida,2,9/25/14,DM,73,SR-II,10,5,C,Monday,5,N/A,
60,UniversityOfFlorida,4,9/25/14,DM,73,SR-II,20,6,C,Monday,2,N/A,Participant placed clipboard down on table
61,UniversityOfFlorida,1,9/25/14,DM,73,II-SR,10,5,A,Friday,5,Yes,
62,UniversityOfFlorida,2,9/25/14,DM,73,II-SR,20,5,A,Friday,5,Yes,Participant leaned against table
63,UniversityOfFlorida,1,10/2/14,DM,73,SR-II,10,7,B,Friday,5,No(2),
64,UniversityOfFlorida,2,10/2/14,DM,73,SR-II,20,6,B,Friday,5,No(4),
65,UniversityOfFlorida,2,10/2/14,DM,73,II-SR,10,3,C,Friday,4,N/A ,
66,UniversityOfFlorida,1,10/2/14,DM,73,II-SR,20,6,C,Friday,5,N/A,
67,UniversityOfFlorida,1,10/2/14,DM,73,SR-II,10,5,A,Friday,5,Yes,Computer went to sleep and I was unable to enter the participant ID
68,UniversityOfFlorida,2,10/2/14,DM,73,SR-II,20,7,A,Friday,5,No(1),Computer went to sleep and I was unable to enter the participant ID
69,UniversityOfFlorida,1,10/2/14,DM,73,II-SR,10,6,B,Friday,4,Yes,
70,UniversityOfFlorida,1,10/9/14,DM,73,II-SR,20,5,B,Friday,3,No(1),Participant leaned against wall 
71,UniversityOfFlorida,4,10/9/14,DM,73,SR-II,10,6,C,Monday,5,N/A,
72,UniversityOfFlorida,1,10/9/14,DM,73,SR-II,20,6,C,Friday,3,N/A,
73,UniversityOfFlorida,4,10/9/14,DM,73,II-SR,10,7,A,Friday,5,Yes,
74,UniversityOfFlorida,1,10/9/14,DM,73,II-SR,20,6,A,Monday,5,No(1),
75,UniversityOfFlorida,2,10/14/14,DM,72,SR-II,10,6,B,Monday,5,No(2),Participant leaned against wall
76,UniversityOfFlorida,1,10/14/14,DM,72,SR-II,20,7,B,Friday,5,Yes,
77,UniversityOfFlorida,1,10/14/14,DM,72,II-SR,10,7,C,Friday,5,N/A,
78,UniversityOfFlorida,4,10/14/14,DM,72,II-SR,20,7,C,Friday,5,N/A,
79,UniversityOfFlorida,1,10/14/14,DM,72,SR-II,10,7,A,Friday,5,Yes,
80,UniversityOfFlorida,1,10/14/14,DM,72,SR-II,20,7,A,Friday,5,Yes,
81,UniversityOfFlorida,1,10/16/14,DM,72,II-SR,10,6,B,Friday,3,Yes,Particpant sat down in a chair when filling out survey
82,UniversityOfFlorida,1,10/21/14,DM,72,II-SR,20,6,B,Friday,4,No(4),
83,UniversityOfFlorida,1,10/21/14,DM,72,SR-II,10,3,C,Friday,5,N/A,
84,UniversityOfFlorida,1,10/21/14,DM,72,SR-II,20,4,C,Friday,4,N/A,
85,UniversityOfFlorida,4,10/21/14,DM,72,II-SR,10,6,A,Friday,5,Yes,Participant placed clipboard on table
86,UniversityOfFlorida,1,10/28/14,DM,72,II-SR,20,7,A,Monday,3,Yes,
87,UniversityOfFlorida,1,10/28/14,DM,72,SR-II,10,7,B,Friday,5,Yes,
88,UniversityOfFlorida,1,10/28/14,DM,72,SR-II,20,5,B,Friday,5,Yes,
89,UniversityOfFlorida,1,10/30/14,DM,72,II-SR,10,3,C,Friday,5,N/A,
90,UniversityOfFlorida,1,10/30/14,DM,72,II-SR,20,6,C,Friday,4,N/A,Particpant leaned against wall
91,UniversityOfFlorida,1,10/30/14,DM,72,SR-II,10,6,A,Friday,5,Yes,
92,UniversityOfFlorida,1,11/4/14,DM,72,SR-II,20,6,A,Monday,4,Yes,
93,UniversityOfFlorida,4,11/4/14,DM,72,II-SR,10,7,B,Monday,4,Yes,Participant sat down with clipboard
94,UniversityOfFlorida,1,11/4/14,DM,72,II-SR,20,7,B,Friday,5,Yes,
95,UniversityOfFlorida,1,11/4/14,DM,72,SR-II,10,6,C,Friday,4,N/A,
96,UniversityOfFlorida,1,11/6/14,DM,72,SR-II,20,7,C,Monday,4,N/A,
97,UniversityOfFlorida,1,11/6/14,DM,72,II-SR,10,6,A,Friday,5,Yes,
98,UniversityOfFlorida,1,11/6/14,DM,72,II-SR,20,7,A,Friday,4,No(2),Participant sat down against wall
99,UniversityOfFlorida,1,11/6/14,DM,72,SR-II,10,5,B,Friday,3,Yes,
100,UniversityOfFlorida,2,11/13/14,DM,72,SR-II,20,6,B,Friday,4,Yes,
101,UniversityOfFlorida,1,11/13/14,DM,72,II-SR,10,6,C,Monday,4,N/A,
102,UniversityOfFlorida,1,11/13/14,DM,72,II-SR,20,6,C,Friday,3,N/A,
103,UniversityOfFlorida,2,11/13/14,DM`,72,SR-II,10,6,A,Friday,5,No(1),
104,UniversityOfFlorida,2,11/13/14,DM,72,SR-II,20,6,A,Friday,5,Yes,
105,UniversityOfFlorida,1,11/13/14,DM,72,II-SR,10,6,B,Friday,5,Yes,
106,UniversityOfFlorida,4,11/13/14,DM,72,II-SR,20,7,B,Monday,5,Yes,
107,UniversityOfFlorida,1,11/13/14,DM,72,SR-II,10,7,C,Friday,4,N/A,
108,UniversityOfFlorida,1,11/18/14,DM,72,SR-II,20,5,C,Friday,5,N/A,Participant sat down to fill out survey
109,UniversityOfFlorida,4,11/18/14,DM,72,II-SR,10,7,A,Monday,5,Yes,
110,UniversityOfFlorida,1,11/18/14,DM,72,II-SR,20,5,A,Friday,5,Yes,
111,UniversityOfFlorida,1,11/18/14,DM,72,SR-II,10,6,B,Friday,4,No(3),
112,UniversityOfFlorida,1,11/18/14,DM,72,SR-II,20,6,B,Friday,5,Yes,
113,UniversityOfFlorida,4,11/18/14,DM,72,II-SR,10,7,C,Friday,5,N/A,
114,UniversityOfFlorida,1,11/20/14,DM,73,II-SR,20,7,C,Friday,5,N/A,
115,UniversityOfFlorida,1,11/20/14,DM,73,SR-II,10,5,A,Friday,4,No(1),
116,UniversityOfFlorida,1,11/20/14,DM,73,SR-II,20,6,A,Monday,5,Yes,
117,UniversityOfFlorida,4,11/20/14,DM,73,II-SR,10,7,B,Monday,4,No(2),
118,UniversityOfFlorida,1,11/20/14,DM,73,II-SR,20,6,B,Friday,4,Yes,
119,UniversityOfFlorida,1,12/2/14,DM,74,SR-II,10,7,C,Monday,5,N/A,Participant sat down to fill out survey
120,UniversityOfFlorida,4,12/2/14,DM,74,SR-II,20,6,C,Thursday,5,N/A,
121,UniversityOfFlorida,2,12/2/14,DM,74,II-SR,10,6,A,Monday,5,No(2),"Error during the experiment, and the participant was unable to finish"
122,UniversityOfFlorida,1,12/2/14,DM,74,II-SR,20,6,A,Friday,5,Yes,
123,UniversityOfFlorida,4,12/2/14,DM,74,SR-II,10,7,B,Monday,5,Yes,
124,UniversityOfFlorida,1,12/2/14,DM`,74,SR-II,20,5,B,Friday,4,Yes,
125,UniversityOfFlorida,4,12/2/14,DM,74,II-SR,10,5,C,Monday,5,N/A,
126,UniversityOfFlorida,4,12/2/14,DM,74,II-SR,20,6,C,Friday,5,N/A,
127,UniversityOfFlorida,1,12/2/14,DM,74,SR-II,10,6,A,Friday,5,Yes,
128,UniversityOfFlorida,2,12/2/14,DM,74,SR-II,20,5,A,Friday,5,Yes,
129,UniversityOfFlorida,1,12/4/14,DM,75,II-SR,10,6,B,Friday,5,Yes,
130,UniversityOfFlorida,4,12/4/14,DM,75,II-SR,20,6,B,Monday,4,Yes,Participant placed clipboard down on the table to complete
131,UniversityOfFlorida,2,12/4/14,DM,75,SR-II,10,6,C,Friday,5,N/A,
132,UniversityOfFlorida,4,12/4/14,DM,75,SR-II,20,7,C,Friday,3,N/A,Participant knelt on the ground to fill out survey
133,UniversityOfFlorida,1,12/4/14,DM,75,II-SR,10,6,A,Friday,5,Yes,
134,UniversityOfFlorida,2,12/4/14,DM,75,II-SR,20,6,A,Friday,4,Yes,
135,UniversityOfFlorida,3,12/4/14,DM,75,SR-II,10,7,B,Monday,4,Yes,
136,UniversityOfFlorida,1,12/9/14,DM,75,SR-II,20,7,B,Friday,4,Yes,
137,UniversityOfFlorida,1,12/9/14,DM,75,II-SR,10,6,C,Friday,5,N/A,
