ML3: In-Session Data Spreadsheet: University of Southern Mississippi,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
1,UniversityOfSouthernMississippi,3,8/29/14,SA,77,"II, SR",10,7,A,Friday,3,yes,
2,UniversityOfSouthernMississippi,3,8/29/14,SA,79,"II, SR",20,6,A,Friday,5,yes,
3,UniversityOfSouthernMississippi,3,9/3/14,MF,77,"SR, II",10,,B,,,,"Extra RA in the lab for training.  Participant never found the researcher for the surveys, typed in their own student ID number in place of the participant ID"
4,UniversityOfSouthernMississippi,3,9/3/14,MF,77,"SR, II",20,5,B,Friday,4,no (3),There was an extra RA in the lab for training purposes
5,UniversityOfSouthernMississippi,3,9/4/14,SA,75,"II, SR",10,7,C,Monday,5,N/A,Participant remained seating while filling out questionare 
6,UniversityOfSouthernMississippi,3,9/5/14,SA,75,"II, SR",20,7,C,Friday,5,N/A,
7,UniversityOfSouthernMississippi,1,9/5/14,MF,77,"SR, II",10,7,A,Friday,5,yes,Participant remained seated while filling out the surveys due to a physical disability.
8,UniversityOfSouthernMississippi,3,9/9/14,SA,75,"SR, II",20,7,A,Friday,4,yes,
9,UniversityOfSouthernMississippi,5,9/10/14,MF,77,"II, SR",10,7,B,Monday,5,yes,Extra RA in the lab for training
10,UniversityOfSouthernMississippi,1,9/10/14,MF,77,"II, SR",20,7,B,Friday,5,yes,"Extra RA in the lab for training, Participant couldn't hold the clipboard because her arm was in a sling. "
11,UniversityOfSouthernMississippi,3,9/10/14,MF,79,"SR, II",10,6,C,Friday,5,N/A,Extra RA in the lab for training
12,UniversityOfSouthernMississippi,3,9/11/14,SA,77,"SR, II",20,5,C,Monday,5,N/A,
13,UniversityOfSouthernMississippi,5,9/12/14,MF,75,"II, SR",10,5,A,Friday,5,yes,Extra RA in the lab for training
14,UniversityOfSouthernMississippi,1,9/12/14,MF,75,"II, SR",20,7,A,Monday,5,yes,Extra RA in the lab for training; remained seated when filling out survey
15,UniversityOfSouthernMississippi,3,9/12/14,MF,77,"SR, II",10,6,B,Friday,5,yes,"Extra RA in the lab for training, participant leaned up against the wall while filling out surveys"
16,UniversityOfSouthernMississippi,3,9/15/14,AM,75,"SR, II",20,6,B,Friday,4,No (3),
17,UniversityOfSouthernMississippi,3,9/16/14,SA,75,"II, SR",10,6,C,Monday,4,N/A,Participant began filling out survery standing up and then sat down 
18,UniversityOfSouthernMississippi,3,9/1/14,MF,77,"II, SR",20,7,C,Friday,2,N/A,
19,UniversityOfSouthernMississippi,3,9/18/14,SA,77,"SR, II",10,7,A,Friday,5,yes,
20,UniversityOfSouthernMississippi,5,9/18/14,SA,77,"SR, II",20,6,A,Friday,5,No (1) ,
21,UniversityOfSouthernMississippi,3,9/22/14,AM,75,"II, SR",10,6,B,Friday,4,No (2),Participant remained seated while filling out survey
22,UniversityOfSouthernMississippi,3,9/22/14,SA,75,"II, SR",20,7,B,Friday,5,yes,
23,UniversityOfSouthernMississippi,1,9/26/14,AM,75,"SR, II",10,6,C,Monday,5,N/A,
24,UniversityOfSouthernMississippi,3,9/29/14,AM,73,"SR, II",20,6,C,Friday,4,N/A,
25,UniversityOfSouthernMississippi,3,9/30/14,SA,75,"II, SR",10,6,A,Friday,5,Yes,
26,UniversityOfSouthernMississippi,3,10/1/14,MF,75,"II, SR",20,7,A,Friday,5,No (1) ,
27,UniversityOfSouthernMississippi,3,10/2/14,SA,73,"SR, II",10,6,B,Monday,3,Yes,
28,UniversityOfSouthernMississippi,3,10/3/14,AM,73,"SR, II",20,7,B,Monday,5,No(4),
29,UniversityOfSouthernMississippi,5,10/8/14,MF,75,"II, SR",10,7,C,Friday,5,N/A,
30,UniversityOfSouthernMississippi,1,10/8/14,MF,75,"II, SR",20,7,C,Monday,5,N/A,
31,UniversityOfSouthernMississippi,5,10/8/14,MF,75,"SR, II",10,6,A,Friday,5,No 1,Participant marked on the deception concent form that they did not want their data used.
32,UniversityOfSouthernMississippi,5,10/9/14,SA,73,"SR, II",20,7,A,Monday,5,yes,
33,UniversityOfSouthernMississippi,3,10/9/14,SA,73,"II, SR",10,6,B,Monday,5,yes,
34,UniversityOfSouthernMississippi,1,10/13/14,AM,75,"II, SR",20,6,B,Saturday,5,No (2),
35,UniversityOfSouthernMississippi,5,10/13/14,AM,75,"SR, II",10,6,C,Monday,5,N/A,
36,UniversityOfSouthernMississippi,3,10/14/14,SA,73,"SR, II",20,7,C,Friday,5,NA,
37,UniversityOfSouthernMississippi,1,10/14/14,SA,73,"II, SR",10,6,A,Monday,5,No (1) ,
38,UniversityOfSouthernMississippi,1,10/14/14,SA,73,"II, SR",20,NA,A,NA,NA,NA,Did not fill out survery.
39,UniversityOfSouthernMississippi,3,10/14/14,SA,73,"SR, II",10,7,B,Friday,3,yes,
40,UniversityOfSouthernMississippi,1,10/14/14,SA,73,"SR, II",20,6,B,Friday,5,Yes,
41,UniversityOfSouthernMississippi,3,10/29/14,MF,73,"II, SR",10,6,C,Friday,5,N/A,
42,UniversityOfSouthernMississippi,1,11/3/14,AM,72,"II, SR",20,7,C,Friday,5,N/A,
43,UniversityOfSouthernMississippi,5,11/3/14,AM,72,"SR, II",10,7,A,Friday,5,Yes,Participant indicated on Deception Consent Form that they did not want their data used. 
44,UniversityOfSouthernMississippi,1,11/7/14,MF,72,"SR, II",20,7,A,Friday,5,No (1) ,
45,UniversityOfSouthernMississippi,5,11/7/14,MF,72,"II, SR",10,6,B,Monday,4,No (3),
46,UniversityOfSouthernMississippi,3,11/7/14,MF,72,"II, SR",20,6,B,Friday,5,Yes,
47,UniversityOfSouthernMississippi,1,11/14/14,MF,70,"SR, II",10,7,C,Monday,5,N/A,
48,UniversityOfSouthernMississippi,3,11/14/14,MF,70,"SR, II",20,6,C,Friday,3,N/A,
49,UniversityOfSouthernMississippi,5,11/14/14,MF,70,"II, SR",10,7,A,Friday,5,Yes,
50,UniversityOfSouthernMississippi,3,11/14/14,MF,72,"II, SR",20,7,A,Wednesday,5,Yes,
51,UniversityOfSouthernMississippi,5,11/14/14,MF,72,"SR, II",10,7,B,Monday,4,Yes,
52,UniversityOfSouthernMississippi,3,11/17/14,AM,72,"SR, II",20,7,B,Friday,5,Yes,Participant remained seated while filling out survey
53,UniversityOfSouthernMississippi,1,11/18/14,MF,68,"II, SR",10,7,C,Friday,5,N/A,
54,UniversityOfSouthernMississippi,5,11/18/14,MF,68,"II, SR",20,7,C,Friday,5,N/A,
55,UniversityOfSouthernMississippi,1,11/18/14,MF,70,"SR, II",10,7,A,Friday,5,Yes,
56,UniversityOfSouthernMississippi,5,11/18/14,MF,70,"SR, II",20,6,A,Friday,3,Yes,
57,UniversityOfSouthernMississippi,1,11/18/14,MF,70,"II, SR",10,7,B,Friday,3,No (2),
58,UniversityOfSouthernMississippi,3,11/19/14,MF,70,"II, SR",20,7,B,Monday,3,Yes,
59,UniversityOfSouthernMississippi,1,11/19/14,MF,70,"SR, II",10,7,C,Friday,5,N/A,
60,UniversityOfSouthernMississippi,5,11/19/14,MF,70,"SR, II",20,6,C,Friday,5,N/A,
61,UniversityOfSouthernMississippi,1,11/21/14,MF,72,"II, SR",10,7,A,Friday,4,Yes,
62,UniversityOfSouthernMississippi,1,11/21/14,MF,72,"II, SR",20,6,A,Friday,5,Yes,
63,UniversityOfSouthernMississippi,1,11/21/14,MF,72,"SR, II",10,2,B,Friday,5,No (2),
64,UniversityOfSouthernMississippi,5,11/21/14,MF,72,"SR, II",20,4,B,Friday,3,No (2),
65,UniversityOfSouthernMississippi,1,11/21/14,MF,72,"II, SR",10,6,C,Friday,5,N/A,
66,UniversityOfSouthernMississippi,5,11/21/14,AM,72,"II, SR",20,7,C,Saturday,5,N/A,
67,UniversityOfSouthernMississippi,1,11/21/14,AM,72,"SR, II",10,7,A,Friday,5,Yes,
68,UniversityOfSouthernMississippi,3,11/21/14,AM,72,"SR, II",20,7,A,Monday,5,Yes,Participant remained seated while filling out survey
69,UniversityOfSouthernMississippi,1,12/1/14,AM,72,"II, SR",10,6,B,Friday,5,No (4),Participant's session was interrupted by someone knocking on the lab door.
70,UniversityOfSouthernMississippi,1,12/1/14,AM,72,"II, SR",20,1,B,Friday,5,No (2),
71,UniversityOfSouthernMississippi,3,12/1/14,AM,72,"SR, II",10,7,C,Friday,5,N/A,Participant remianed seated while filling out survey
72,UniversityOfSouthernMississippi,3,12/1/14,AM,73,"SR, II",20,6,C,Monday,5,N/A,
73,UniversityOfSouthernMississippi,5,12/1/14,AM,73,"II, SR",10,7,A,Monday,5,Yes,
74,UniversityOfSouthernMississippi,1,12/1/14,AM,73,"II, SR",20,6,A,Monday,3,No (2),
75,UniversityOfSouthernMississippi,3,12/1/14,AM,73,"SR, II",10,7,B,Friday,3,Yes,Participant remained seated when filling out survey
76,UniversityOfSouthernMississippi,1,12/3/14,MF,73,"SR, II",20,6,B,Friday,5,Yes,
77,UniversityOfSouthernMississippi,5,12/3/14,MF,75,"II, SR",10,7,C,Friday,5,N/A,
78,UniversityOfSouthernMississippi,3,12/3/14,MF,75,"II, SR",20,6,C,Friday,5,N/A,
79,UniversityOfSouthernMississippi,1,12/3/14,MF,75,"SR, II",10,7,A,Monday,4,Yes,
80,UniversityOfSouthernMississippi,3,12/3/14,MF,75,"SR, II",20,7,A,Monday,5,Yes,
81,UniversityOfSouthernMississippi,5,12/3/14,MF,75,"II, SR",10,3,B,Monday,5,No (2),
82,UniversityOfSouthernMississippi,3,12/3/14,MF,75,"II, SR",20,7,B,Friday,4,Yes,
83,UniversityOfSouthernMississippi,3,12/3/14,MF,75,"SR, II",10,5,C,Friday,5,N/A,
84,UniversityOfSouthernMississippi,1,12/3/14,MF,75,"SR, II",20,7,C,Friday,5,N/A,
85,UniversityOfSouthernMississippi,5,12/3/14,MF,75,"II, SR",10,6,A,Friday,5,Yes,
86,UniversityOfSouthernMississippi,1,12/3/0204,MF,75,"II, SR",20,7,A,Monday,3,Yes,
87,UniversityOfSouthernMississippi,5,12/4/14,MF,72,"SR, II",10,5,B,Friday,5,Yes,
88,UniversityOfSouthernMississippi,5,12/4/14,MF,72,"SR, II",20,7,B,Monday,5,Yes,
89,UniversityOfSouthernMississippi,1,12/4/14,MF,73,"II, SR",10,7,C,Monday,5,N/A,
90,UniversityOfSouthernMississippi,1,12/4/14,MF,73,"II, SR",20,7,C,Friday,5,N/A,
91,UniversityOfSouthernMississippi,5,12/4/0204,MF,73,"SR, II",10,7,A,Monday,4,Yes,
