ML3: In-Session Data Spreadsheet: University of Toronto,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,UniversityOfToronto,96,9/23/14,VE,25.1,SR-II,10,5,A,Friday,5,Yes,
8,UniversityOfToronto,96,9/23/14,VE,25.4,SR-II,20,6,A,Friday,4,Yes,
9,UniversityOfToronto,94,9/23/14,VE,25.2,II-SR,10,6,B,Wednesday,3,Yes,"Leaned body against wall (but not clipboard), did not get experimenter halfway through computer task"
10,UniversityOfToronto,96,9/23/14,VE,26,II-SR,20,6,B,Monday,5,Yes,Crouched with clipboard
11,UniversityOfToronto,96,9/23/14,VE,25.6,SR-II,10,5,C,Monday,5,N/A,
12,UniversityOfToronto,94,9/23/14,VE,25.3,SR-II,20,4,C,Monday,4,N/A,
13,UniversityOfToronto,96,9/24/14,VE,25,II-SR,10,5,A,Monday,5,No (1),"Crouched with clipboard, finished computer task very quickly"
14,UniversityOfToronto,94,9/24/14,VE,25.3,II-SR,20,3,A,Monday,3,Yes,
15,UniversityOfToronto,96,9/24/14,KH,25.2,SR-II,10,7,B,Monday,4,Yes,
16,UniversityOfToronto,94,9/24/14,VE,24.1,SR-II,20,6,B,Friday,5,No (1),
17,UniversityOfToronto,96,9/24/14,VE,25.4,II-SR,10,7,C,Monday,4,N/A,
18,UniversityOfToronto,94,9/24/14,KH,25.5,II-SR,20,6,C,Friday,5,N/A,
19,UniversityOfToronto,96,9/24/14,VE,25.6,SR-II,10,5,A,Sunday,3,Yes,Claimed that computer portion did not instruct to get experimenter halfway through
20,UniversityOfToronto,96,9/25/14,PC,?,SR-II,20,5,A,Friday,5,Yes,Did not measure temperature
21,UniversityOfToronto,96,9/25/14,PC,?,II-SR,10,5,B,Monday,4,No (2),Did not measure temperature
22,UniversityOfToronto,94,9/29/14,KH,25.6,II-SR,20,7,B,Friday,5,Yes,Did not stop halfway through to get experimenter
23,UniversityOfToronto,96,9/29/14,KH,25.7,SR-II,10,6,C,Friday,5,N/A,Leaned clipboard against wall
24,UniversityOfToronto,94,9/29/14,EB,25.1,SR-II,20,7,C,Friday,5,N/A,Leaned clipboard against wall
25,UniversityOfToronto,96,9/29/14,KH,25.3,II-SR,10,6,A,Monday,5,Yes,
26,UniversityOfToronto,94,9/29/14,EB,25.1,II-SR,20,6,A,Monday,5,Yes,
27,UniversityOfToronto,96,9/30/14,PC,?,SR-II,10,6,B,Friday,5,No (1),Did not measure temperature
28,UniversityOfToronto,96,9/30/14,PC,?,SR-II,20,3,B,Monday,3,No (2),Did not measure temperature
29,UniversityOfToronto,96,9/30/14,PC,?,II-SR,10,6,C,Friday,4,N/A,Did not measure temperature
30,UniversityOfToronto,96,9/30/14,PC,26,II-SR,20,6,C,Tuesday,1,N/A,Leaned body against wall with clipboard
31,UniversityOfToronto,94,9/30/14,VE,25.4,SR-II,10,7,A,Friday,5,Yes,
32,UniversityOfToronto,96,9/30/14,PC,26.3,SR-II,20,5,A,Saturday,5,Yes,Took a long time on the survey
33,UniversityOfToronto,94,9/30/14,VE,26.2,II-SR,10,7,B,Friday,4,Yes,Started second half of computer portion before coming to get experimenter
34,UniversityOfToronto,96,9/30/14,VE,25.5,II-SR,20,6,B,Friday,5,Yes,Crouched with clipboard
35,UniversityOfToronto,94,9/30/14,VE,25.8,SR-II,10,7,C,Monday,5,N/A,Leaned body against wall with clipboard
36,UniversityOfToronto,96,9/30/14,VE,26.2,SR-II,20,6,C,Friday,5,N/A,Leaned body against wall with clipboard
37,UniversityOfToronto,94,9/30/14,VE,26.1,II-SR,10,6,A,Friday,2,Yes,Started computer portion without permission
38,UniversityOfToronto,,,,,,,,,,,,
39,UniversityOfToronto,96,10/2/14,EB,25.2,SR-II,10,4,B,Monday,5,No (4),Leaned body against wall with clipboard
40,UniversityOfToronto,96,10/2/14,EB,25,SR-II,20,6,B,Monday,5,Yes,
41,UniversityOfToronto,96,10/6/14,KH,24.4,II-SR,10,6,C,Friday,4,N/A,Leaned clipboard against wall; had to restart computer task
42,UniversityOfToronto,96,10/6/14,EB,24.2,II-SR,20,5,C,Friday,5,N/A,Missed the second page of the clipboard task and had to do it after the second half of the computer task
43,UniversityOfToronto,94,10/6/14,KH,24.8,SR-II,10,6,A,Friday,5,Yes,
44,UniversityOfToronto,96,10/6/14,KH,24.2,SR-II,20,7,A,Monday,4,Yes,
45,UniversityOfToronto,96,10/6/14,VE,25.6,II-SR,10,7,B,Monday,4,No (4),Leaned body against wall with clipboard
46,UniversityOfToronto,,11/14/14,SP,,,,,,,,,"Will be computer data for this participant, but experiment ran a paid participant, not a course-credit participant"
47,UniversityOfToronto,94,11/19/14,VE,23.2,SR-II,10,6,C,Monday,5,N/A,Leaned one shoulder against wall during clipboard task
48,UniversityOfToronto,96,11/19/14,VE,23.5,SR-II,20,5,C,Friday,5,N/A,
49,UniversityOfToronto,94,11/19/14,VE,23.4,II-SR,10,7,A,Friday,5,Yes,Leaned body against wall with clipboard
50,UniversityOfToronto,96,11/19/14,VE,23.6,II-SR,20,7,A,Monday,4,Yes,
51,UniversityOfToronto,94,11/24/14,EB,25.2,SR-II,10,5,B,Monday,5,Yes,
52,UniversityOfToronto,96,11/24/14,SP,25.2,SR-II,20,7,B,Monday,4,Yes,Leaned body against wall with clipboard
53,UniversityOfToronto,96,11/24/14,PC,25.8,II-SR,10,5,C,Monday,5,N/A,Leaned clipboard against wall
54,UniversityOfToronto,94,11/25/14,VE,24.5,II-SR,20,5,C,Monday,4,N/A,
55,UniversityOfToronto,96,11/25/14,PC,25.6,SR-II,10,5,A,Monday,5,Yes,Leaned body against wall with clipboard
56,UniversityOfToronto,96,11/25/20,VE,24.8,SR-II,20,7,A,Monday,4,Yes,
57,UniversityOfToronto,96,11/25/14,VE,25,II-SR,10,6,B,Monday,3,Yes,
58,UniversityOfToronto,94,11/25/14,VE,25.6,II-SR,20,5,B,Monday,3,Yes,
59,UniversityOfToronto,96,11/25/14,VE,25.1,SR-II,10,6,C,Monday,3,N/A,
60,UniversityOfToronto,94,11/25/14,VE,24.6,SR-II,20,7,C,Monday,4,N/A,
61,UniversityOfToronto,96,11/26/14,VE,24.5,II-SR,10,6,A,Friday,3,Yes,Leaned body against wall with clipboard
62,UniversityOfToronto,94,11/26/14,VE,24.8,II-SR,20,7,A,Monday,5,No (1),
63,UniversityOfToronto,94,11/26/14,VE,23.8,SR-II,10,7,B,Friday,4,Yes,Leaned body against wall with clipboard
64,UniversityOfToronto,96,11/26/14,VE,24,SR-II,20,6,B,Monday,4,Yes,Got interrupted halfway through the study; moved to a different computer and resumed the study later on the original computer
65,UniversityOfToronto,96,11/26/14,VE,24.1,II-SR,10,7,C,Friday,5,N/A,Leaned body against wall with clipboard
66,UniversityOfToronto,96,11/26/14,VE,24.1,II-SR,20,4,C,Friday,4,N/A,
67,UniversityOfToronto,94,11/26/14,VE,24.2,SR-II,10,6,A,Friday,5,Yes,
68,UniversityOfToronto,96,11/28/14,SP,24,SR-II,20,5,A,Monday,4,Yes,
69,UniversityOfToronto,96,11/28/14,SP,24,II-SR,10,7,B,Friday,5,Yes,Leaned body against wall with clipboard
70,UniversityOfToronto,96,11/28/14,SP,24.1,II-SR,20,7,B,Friday,5,Yes,"""page cannot be displayed"" message after asking participant to rate self-esteem"
71,UniversityOfToronto,96,12/1/14,EB,23.7,SR-II,10,7,C,Monday,5,N/A,Leaned clipboard against wall
72,UniversityOfToronto,94,12/1/14,KH,23.5,SR-II,20,6,C,Friday,4,N/A,May have used participant number twice
73,UniversityOfToronto,95,12/1/14,AS,23.4,II-SR,10,7,A,Friday,4,Yes,RA who doesn't usually run study
74,UniversityOfToronto,94,12/1/14,PC,24.1,II-SR,20,6,A,Friday,5,Yes,Leaned body against wall with clipboard
75,UniversityOfToronto,96,12/2/14,PC,24,SR-II,10,6,B,Monday,3,No (3),
76,UniversityOfToronto,96,12/2/14,PC,25.8,SR-II,20,N/A,B,N/A,N/A,No (1),Did not complete packet
77,UniversityOfToronto,94,12/2/14,VE,24.3,II-SR,10,6,C,Monday,4,N/A,
78,UniversityOfToronto,94,12/2/14,VE,24.7,II-SR,20,6,C,Friday,5,N/A,Leaned body against wall with clipboard
79,UniversityOfToronto,96,12/2/14,PC,24,SR-II,10,6,A,Friday,5,No (1),Leaned body against wall with clipboard
