ML3: In-Session Data Spreadsheet: University of Virginia,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,UniversityOfVirginia,024D,9/10/14,MJ,,"SR, II",10,6,A,Friday,5,Yes,Placed clipboard on filing cabinet
8,UniversityOfVirginia,024B,9/10/14,MJ,,"SR, II",20,6,A,Monday,5,Yes,
9,UniversityOfVirginia,024D,9/10/14,MJ,,"II, SR",10,3,B,Monday,5,Yes,Placed on filing cabinet
10,UniversityOfVirginia,024B,9/10/14,MJ,,"II, SR",20,7,B,Friday,4,Yes,Leaned on door frame
11,UniversityOfVirginia,024C,9/10/14,MJ,,"SR, II",10,6,C,Firday,5,N/A,
12,UniversityOfVirginia,024C,9/10/14,MJ,,"SR, II",20,6,C,Friday,4,N/A,
13,UniversityOfVirginia,024B,9/10/14,MJ,,"II, SR",10,7,A,Friday,4,Yes,
14,UniversityOfVirginia,024B,9/10/14,MJ,,"II, SR",20,5,A,Saturday,4,Yes,Returned to room to fill out
15,UniversityOfVirginia,024D,9/10/14,MJ,,"SR, II",10,3,B,Monday,5,"No, 2 Wrong",
16,UniversityOfVirginia,024C,9/10/14,MJ,,"SR, II",20,7,B,Monday,5,Yes,Leaned on wall
17,UniversityOfVirginia,024C,9/10/14,MJ,,"II, SR",10,7,C,Monday,5,N/A,Knew participant
18,UniversityOfVirginia,024B,9/10/14,MJ,,"II, SR",20,6,C,Friday,4,N/A,Leaned on door frame
19,UniversityOfVirginia,024C,9/10/14,MJ,,"SR, II",10,6,A,Friday,5,Yes,
20,UniversityOfVirginia,024D,9/10/14,MJ,,"SR, II",20,7,A,Friday,5,Yes,
21,UniversityOfVirginia,024B,9/10/14,MJ,,"II, SR",10,5,B,Friday,4,"No, 4 Wrong",Leaned on wall
22,UniversityOfVirginia,024B,9/15/14,DK,,"II, SR",20,7,B,Friday,4,"No, 4 Wrong",Leaned on wall
23,UniversityOfVirginia,024D,9/15/14,DK,,"SR, II",10,7,C,Monday,5,N/A,
24,UniversityOfVirginia,024D,9/15/14,DK,,"SR, II",20,6,C,Friday,4,N/A,
25,UniversityOfVirginia,024B,9/15/14,DK,,"II, SR",10,6,A,Friday,4,Yes,Leaned on wall
26,UniversityOfVirginia,024D,9/15/14,DK,,"II, SR",20,7,A,Friday,2,Yes,Leaned on wall
27,UniversityOfVirginia,024B,9/15/14,DK,,"SR, II",10,6,B,Friday,5,Yes,Leaned on wall
28,UniversityOfVirginia,024C,9/15/14,DK,,"SR, II",20,6,B,Monday,3,Yes,
29,UniversityOfVirginia,024D,9/15/14,DK,,"II, SR",10,6,C,Monday,5,N/A,
30,UniversityOfVirginia,024B,9/15/14,DK,,"II, SR",20,6,C,Monday,4,N/A,"Went back to room to fill out, didn't understand English very well"
31,UniversityOfVirginia,024C,9/17/14,MJ,72,"SR, II",10,5,A,Friday,4,Yes,
32,UniversityOfVirginia,024B,9/17/14,MJ,72,"SR, II",20,6,A,Friday,4,Yes,Leaned on wall
33,UniversityOfVirginia,024D,9/17/14,MJ,71,"II, SR",10,7,B,Monday,4,"No, 4 Wrong",Leaned on wall
34,UniversityOfVirginia,024C,9/17/14,MJ,71,"II, SR",20,7,B,Friday,4,Yes,Returned to room
35,UniversityOfVirginia,024C,9/17/14,MJ,71,"SR, II",10,3,C,Monday,4,N/A,
36,UniversityOfVirginia,024B,9/17/14,MJ,71,"SR, II",20,6,C,Monday,5,N/A,Leaned on wall
37,UniversityOfVirginia,024D,9/17/14,MJ,72,"II, SR",10,7,A,Monday,5,Yes,Leaned on wall
38,UniversityOfVirginia,024C,9/17/14,MJ,71,"II, SR",20,7,A,Monday,4,Yes,Leaned on wall
39,UniversityOfVirginia,024B,9/17/14,MJ,71,"SR, II",10,7,B,Friday,5,Yes,
40,UniversityOfVirginia,024B,9/25/14,DK,71,"SR, II",20,5,B,Monday,5,Yes,Leaned board on wall
41,UniversityOfVirginia,024C,9/25/14,DK,71,"II, SR",10,7,C,Monday,4,N/A,
42,UniversityOfVirginia,024D,9/25/14,DK,71,"II, SR",20,2,C,Friday,5,N/A,
43,UniversityOfVirginia,024B,9/25/14,DK,71,"SR, II",10,6,A,Monday,5,Yes,
44,UniversityOfVirginia,024C,9/25/14,DK,72,"SR, II",20,7,A,Monday,5,"No, 1 Wrong",Leaned on wall
45,UniversityOfVirginia,024B,9/25/14,DK,72,"II, SR",10,6,B,Friday,2,Yes,Went to room --> had to discard
46,UniversityOfVirginia,024D,9/25/14,DK,71,"II, SR",20,6,B,Friday,4,Yes,
47,UniversityOfVirginia,024C,9/25/14,DK,71,"SR, II",10,6,C,Monday,5,N/A,
48,UniversityOfVirginia,024D,9/25/14,DK,71,"SR, II",20,6,C,Friday,5,N/A,
49,UniversityOfVirginia,024B,9/25/14,DK,72,"II, SR",10,5,A,Monday,3,"No, 1 Wrong",
50,UniversityOfVirginia,024D,10/2/14,DK,72,"II, SR",20,7,A,Monday,5,Yes,
51,UniversityOfVirginia,024C,10/2/14,DK,72,"SR, II",10,7,B,Friday,5,Yes,
52,UniversityOfVirginia,024B,10/2/14,DK,71,"SR, II",20,6,B,Monday,4,Yes,
53,UniversityOfVirginia,024D,10/2/14,DK,71,"II, SR",10,6,C,Friday,2,N/A,Sat down on floor
54,UniversityOfVirginia,024B,10/2/14,DK,71,"II, SR",20,6,C,Monday,3,N/A,
55,UniversityOfVirginia,024B,10/2/14,DK,71,"SR, II",10,6,A,Friday,5,Yes,
56,UniversityOfVirginia,024D,10/2/14,DK,71,"SR, II",20,6,A,Monday,5,Yes,Leaned on wall
57,UniversityOfVirginia,024C,10/2/14,DK,71,"II, SR",10,6,B,Monday,5,Yes,Leaned on wall
58,UniversityOfVirginia,024D,10/2/14,DK,71,"II, SR",20,6,B,Monday,5,Yes,Sat down
59,UniversityOfVirginia,024B,10/2/14,DK,71,"SR, II",10,7,C,Monday,5,N/A,Closed door during comp. portion
60,UniversityOfVirginia,024B,10/6/14,DK,71,"SR, II",20,7,C,Monday,3,N/A,
61,UniversityOfVirginia,024D,10/6/14,DK,71,"II, SR",10,7,A,Monday,4,Yes,Leaned on wall
62,UniversityOfVirginia,024B,10/6/14,DK,71,"II, SR",20,5,A,Monday,5,Yes,Leaned on doorframe
63,UniversityOfVirginia,024B,10/10/14,MJ,72,"SR, II",10,7,B,Friday,4,Yes,
64,UniversityOfVirginia,024D,10/10/14,MJ,72,"SR, II",20,5,B,Monday,4,"No, 4 Wrong",
65,UniversityOfVirginia,024C,10/10/14,MJ,72,"II, SR",10,6,C,Friday,4,N/A,
66,UniversityOfVirginia,024D,10/10/14,MJ,72,"II, SR",20,6,C,Friday,1,N/A,
67,UniversityOfVirginia,024B,10/10/14,MJ,72,"SR, II",10,6,A,Friday,5,Yes,
68,UniversityOfVirginia,024C,10/10/14,MJ,72,"SR, II",20,6,A,Monday,3,Yes,Leaned on wall
69,UniversityOfVirginia,024C,10/10/14,MJ,72,"II, SR",10,7,B,Monday,3,"No, 1 Wrong",
70,UniversityOfVirginia,024D,10/10/14,MJ,72,"II, SR",20,6,B,Friday,3,"No, 4 Wrong",
71,UniversityOfVirginia,024B,10/10/14,MJ,72,"SR, II",10,7,C,Monday,2,N/A,
72,UniversityOfVirginia,024B,10/10/14,MJ,72,"SR, II",20,7,C,Monday,3,N/A,Leaned on wall
73,UniversityOfVirginia,024D,10/10/14,MJ,72,"II, SR",10,7,A,Friday,5,Yes,
74,UniversityOfVirginia,024B,10/10/14,MJ,72,"II, SR",20,7,A,Monday,4,Yes,Leaned on wall
75,UniversityOfVirginia,024C,10/10/14,MJ,72,"SR, II",10,4,B,Friday,5,Yes,Leaned on wall
76,UniversityOfVirginia,024B,10/10/14,MJ,72,"SR, II",20,6,B,Monday,5,Yes,
77,UniversityOfVirginia,024D,10/10/14,MJ,72,"II, SR",10,7,C,Friday,5,N/A,
78,UniversityOfVirginia,024C,10/10/14,MJ,72,"II, SR",20,7,C,Monday,4,N/A,
79,UniversityOfVirginia,024B,10/15/14,MJ,74,"SR, II",10,7,A,Friday,5,Yes,
80,UniversityOfVirginia,024D,10/15/14,MJ,74,"SR, II",20,6,A,Friday,5,Yes,
81,UniversityOfVirginia,024C,10/15/14,MJ,74,"II, SR",10,6,B,Friday,4,Yes,
82,UniversityOfVirginia,024B,10/15/14,MJ,74,"II, SR",20,6,B,Monday,5,Yes,Leaned on wall
83,UniversityOfVirginia,024D,10/15/14,MJ,74,"SR, II",10,5,C,Friday,5,N/A,
84,UniversityOfVirginia,024B,10/15/14,MJ,74,"SR, II",20,7,C,Friday,5,N/A,
85,UniversityOfVirginia,024C,10/15/14,MJ,74,"II, SR",10,5,A,Friday,4,Yes,
86,UniversityOfVirginia,024C,10/15/14,MJ,74,"II, SR",20,6,A,Monday,3,"No, 4 Wrong",
87,UniversityOfVirginia,024D,10/15/14,MJ,74,"SR, II",10,,,,,,REQUESTED DATA WITHDRAWN
88,UniversityOfVirginia,024B,10/15/14,MJ,74,"SR, II",20,6,B,Monday,3,Yes,
89,UniversityOfVirginia,024B,10/16/14,DK,72,"II, SR",10,6,C,Monday,3,N/A,Leaned on wall
90,UniversityOfVirginia,024D,10/16/14,DK,72,"II, SR",20,5,C,Friday,4,N/A,
91,UniversityOfVirginia,024B,10/16/14,DK,72,"SR, II",10,6,A,Monday,5,Yes,Sat down
92,UniversityOfVirginia,024D,10/17/14,MJ,,"SR, II",20,6,A,Friday,4,Yes,Leaned on wall
93,UniversityOfVirginia,024B,10/17/14,MJ,,"II, SR",10,6,B,Friday,2,Yes,
94,UniversityOfVirginia,024C,10/17/14,MJ,,"II, SR",20,5,B,Monday,2,Yes,
95,UniversityOfVirginia,024B,10/17/14,MJ,,"SR, II",10,6,C,Friday,5,N/A,
96,UniversityOfVirginia,024D,10/17/14,MJ,,"SR, II",20,7,C,Friday,5,N/A,Leaned on door
97,UniversityOfVirginia,024C,10/17/14,MJ,,"II, SR",10,6,A,Monday,5,Yes,
98,UniversityOfVirginia,024B,10/17/14,MJ,,"II, SR",20,6,A,Monday,5,Yes,Leaned
99,UniversityOfVirginia,024D,10/17/14,MJ,,"SR, II",10,5,B,Friday,4,"No, 4 Wrong",
100,UniversityOfVirginia,024B,10/17/14,MJ,,"SR, II",20,6,B,Monday,3,"No, 3 Wrong",
101,UniversityOfVirginia,024B,10/21/14,DK,71,"II, SR",10,7,C,Monday,5,N/A,
102,UniversityOfVirginia,024D,10/21/14,DK,71,"II, SR",20,7,C,Monday,5,N/A,
103,UniversityOfVirginia,024B,10/21/14,DK,71,"SR, II",10,6,A,Friday,3,Yes,Leaned on wall
104,UniversityOfVirginia,024C,10/21/14,DK,71,"SR, II",20,6,A,Monday,5,Yes,Leaned on wall
105,UniversityOfVirginia,024D,10/21/14,DK,71,"II, SR",10,6,B,Monday,2,Yes,
106,UniversityOfVirginia,024B,10/21/14,DK,71,"II, SR",20,6,B,Friday,3,Yes,Leaned on wall
107,UniversityOfVirginia,024D,10/21/14,DK,71,"SR, II",10,6,C,Monday,4,N/A,
108,UniversityOfVirginia,024C,10/21/14,DK,71,"SR, II",20,6,C,Monday,4,N/A,
109,UniversityOfVirginia,024B,10/21/14,DK,72,"II, SR",10,6,A,Saturday,4,N/A,Went back to room
110,UniversityOfVirginia,024B,10/21/14,DK,72,"II, SR",20,6,A,Monday,5,Yes,Leaned on wall
111,UniversityOfVirginia,024D,10/21/14,DK,72,"SR, II",10,6,B,Friday,5,Yes,
112,UniversityOfVirginia,024C,10/21/14,DK,72,"SR, II",20,6,B,Monday,4,Yes,
113,UniversityOfVirginia,024C,10/23/14,DK,,"II, SR",10,6,C,Friday,5,N/A,
114,UniversityOfVirginia,024B,10/23/14,DK,,"II, SR",20,7,C,Friday,4,N/A,Leaned on wall
115,UniversityOfVirginia,024C,10/23/14,DK,,"SR, II",10,6,A,Friday,5,Yes,
116,UniversityOfVirginia,024B,10/23/14,DK,,"SR, II",20,6,A,Friday,4,Yes,Leaned board on wall
117,UniversityOfVirginia,024D,10/23/14,DK,,"II, SR",10,6,B,Friday,2,Yes,Spent >5 minutes on it
118,UniversityOfVirginia,024B,10/23/14,DK,,"II, SR",20,5,B,Monday,5,Yes,
119,UniversityOfVirginia,024D,10/23/14,DK,,"SR, II",10,6,C,Friday,5,N/A,
120,UniversityOfVirginia,024B,10/23/14,DK,,"SR, II",20,7,C,Friday,5,N/A,
121,UniversityOfVirginia,024C,10/23/14,DK,,"II, SR",10,6,A,Monday,2,Yes,
122,UniversityOfVirginia,024D,10/23/14,DK,,"II, SR",20,7,A,Friday,5,Yes,
123,UniversityOfVirginia,024B,10/23/14,DK,,"SR, II",10,6,B,Friday,5,Yes,
124,UniversityOfVirginia,024D,10/23/14,DK,,"SR, II",20,6,B,Friday,5,Yes,Took back to room
125,UniversityOfVirginia,024B,10/23/14,DK,,"II, SR",10,6,C,Monday,5,N/A,
126,UniversityOfVirginia,024C,10/23/14,DK,,"II, SR",20,7,C,Monday,4,N/A,
127,UniversityOfVirginia,024B,10/29/14,MJ,74,"II, SR",10,7,A,Monday,4,Yes,Leaned on wall
128,UniversityOfVirginia,024C,10/29/14,MJ,74,"II, SR",20,7,A,Monday,4,Yes,Leaned on wall
129,UniversityOfVirginia,024D,10/29/14,MJ,74,"SR, II",10,6,B,Friday,5,Yes,Leaned on wall
130,UniversityOfVirginia,024B,10/31/14,DK,72,"SR, II",20,7,B,Monday,4,Yes,
131,UniversityOfVirginia,024D,10/31/14,DK,72,"II, SR",10,6,C,Monday,4,N/A,Went back to room
132,UniversityOfVirginia,024C,10/31/14,DK,72,"II, SR",20,5,C,Friday,4,N/A,
133,UniversityOfVirginia,024D,10/31/14,DK,72,"SR, II",10,6,A,Friday,5,Yes,
134,UniversityOfVirginia,024B,10/31/14,DK,72,"SR, II",20,7,A,Monday,4,Yes,
135,UniversityOfVirginia,024B,10/31/14,DK,72,"II, SR",10,6,B,Monday,5,Yes,"Sat down, took 5 minutes"
136,UniversityOfVirginia,024D,10/31/14,DK,72,"II, SR",20,6,B,Friday,5,Yes,Leaned on wall
137,UniversityOfVirginia,024D,10/31/14,DK,72,"SR, II",10,4,C,Monday,5,N/A,
138,UniversityOfVirginia,024B,10/31/14,DK,72,"SR, II",20,6,C,Monday,4,N/A,Leaned on wall
139,UniversityOfVirginia,024C,10/31/14,DK,72,"II, SR",10,7,A,Monday,5,Yes,
140,UniversityOfVirginia,024C,10/31/14,DK,72,"II, SR",20,6,A,Monday,3,Yes,
141,UniversityOfVirginia,024B,10/31/14,DK,72,"SR, II",10,6,B,Monday,3,"No, 1 wrong",Took back to room
142,UniversityOfVirginia,024D,10/31/14,DK,72,"SR, II",20,6,B,Friday,5,Yes,
143,UniversityOfVirginia,024B,10/31/14,DK,72,"II, SR",10,7,C,Friday,5,N/A,Leaned on wall
144,UniversityOfVirginia,024D,10/31/14,DK,72,"II, SR",20,6,C,Friday,5,N/A,No computer data
145,UniversityOfVirginia,024C,10/31/14,DK,72,"SR, II",10,6,A,Friday,5,Yes,No computer data
146,UniversityOfVirginia,024C,11/4/14,DK,73,"SR, II",20,6,A,Monday,5,Yes,
147,UniversityOfVirginia,024D,11/4/14,DK,73,"II, SR",10,6,B,Friday,5,"No, 4 wrong",
148,UniversityOfVirginia,024B,11/4/14,DK,73,"II, SR",20,5,B,Monday,4,Yes,
149,UniversityOfVirginia,024B,11/4/14,DK,73,"SR, II",10,5,C,Friday,4,N/A,"Leaned on wall, didn't finish computer"
150,UniversityOfVirginia,024C,11/4/14,DK,73,"SR, II",20,7,C,Friday,5,N/A,
151,UniversityOfVirginia,024D,11/4/14,DK,73,"II, SR",10,7,A,Friday,5,Yes,
152,UniversityOfVirginia,024D,11/4/14,DK,73,"II, SR",20,5,A,Friday,5,Yes,Went out into the actual hallway
153,UniversityOfVirginia,024B,11/4/14,DK,73,"SR, II",10,7,A,Monday,5,Yes,
154,UniversityOfVirginia,024D,11/4/14,DK,73,"SR, II",20,6,B,Monday,5,"No, 2 wrong",
155,UniversityOfVirginia,024C,11/4/14,DK,73,"II, SR",10,7,C,Monday,4,N/A,Closed her door
156,UniversityOfVirginia,024B,11/4/14,DK,73,"II, SR",20,6,C,Monday,5,N/A,Sat down
157,UniversityOfVirginia,024C,11/4/14,DK,73,"SR, II",10,5,A,Monday ,4,Yes,
158,UniversityOfVirginia,024C,11/13/14,MJ,,"SR, II",20,6,A,Monday,4,Yes,Leaned on wall
159,UniversityOfVirginia,024B,11/13/14,MJ,,"II, SR",10,7,B,Monday,3,"No, 1 wrong","Leaned on filing cabinet, clicked through come find experimenter"
****160,UniversityOfVirginia,024C,11/13/14,MJ,,,,,,,,,
161,UniversityOfVirginia,024B,11/13/14,MJ,,"SR, II",10,6,C,Friday,5,N/A,Leaned on wall
162,UniversityOfVirginia,024D,11/13/14,MJ,,"SR, II",20,7,C,Friday,4,N/A,Leaned on wall
163,UniversityOfVirginia,024D,11/13/14,MJ,,"SR, II",10,6,A,Friday,5,"No, 1 wrong",
164,UniversityOfVirginia,024C,11/13/14,MJ,,"SR, II",20,6,A,Monday,4,Yes,
165,UniversityOfVirginia,024B,11/13/14,MJ,,"II, SR",10,6,B,Friday,5,"No, 4 wrong",Leaned on wall
166,UniversityOfVirginia,024B,11/13/14,MJ,,"II, SR",20,6,B,Monday,4,Yes,
167,UniversityOfVirginia,024D,11/13/14,MJ,,"SR, II",10,7,C,Monday,5,N/A,
168,UniversityOfVirginia,024B,11/14/14,DK,72,"SR, II",20,6,C,Monday,5,N/A,Leaned on door frame
169,UniversityOfVirginia,024D,11/14/14,DK,72,"II, SR",10,5,A,Friday,4,Yes,
170,UniversityOfVirginia,024C,11/14/14,DK,72,"II, SR",20,5,A,Monday,4,Yes,Entered on computer at 169 at 11:22 AM
171,UniversityOfVirginia,024B,11/14/14,DK,72,"SR, II",10,5,B,Friday,5,Yes,
172,UniversityOfVirginia,024D,11/14/14,DK,72,"SR, II",20,3,B,Friday,5,Yes,
173,UniversityOfVirginia,024B,11/14/14,DK,72,"II, SR",10,6,C,Monday,4,N/A,
174,UniversityOfVirginia,024C,11/14/14,DK,72,"II, SR",20,7,C,Friday,5,N/A,
175,UniversityOfVirginia,024D,11/14/14,DK,72,"II, SR",10,7,A,Friday,5,Yes,
176,UniversityOfVirginia,024B,11/19/14,MJ,73,"II, SR",20,6,A,Friday,5,Yes,
177,UniversityOfVirginia,024D,11/19/14,MJ,73,"SR, II",10,7,B,Monday,5,Yes,
178,UniversityOfVirginia,024D,11/19/14,MJ,73,"SR, II",20,7,B,Monday,4,"No, 2 wrong",Leaned on wall
179,UniversityOfVirginia,024C,11/19/14,MJ,73,"II, SR",10,2,C,Friday,5,N/A,Sat in chair
180,UniversityOfVirginia,024B,11/19/14,MJ,73,"II, SR",20,7,C,Friday,4,N/A,Sat on floor
181,UniversityOfVirginia,024B,11/19/14,MJ,73,"SR, II",10,6,A,Friday,5,Yes,Sat in chair
182,UniversityOfVirginia,024D,11/19/14,MJ,73,"SR, II",20,7,A,Friday,5,Yes,Sat in chair
183,UniversityOfVirginia,024C,11/20/14,DK,72,"II, SR",10,3,B,Monday,5,Yes,Took back to room
184,UniversityOfVirginia,024C,11/20/14,DK,72,"II, SR",20,5,B,Monday,5,Yes,Took back to room
185,UniversityOfVirginia,024B,11/20/14,DK,72,"SR, II",10,7,C,Friday,5,N/A,
186,UniversityOfVirginia,024B,11/20/14,DK,72,"SR, II",20,6,C,Monday,4,N/A,Took back to room
187,UniversityOfVirginia,024D,11/20/14,DK,72,"II, SR",10,7,A,Friday,5,Yes,
188,UniversityOfVirginia,024C,11/20/14,DK,72,"II, SR",20,7,A,Friday,5,Yes,
189,UniversityOfVirginia,024B,11/20/14,DK,72,"SR, II",10,6,B,Friday,5,Yes,Paced down hallway
190,UniversityOfVirginia,024B,12/2/14,DK,71,"SR, II",20,6,B,Friday,3,Yes,Went back to room
191,UniversityOfVirginia,024C,12/2/14,DK,71,"II, SR",10,6,C,Friday,4,N/A,
192,UniversityOfVirginia,024D,12/2/14,DK,72,"II, SR",20,7,C,Monday,5,N/A,
193,UniversityOfVirginia,024B,12/2/14,DK,72,"SR, II",10,6,A,Friday,5,Yes,Leaned on wall
194,UniversityOfVirginia,024B,12/3/14,MJ,73,"SR, II",20,,,,,,
195,UniversityOfVirginia,024B,12/3/14,MJ,73,"II, SR",10,,,,,,
196,UniversityOfVirginia,024D,12/3/14,MJ,73,"II, SR",20,,,,,,
197,UniversityOfVirginia,024B,12/3/14,MJ,73,"SR, II",10,,,,,,2 198's
