ML3: In-Session Data Spreadsheet: Virginia Commonwealth University,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,(II-SR or SR-II),(10 or 20),(1 not at all important - 7 very important),"(A, B, C)",type the day of the week,(1 not at all confident - 5 very confident),"Did the participant answer the 4 true/false questions correctly? Yes, No (how many missed), or N/A (if in condition C)",
Participant ID,Site,Station,Date,Experimenter,Temperature in lab,Order of Tasks ,Clipboard Weight,II Response,SR Condition,SR Meeting Response,SR Confidence Response,SR T/F Correct?,Notes
7,VirginiaCommonwealthUniversity,133,9/10/14,AHC,78,SR-II,10,7,A,Monday,5,yes,
8,VirginiaCommonwealthUniversity,133,9/10/14,AHC,78,SR-II,20,7,A,Friday,5,yes,"P walked into lab area while I was debriefing P#7 about the deception. Also said ""I feel like I'm being tricked"" during the clipboard part. "
9,VirginiaCommonwealthUniversity,133,9/11/14,LH,79,II-SR,10,7,B,Friday,5,"no, 4",
10,VirginiaCommonwealthUniversity,133,9/11/14,JMM,79,II-SR,20,7,B,Friday,5,yes,Particpant answered phone and was talking to mom for a couple seconds before I told them to please turn their cell phone off. Participant seemed to complete the study somewhat quickly... maybe 15-20 minutes total. Seemed a little distracted. 
11,VirginiaCommonwealthUniversity,133,9/11/14,JMM,79,SR-II,10,3,c,friday,5,N/A,"Participant didn't answer II after SR, I think they just didn't see it. I had them complete it at the end of the study. "
12,VirginiaCommonwealthUniversity,133,9/12/14,EAH,79,SR-II,20,6,c,Friday,3,N/A,
13,VirginiaCommonwealthUniversity,133,9/15/14,JAC,77,II-SR,10,7,a,Friday,5,Yes,leaned on wall
14,VirginiaCommonwealthUniversity,133,9/15/14,EAH,77,II-SR,20,7,a,Friday,4,Yes,
15,VirginiaCommonwealthUniversity,133,9/15/14,EAH,77,SR-II,10,6,b,Friday,5,Yes,
16,VirginiaCommonwealthUniversity,133,9/16/14,EAH,78,SR-II,20,6,b,Friday,5,Yes,leaned on wall
17,VirginiaCommonwealthUniversity,133,9/17/14,ATH,77,II-SR,10,6,c,Friday,5,N/A,used table
18,VirginiaCommonwealthUniversity,133,9/17/14,BS,78,II-SR,20,6,c,Friday,5,N/A,"seemed in a hurry to leave, error message"
19,VirginiaCommonwealthUniversity,133,9/18/14,ACH,77,SR-II,10,6,a,Friday,5,Yes,
20,VirginiaCommonwealthUniversity,133,9/18/14,JMM,77,SR-II,20,6,a,Friday,5,Yes,
21,VirginiaCommonwealthUniversity,133,9/18/14,SKA,77,II-SR,10,7,b,Friday,5,yes,
