Chapter,Data package,Preprint,Article
4,osf.io/4d2g9/,10.7287/peerj.preprints.1642v2,10.7717/peerj.1935
2,,,10.14293/S2199-1006.1.SOR-SOCSCI.ARYSBI.v1
6,10.5281/zenodo.59818,10.20944/preprints201608.0191.v1,10.3390/data1030014
3,10.5281/zenodo.269668,10.7287/peerj.preprints.2439v1,10.7717/peerj.3068
5,10.5281/zenodo.250492,10.31219/osf.io/rkumy,10.1525/collabra.71
8,10.5281/zenodo.1010360,arxiv.org/abs/1709.02261,
9,,10.7287/peerj.preprints.26462v1,10.3390/publications6020021
1,,,
7,10.5281/zenodo.1403779,,
10,10.5281/zenodo.1403781,,
11,,,
12,,,
