1,2,3,4,5,6,7,8,9,0,8
Without data peeking,0-1,$\hat{\rho}_{F}$,0,0.103,0.258,0.413,0,0.103,0.258,0.413
,,$\hat{\tau}_{\rho_F}$,0,0,0,0,0.077,0.077,0.077,0.077
,0-.05,$\hat{\rho}_{F}$,0,0.103,0.258,0.413,0,0.103,0.258,0.413
,,$\hat{\tau}_{\rho_F}$,0,0,0,0.001,0.077,0.077,0.077,0.077
,,Misfit $\chi^2$,0,0,0,0,0,0,0,0
,0-.00125,$\hat{\rho}_{F}$,0,0.103,0.258,0.413,0.1,0.107,0.259,0.413
,,$\hat{\tau}_{\rho_F}$,0,0,0,0.001,0.025,0.076,0.077,0.077
,,Misfit $\chi^2$,0,0,0,0,0,0,0,0
,,$D$,1,1,1,1,1.205,1.006,1.003,1.001
With data peeking,0-.05,$\hat{\rho}_{F}$,0,0,0.117,0.345,0,0,0.075,0.36
,,$\hat{\tau}_{\rho_F}$,0,0,0,0.038,0,0.055,0.137,0.091
,,Misfit $\chi^2$,126267.4,50298.4,696.6,101.6,14867.6,1209.5,576.3,340.6
,,$N$,759812,811296,936517,994974,434660,525023,707650,889681
,0-.00125,$\hat{\rho}_{F}$,0,0.075,0.218,0.366,0.066,0.161,0.283,0.402
,,$\hat{\tau}_{\rho_F}$,0,0,0,0,0.036,0,0,0.012
,,Misfit $\chi^2$,6.9,3.2,7.1,11.8,2,1.9,2.6,2.1
,,$N$,9729,21576,95615,350482,14791,34530,124991,366875
,,$D$,1.977,1.976,1.835,1.166,1.628,1.62,1.472,1.164
