,,Overall,DP,FP,JAP,JCCP,JEPG,JPSP,PLOS,PS
,Nr. of papers,"14,765","2,283",614,"1,239","2,039",772,"4,087","2,166","1,565"
$k=0$,Count,"4,340",758,133,488,907,122,840,565,527
,%,29.4%,33.2%,21.7%,39.4%,44.5%,15.8%,20.6%,26.1%,33.7%
$k=1$,Evidence FN,57.7%,66.1%,41.2%,48.7%,58.7%,51.4%,66.0%,47.2%,56.4%
,Count,"2,510",433,102,238,380,109,556,339,353
$k=2$,Evidence FN,60.6%,66.9%,50.0%,36.3%,57.7%,66.7%,75.2%,51.6%,57.1%
,Count,"1,768",293,64,157,227,81,424,289,233
$k=3$,Evidence FN,65.3%,69.8%,57.6%,53.1%,54.4%,77.1%,80.6%,47.8%,60.2%
,Count,"1,257",199,66,98,125,83,341,184,161
$k=4$,Evidence FN,68.7%,75.0%,63.8%,53.1%,69.7%,67.9%,81.4%,52.7%,62.5%
,Count,892,128,47,64,89,56,264,148,96
$5\leq k$<$10$,Evidence FN,72.3%,71.2%,67.7%,56.7%,66.3%,71.2%,87.1%,52.4%,63.0%
,Count,"2,394",326,124,134,208,163,898,368,173
$10\leq k$<$20$,Evidence FN,77.7%,76.9%,67.7%,60.0%,72.4%,81.2%,88.1%,57.3%,81.0%
,Count,"1,280",121,65,55,87,117,596,218,21
$k\geq20$,Evidence FN,84.0%,76.0%,53.8%,60.0%,87.5%,80.5%,94.0%,69.1%,0.0%
,Count,324,25,13,5,16,41,168,55,1
All,Evidence FN,47.1%,46.5%,45.1%,29.9%,34.3%,59.1%,64.6%,38.4%,39.3%
,Evidence FN $k\geq1$,66.7%,69.6%,57.6%,49.4%,61.7%,70.2%,81.3%,51.9%,59.2%
,Count,"6,951","1,061",277,371,699,456,"2,641",831,615
